5020040,ALTONA              ,MAN , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
5020040,ALTONA              ,MAN , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1949, -9999.9,M, -9999.9,M, -9999.9,M,     6.7, ,    12.4, ,    17.7, ,    20.2, ,    21.8, ,    13.1, ,     6.5, ,    -0.1, ,   -14.8, , -9999.9,M, -9999.9,M, -9999.9,M,    19.9, ,     6.5, 
 1950,   -25.4, ,   -16.8, ,    -9.4, ,    -1.7, ,     9.5, ,    16.2, ,    18.3, ,    17.1, ,    14.5, ,     7.7, ,    -6.9, ,   -15.3, ,     0.7, ,   -19.0, ,    -0.5, ,    17.2, ,     5.1, 
 1951,   -18.0, ,   -13.2, ,    -9.2, ,     3.1, ,    14.1, ,    15.5, ,    19.2, ,    17.0, ,    11.3, ,     4.7, ,    -7.9, ,   -15.5, ,     1.8, ,   -15.5, ,     2.7, ,    17.2, ,     2.7, 
 1952,   -18.2, ,    -9.1, ,    -6.9, ,     9.5, ,    12.5, ,    18.1, ,    19.9, ,    18.9, ,    15.3, ,     5.2, ,    -2.6, , -9999.9,M, -9999.9,M,   -14.3, ,     5.0, ,    19.0, ,     6.0, 
 1953, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    11.3, ,    17.4, ,    19.6, ,    20.7, ,    13.0, ,    10.1, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    19.2, , -9999.9,M
 1954, -9999.9,M, -9999.9,M, -9999.9,M,     1.9, ,     8.5, ,    16.9, ,    20.2, ,    17.6, ,    12.1, ,     6.1, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    18.2, , -9999.9,M
 1955, -9999.9,M, -9999.9,M, -9999.9,M,     8.2, ,    13.5, ,    17.5, ,    21.7, ,    21.3, ,    12.8, ,     7.0, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    20.2, , -9999.9,M
 1956, -9999.9,M, -9999.9,M, -9999.9,M,    -1.2, ,     9.9, ,    20.1, ,    17.7, ,    17.7, ,    10.7, ,     7.5, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    18.5, , -9999.9,M
 1957, -9999.9,M, -9999.9,M, -9999.9,M,     3.7, ,    12.9, ,    14.4, ,    21.8, ,    18.8, ,    11.1, ,     6.9, ,    -3.0, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    18.3, ,     5.0, 
 1958, -9999.9,M, -9999.9,M, -9999.9,M,     5.6, ,    13.1, ,    13.6, ,    18.3, ,    18.6, ,    12.6, ,     7.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    16.8, , -9999.9,M
 1959, -9999.9,M, -9999.9,M, -9999.9,M,     4.0, ,    10.3, ,    18.1, ,    20.4, ,    20.4, ,    12.3, ,     2.0, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    19.6, , -9999.9,M
 1960, -9999.9,M, -9999.9,M, -9999.9,M,     2.7, ,    12.4, ,    16.4, ,    20.7, ,    20.1, ,    14.6, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    19.1, , -9999.9,M
 1961, -9999.9,M, -9999.9,M, -9999.9,M,     2.0, ,    11.6, ,    19.6, ,    20.1, ,    22.1, ,    11.2, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    20.6, , -9999.9,M
 1962, -9999.9,M, -9999.9,M, -9999.9,M,     0.7, ,    11.3, ,    18.8, ,    18.8, ,    18.9, ,    12.3, ,     8.5, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    18.8, , -9999.9,M
 1963,   -19.0, ,   -15.4, ,    -3.5, ,     4.4, ,    10.2, ,    19.1, ,    21.4, ,    19.7, ,    15.3, ,    12.8, ,    -0.8, ,   -15.3, ,     4.1, , -9999.9,M,     3.7, ,    20.1, ,     9.1, 
 1964,   -13.2, ,   -11.7, ,   -11.0, ,     5.2, ,    13.3, ,    16.0, ,    21.1, ,    16.5, ,    11.6, ,     7.4, ,    -3.1, ,   -17.8, ,     2.9, ,   -13.4, ,     2.5, ,    17.9, ,     5.3, 
 1965,   -20.3, ,   -16.4, ,   -11.9, ,     3.9, ,    10.6, ,    17.5, , -9999.9,M,    18.3, ,     8.3, ,     7.5, ,    -6.0, ,    -9.2, , -9999.9,M,   -18.2, ,     0.9, , -9999.9,M,     3.3, 
 1966,   -25.2, ,   -17.8, ,    -5.2, ,     1.6, ,     9.2, ,    17.8, ,    21.4, ,    18.3, ,    14.6, ,     5.5, ,    -7.5, ,   -14.5, ,     1.5, ,   -17.4, ,     1.9, ,    19.2, ,     4.2, 
 1967,   -16.4, ,   -19.9, ,    -7.5, ,     1.3, ,     8.8, ,    16.7, ,    20.0, ,    18.3, ,    16.0, ,     5.7, ,    -3.3, ,   -11.3, ,     2.4, ,   -16.9, ,     0.9, ,    18.3, ,     6.1, 
 1968,   -17.0, ,   -16.2, ,    -2.5, ,     4.7, ,    10.3, ,    16.5, ,    18.6, ,    16.1, ,    13.8, ,     6.0, ,    -2.0, ,   -14.1, ,     2.9, ,   -14.8, ,     4.2, ,    17.1, ,     5.9, 
 1969,   -21.2, ,   -13.3, ,    -9.8, ,     6.0, ,    11.6, ,    13.0, ,    18.8, ,    21.6, ,    13.4, ,     3.1, ,    -2.8, ,   -10.1, ,     2.5, ,   -16.2, ,     2.6, ,    17.8, ,     4.6, 
 1970,   -19.2, ,   -15.2, ,   -13.0, ,     0.6, ,     9.7, ,    20.1, ,    21.7, ,    19.7, ,    13.7, ,     6.3, ,    -3.6, ,   -15.7, ,     2.1, ,   -14.8, ,    -0.9, ,    20.5, ,     5.5, 
 1971,   -21.4, ,   -12.6, ,    -7.0, ,     3.5, ,    11.3, ,    18.8, ,    17.7, ,    19.6, ,    13.9, ,     7.0, ,    -4.8, ,   -13.8, ,     2.7, ,   -16.6, ,     2.6, ,    18.7, ,     5.4, 
 1972,   -20.1, ,   -18.1, ,    -6.7, ,     3.9, ,    15.4, ,    18.7, ,    17.9, ,    19.8, ,    11.2, ,     3.8, ,    -5.7, ,   -17.3, ,     1.9, ,   -17.3, ,     4.2, ,    18.8, ,     3.1, 
 1973,   -12.3, ,   -12.7, ,     1.3, ,     3.7, ,    12.1, ,    17.8, ,    18.9, ,    20.2, ,    12.7, ,     9.0, ,    -6.5, ,   -15.4, ,     4.1, ,   -14.1, ,     5.7, ,    19.0, ,     5.1, 
 1974,   -20.7, ,   -16.2, ,   -10.1, ,     2.2, ,     9.2, ,    18.4, ,    22.5, ,    17.3, ,    11.1, ,     6.8, ,    -2.9, ,    -8.3, ,     2.4, ,   -17.4, ,     0.4, ,    19.4, ,     5.0, 
 1975,   -14.4, ,   -15.4, ,    -9.7, ,     2.2, ,    12.6, ,    17.5, ,    22.1, ,    18.5, ,    12.3, ,     7.6, ,    -1.7, ,   -13.2, ,     3.2, ,   -12.7, ,     1.7, ,    19.4, ,     6.1, 
 1976,   -16.7, ,   -10.0, ,    -9.0, ,     6.9, ,    12.8, ,    19.0, ,    20.5, ,    20.0, ,    14.0, ,     2.8, ,    -4.5, ,   -16.8, ,     3.3, ,   -13.3, ,     3.6, ,    19.8, ,     4.1, 
 1977,   -20.4, ,   -10.2, ,    -1.6, ,     9.1, ,    18.9, ,    17.6, ,    20.1, ,    15.4, ,    13.1, ,     8.0, ,    -4.2, ,   -16.1, ,     4.1, ,   -15.8, ,     8.8, ,    17.7, ,     5.6, 
 1978,   -20.4, ,   -16.8, ,    -6.0, ,     4.5, ,    15.1, ,    17.7, ,    19.8, ,    18.5, ,    15.8, ,     7.5, ,    -7.5, ,   -16.6, ,     2.6, ,   -17.8, ,     4.5, ,    18.7, ,     5.3, 
 1979,   -22.7, ,   -22.0, ,   -10.0, ,    -0.9, ,     8.2, ,    17.5, ,    21.2, ,    16.9, ,    13.9, ,     5.2, ,    -3.9, ,    -7.6, ,     1.3, ,   -20.4, ,    -0.9, ,    18.5, ,     5.1, 
 1980,   -17.2, ,   -14.7, ,    -8.7, ,     8.5, ,    16.5, ,    17.8, ,    20.7, ,    17.1, ,    12.0, ,     4.4,E,     0.0, ,   -12.8, ,     3.6,E,   -13.2, ,     5.4, ,    18.5, ,     5.5,E
 1981,   -11.8,E,    -8.7, ,    -0.7, ,     5.6, ,    11.6, ,    16.9, ,    20.5, ,    20.4, ,    12.9,E,     5.7, ,     1.6, ,   -12.5, ,     5.1,E,   -11.1,E,     5.5, ,    19.3, ,     6.7,E
 1982,   -24.3,E,   -13.6, ,    -5.9, ,     3.4, ,    13.5, ,    14.2, ,    19.9, ,    17.4,E,    13.0, ,     6.5,E,    -5.6, ,    -8.9, ,     2.5,E,   -16.8,E,     3.7, ,    17.2,E,     4.6,E
 1983,   -10.6,E,    -9.4, ,    -4.6, ,     3.7,E,     9.3, ,    17.6, , -9999.9,M,    22.8, ,    12.9, ,     5.7, ,    -1.9, ,   -19.4, , -9999.9,M,    -9.6,E,     2.8,E, -9999.9,M,     5.6, 
 1984,   -14.4, ,    -5.7, ,    -6.8,E,     6.9, ,    11.3, ,    17.6, ,    20.0, ,    21.3, ,    11.2, ,     6.3, ,    -4.9, ,   -16.2,E,     3.9,E,   -13.2, ,     3.8,E,    19.6, ,     4.2, 
 1985,   -16.3, ,   -16.2, ,    -1.3, ,     7.0,E,    14.0,E,    14.5,E,    18.8,E,    16.1, ,    10.2,E,     5.5,E,   -11.7,E,   -17.4,E,     1.9,E,   -16.2,E,     6.6,E,    16.5,E,     1.3,E
 1986,   -12.6,E,   -14.1, ,    -3.4, ,     4.7, ,    14.4,E,    17.4,E,    20.0, ,    17.9, ,    11.7,E,     5.8, ,    -8.8,E,    -9.1, ,     3.7,E,   -14.7,E,     5.2,E,    18.4,E,     2.9,E
 1987,   -11.8,E,    -6.2,E,    -5.3, ,     9.3, ,    14.8, ,    19.2,E,    19.8, ,    17.8,E,    14.1, ,     4.1, ,    -0.2,E,    -7.6, ,     5.7,E,    -9.0,E,     6.3, ,    18.9,E,     6.0,E
 1988,   -17.3, ,   -14.2,E,    -3.6,E,     6.0,E,    15.5,E,    22.8,E,    22.3,E,    21.0, ,    12.8,E,     4.1,E,    -4.3,E,   -11.9,E,     4.4,E,   -13.0,E,     6.0,E,    22.0,E,     4.2,E
 1989,   -14.6,E,   -17.7,E,    -9.9,E,     2.6,E,    14.3,E,    17.0,E,    22.5, ,    19.7,E,    14.0,E,     5.7, ,    -6.8, ,   -18.0,E,     2.4,E,   -14.7,E,     2.3,E,    19.7,E,     4.3,E
 1990,   -10.5, ,   -13.3,E,    -3.8, ,     3.7, ,    11.3,E,    17.9, ,    19.5,E,    20.5,E,    14.7, ,     5.6, ,    -3.2,E,   -14.9,E,     4.0,E,   -13.9,E,     3.7,E,    19.3,E,     5.7,E
 1991,   -17.9,E,    -7.3,E,    -3.7,E,     6.8,E,    15.0,E,    19.5,E,    20.2,E,    21.5, ,    12.8,E,     2.5,E,    -7.5,E,    -9.7,E,     4.4,E,   -13.4,E,     6.0,E,    20.4,E,     2.6,E
 1992,   -10.4,E,    -9.6,E,    -3.0,E,     3.0,E,    13.5, ,    16.0, ,    16.5, ,    16.9,E,    11.8,E,     5.3,E,    -4.3, ,   -16.0,E,     3.3,E,    -9.9,E,     4.5,E,    16.5,E,     4.3,E
 1993,   -16.1, ,   -13.5,E,    -4.0,E,     4.8, ,    12.3,E,    16.0,E,    18.0,E,    18.4, ,    10.9,E,     3.2, ,    -5.1,E,   -11.8,E,     2.8,E,   -15.2,E,     4.4,E,    17.5,E,     3.0,E
 1994,   -22.4,E,   -17.6, ,    -1.7, ,     4.8,E,    13.6,E,    18.6, ,    18.8,E,    18.0, ,    15.1,E,     8.6,E,    -1.2,E,    -9.9,E,     3.7,E,   -17.3,E,     5.6,E,    18.5,E,     7.5,E
 1995,   -14.3,E,   -13.8, ,    -5.2,E,     1.2, ,    11.4, ,    21.2, ,    20.2,E,    20.7, ,    13.7,E,     5.7,E,    -9.0,E,   -15.2, ,     3.1,E,   -12.7,E,     2.5,E,    20.7,E,     3.5,E
 1996,   -21.3, ,   -14.1,E,   -10.4, ,     0.0, ,    10.5, ,    19.3, ,    19.7,E,    20.5, ,    13.8, ,     6.1, ,   -10.9, ,   -16.7, ,     1.4,E,   -16.9,E,     0.0, ,    19.8,E,     3.0, 
 1997,   -19.3,E,   -11.2,E,    -8.6, ,     0.1, ,     9.9, ,    20.0,E,    20.2,E,    19.4, ,    15.5,E,     5.2, ,    -4.4, ,    -4.3, ,     3.5,E,   -15.7,E,     0.5, ,    19.9,E,     5.4,E
