5020881,EMERSON             ,MAN , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
5020881,EMERSON             ,MAN , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1918, -9999.9,M, -9999.9,M, -9999.9,M,     6.0, ,    11.7, ,    17.8, ,    19.1, ,    21.4, , -9999.9,M,     7.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    19.4, , -9999.9,M
 1919, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1920, -9999.9,M, -9999.9,M, -9999.9,M,    -0.6, ,    13.3, ,    19.3, ,    21.1, ,    23.0, ,    17.4, ,    13.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    21.1, , -9999.9,M
 1921, -9999.9,M, -9999.9,M, -9999.9,M,     5.1, ,    15.2, ,    20.6, ,    21.4, ,    16.5, ,    12.7, ,     7.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    19.5, , -9999.9,M
 1922, -9999.9,M, -9999.9,M, -9999.9,M,     7.0, ,    15.6, ,    18.8, ,    20.8, ,    21.8, ,    15.6, ,     7.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    20.5, , -9999.9,M
 1923, -9999.9,M, -9999.9,M, -9999.9,M,     3.9, ,    13.5, ,    21.3, ,    23.3, ,    17.5, ,    15.1, ,     6.8, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    20.7, , -9999.9,M
 1924, -9999.9,M, -9999.9,M, -9999.9,M,     3.8, ,     8.4, ,    16.8, ,    19.4, ,    18.7, ,    13.6, ,    11.0, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    18.3, , -9999.9,M
 1925, -9999.9,M, -9999.9,M, -9999.9,M,     9.2, ,    12.7, ,    16.8, ,    20.0, ,    20.4, ,    14.5, ,     2.2, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    19.1, , -9999.9,M
 1926, -9999.9,M, -9999.9,M, -9999.9,M,     6.2, ,    15.0, ,    16.4, ,    20.8, ,    19.2, ,    11.8, ,     5.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    18.8, , -9999.9,M
 1927, -9999.9,M, -9999.9,M, -9999.9,M,     5.5, ,    10.1, ,    17.9, ,    20.3, ,    18.1, ,    15.9, ,     7.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    18.8, , -9999.9,M
 1928, -9999.9,M, -9999.9,M, -9999.9,M,     3.2, ,    14.9, ,    16.6, ,    20.4, ,    20.1, ,    12.3, ,     6.8, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    19.0, , -9999.9,M
 1929, -9999.9,M, -9999.9,M, -9999.9,M,     5.9, ,     9.9, ,    17.2, ,    20.2, ,    19.8, ,    11.5, ,     8.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    19.1, , -9999.9,M
 1930, -9999.9,M, -9999.9,M, -9999.9,M,     7.1, ,    10.7, ,    17.8, ,    23.0, ,    20.7, ,    13.9, ,     4.8, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    20.5, , -9999.9,M
 1931, -9999.9,M, -9999.9,M, -9999.9,M,     6.3, ,    10.7, ,    19.9, ,    21.0, ,    20.0, ,    16.3, ,     8.1, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    20.3, , -9999.9,M
 1932, -9999.9,M, -9999.9,M, -9999.9,M,     4.3, ,    12.7, ,    20.5, ,    20.4, ,    20.2, ,    13.9, ,     3.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    20.4, , -9999.9,M
 1933, -9999.9,M, -9999.9,M, -9999.9,M,     3.6, ,    13.8, ,    20.7, ,    22.1, ,    21.0, ,    15.8, ,     3.2, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    21.3, , -9999.9,M
 1934, -9999.9,M, -9999.9,M, -9999.9,M,     4.5, ,    14.8, ,    17.8, ,    20.6, ,    18.2, ,    11.5, ,     8.0, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    18.9, , -9999.9,M
 1935, -9999.9,M, -9999.9,M, -9999.9,M,     3.0, ,    10.8, ,    14.0, ,    23.2, ,    19.4, ,    12.2, ,     5.6, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    18.9, , -9999.9,M
 1936, -9999.9,M, -9999.9,M, -9999.9,M,     0.2, ,    15.3, ,    17.0, ,    26.2, ,    20.0, ,    13.5, ,     2.6, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    21.1, , -9999.9,M
 1937, -9999.9,M, -9999.9,M, -9999.9,M,     3.1, ,    12.5, ,    16.6, ,    20.0, ,    20.4, ,    12.7, ,     5.5, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    19.0, , -9999.9,M
 1938, -9999.9,M, -9999.9,M, -9999.9,M,     4.0, ,    11.1, ,    17.3, ,    20.0, ,    21.1, ,    15.6, ,     9.8, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    19.5, , -9999.9,M
 1939, -9999.9,M, -9999.9,M, -9999.9,M,     3.6, ,    14.5, ,    15.8, ,    22.7, ,    19.9, ,    13.6, ,     4.2, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    19.5, , -9999.9,M
 1940, -9999.9,M, -9999.9,M, -9999.9,M,     2.3, ,    11.8, ,    16.3, ,    21.3, ,    19.2, , -9999.9,M,    10.0, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    18.9, , -9999.9,M
 1941, -9999.9,M, -9999.9,M, -9999.9,M,     7.6, , -9999.9,M,    19.5, ,    22.1, ,    20.1, ,    13.0, ,     6.7, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    20.6, , -9999.9,M
 1942, -9999.9,M, -9999.9,M, -9999.9,M,     6.2, ,     9.7, ,    16.0, ,    18.7, ,    18.0, ,    11.0, ,     7.2, ,    -5.4, ,   -15.2, , -9999.9,M, -9999.9,M, -9999.9,M,    17.6, ,     4.3, 
 1943,   -21.8, ,   -12.8, ,    -9.9, ,     4.7, ,     9.7, ,    15.6, ,    21.5, ,    18.9, ,    11.8, ,     7.9, ,    -3.0, ,    -9.9, ,     2.7, ,   -16.6, ,     1.5, ,    18.7, ,     5.6, 
 1944,   -10.0, ,   -14.5, ,    -9.2, ,     3.9, ,    13.7, ,    15.9, ,    18.8, ,    18.0, ,    13.2, ,     7.2, ,    -1.6, ,   -11.6, ,     3.7, ,   -11.5, ,     2.8, ,    17.6, ,     6.3, 
 1945,   -13.5, ,   -11.8, ,     0.0, ,     1.3, ,     6.8, ,    15.4, ,    19.4, ,    18.9, ,    11.4, ,     5.0, ,    -5.9, ,   -15.5, ,     2.6, ,   -12.3, ,     2.7, ,    17.9, ,     3.5, 
 1946,   -15.8, ,   -16.9, ,     0.2, ,     7.0, ,    10.3, ,    16.7, ,    20.4, ,    18.3, ,    12.4, ,     4.5, ,    -6.0, ,   -15.2, ,     3.0, ,   -16.1, ,     5.8, ,    18.5, ,     3.6, 
 1947,   -12.7, ,   -16.4, ,    -6.5, ,     2.4, ,     8.4, ,    16.0, ,    21.0, ,    20.4, ,    11.7, ,    10.0, ,    -5.7, ,   -14.6, ,     2.8, ,   -14.8, ,     1.4, ,    19.1, ,     5.3, 
 1948,   -19.3, ,   -16.1, ,   -10.6, ,     2.0, , -9999.9,M, -9999.9,M,    17.7, , -9999.9,M,    16.1, ,     8.0, ,    -2.9, ,   -14.2, , -9999.9,M,   -16.7, , -9999.9,M, -9999.9,M,     7.1, 
 1949,   -18.1, ,   -20.6, ,    -7.7, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -0.8, , -9999.9,M, -9999.9,M,   -17.6, , -9999.9,M, -9999.9,M, -9999.9,M
 1950,   -25.8, ,   -17.2, ,   -10.0, ,    -2.4, ,     8.8, ,    14.9, ,    17.2, ,    15.5, ,    13.1, ,     6.8, ,    -7.0, ,   -16.3, ,    -0.2, , -9999.9,M,    -1.2, ,    15.9, ,     4.3, 
 1951,   -18.9, ,   -13.8, ,    -9.8, ,     2.2, ,    13.3, ,    14.4, ,    18.7, ,    16.8, ,    11.4, ,     4.9, ,    -7.1, ,   -15.5, ,     1.4, ,   -16.3, ,     1.9, ,    16.6, ,     3.1, 
 1952,   -18.5, ,    -9.5, ,    -6.9, ,     8.4, ,    12.3, ,    18.0, ,    19.8, ,    18.6, ,    15.3, ,     4.5, ,    -2.2, ,    -9.0, ,     4.2, ,   -14.5, ,     4.6, ,    18.8, ,     5.9, 
 1953,   -15.2, ,   -13.0, ,    -5.0, ,     2.3, ,    11.2, ,    17.0, ,    19.4, ,    20.8, ,    13.0, ,    10.2, ,     0.5, ,   -10.5, ,     4.2, ,   -12.4, ,     2.8, ,    19.1, ,     7.9, 
