502I001,CARMAN              ,MAN , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
502I001,CARMAN              ,MAN , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1990, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    18.8,a,    14.4,a, -9999.9,M,    -4.1,E,   -16.1,E, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1991,   -18.3,E,    -7.9,a,    -5.2,a,     6.4,a,    14.1,a,    17.7,E,    18.6,a,    19.8,a,    12.2,a,     1.8,a,    -8.4,a,   -11.4,a,     3.3,a,   -14.1,a,     5.1,a,    18.7,a,     1.9,a
 1992,   -11.4,a,    -9.9,a,    -3.0,a,     2.4,a,    12.7,a,    15.0,a,    15.1,a,    15.3,E,    10.9,a,     4.7,a,    -4.8,a,   -17.2,a,     2.5,a,   -10.9,a,     4.0,a,    15.1,a,     3.6,a
 1993,   -16.6,a,   -13.8,a,    -4.9,a,     4.0,E,    11.2,a,    14.6,a,    16.6,a,    17.0,E,    10.3,a,     3.2,a,    -6.4,a,   -12.4,a,     1.9,a,   -15.9,a,     3.4,a,    16.1,a,     2.4,a
 1994,   -23.4,a,   -18.6,a,    -1.7,a,     4.1,a,    12.5,a,    17.2,a,    17.6,a,    16.4,a,    14.4,a,     8.0,a,    -2.3,a,   -10.9,a,     2.8,a,   -18.1,a,     5.0,a,    17.1,a,     6.7,a
 1995,   -15.4,E,   -14.0,a,    -6.2,a,     0.7,a,    10.7,a,    19.5,a,    19.0,a, -9999.9,M,    12.7,a,     4.8,a,   -10.0,a,   -15.6,a, -9999.9,M,   -13.4,a,     1.7,a, -9999.9,M,     2.5,a
 1996,   -21.4,a,   -13.8,a,   -10.9,a,    -0.7,a,     9.2,a,    18.0,a,    18.5,a,    18.8,a,    12.7,a,     5.3,a,   -11.8,a,   -18.3,a,     0.5,a,   -16.9,a,    -0.8,a,    18.4,a,     2.1,a
 1997,   -19.6,a,   -12.5,a,    -9.4,a,    -0.3,E,     9.0,a,    18.7,a,    18.9,E,    17.8,a,    14.6,a,     4.9,a,    -5.2,a,    -4.6,a,     2.7,a,   -16.8,a,    -0.2,a,    18.5,a,     4.8,a
 1998,   -15.6,a,    -4.7,a,    -6.6,a,     8.2,a,    13.1,a,    15.0,E,    19.0,a,    20.0,a,    14.7,a,     6.5,a,    -3.3,a,   -12.2,a,     4.5,a,    -8.3,a,     4.9,a,    18.0,a,     6.0,a
 1999,   -17.2,a,    -8.5,a,    -3.0,a,     5.9,a,    12.0,a,    16.0,E,    18.9,a,    18.3,a,    11.6,a,     5.3,a,     0.7,a,    -7.3,a,     4.4,a,   -12.6,a,     5.0,a,    17.7,a,     5.9,a
