5040985,GILBERT_PLAINS      ,MAN , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
5040985,GILBERT_PLAINS      ,MAN , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1958, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -7.8, ,   -16.2, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1959,   -22.5, ,   -16.1, ,    -4.5, ,     2.3, ,     8.6, ,    15.6, ,    18.8, ,    16.9, ,    10.0, ,     0.5, ,    -9.3, ,    -7.3, ,     1.1, ,   -18.3, ,     2.1, ,    17.1, ,     0.4, 
 1960,   -19.3, ,   -16.3, ,   -12.7, ,     1.2, ,    11.4, ,    15.1, ,    19.3, ,    18.3, ,    12.5, ,     5.7, ,    -5.7, ,   -14.2, ,     1.3, ,   -14.3, ,     0.0, ,    17.6, ,     4.2, 
 1961,   -17.3, ,   -11.9, ,    -5.2, ,     0.3, ,    10.3, ,    17.7, ,    18.9, ,    20.5, ,     9.5, ,     5.2, ,    -5.5, ,   -19.6, ,     1.9, ,   -14.5, ,     1.8, ,    19.0, ,     3.1, 
 1962,   -20.0, ,   -20.9, ,    -9.9, ,     0.5, ,     9.5, ,    17.4, ,    16.6, ,    17.4, ,    10.6, ,     7.3, ,    -1.9, ,   -13.3, ,     1.1, ,   -20.2, ,     0.0, ,    17.1, ,     5.3, 
 1963,   -20.9, ,   -16.7, ,    -6.3, ,     3.1, ,     9.1, ,    15.4, ,    19.7, ,    18.0, ,    13.8, ,    10.9, ,    -4.6, ,   -15.6, ,     2.2, ,   -17.0, ,     2.0, ,    17.7, ,     6.7, 
 1964,   -14.9, ,   -11.2, ,   -15.5, ,     2.7, ,    11.5, ,    14.9, ,    19.4, ,    14.8, ,    10.0, ,     6.3, ,    -6.9, ,   -19.9, ,     0.9, ,   -13.9, ,    -0.4, ,    16.4, ,     3.1, 
 1965,   -23.1, ,   -20.1, ,   -14.9, ,     2.5, ,     9.4, ,    16.1, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -7.6, ,   -10.5, , -9999.9,M,   -21.0, ,    -1.0, , -9999.9,M, -9999.9,M
 1966,   -28.3, ,   -19.3, ,    -7.0, ,    -0.7, ,     7.9, ,    15.0, ,    19.1, ,    16.4, ,    12.7, ,     4.3, ,   -10.9, ,   -16.4, ,    -0.6, ,   -19.4, ,     0.1, ,    16.8, ,     2.0, 
 1967,   -19.5, ,   -20.7, ,   -11.4, ,    -3.5, ,     8.6, ,    15.0, ,    17.6, ,    17.0, ,    15.1, ,     3.5, , -9999.9,M, -9999.9,M, -9999.9,M,   -18.9, ,    -2.1, ,    16.5, , -9999.9,M
 1968, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1969, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    18.9, ,    10.9, ,     1.0, ,    -3.9, ,   -10.6, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     2.7, 
 1970,   -19.5, ,   -15.3, ,   -12.2, ,     0.2, ,     8.6, ,    17.8, ,    18.8, ,    16.9, ,    11.3, ,     4.2, ,    -5.9, ,   -20.3, ,     0.4, ,   -15.1, ,    -1.1, ,    17.8, ,     3.2, 
 1971,   -23.4, ,   -13.7, ,    -9.2, ,     2.3, ,    10.6, ,    16.0, ,    15.8, ,    18.0, ,    11.3, ,     4.7, ,    -7.0, ,   -16.2, ,     0.8, ,   -19.1, ,     1.2, ,    16.6, ,     3.0, 
 1972,   -22.8, ,   -20.6, ,    -8.3, ,     2.4, ,    12.1, ,    17.1, ,    15.2, ,    17.4, ,     7.4, ,     1.9, ,    -6.7, ,   -20.9, ,    -0.5, ,   -19.9, ,     2.1, ,    16.6, ,     0.9, 
 1973,   -13.8, ,   -15.9, ,    -0.5, ,     0.6, ,    10.3, ,    15.2, ,    17.9, ,    18.6, ,    10.9, ,     6.4, ,   -10.4, ,   -18.1, ,     1.8, ,   -16.9, ,     3.5, ,    17.2, ,     2.3, 
 1974,   -24.1, ,   -18.4, ,   -14.0, ,     0.2, ,     6.3, ,    16.1, ,    19.5, ,    15.7, ,     8.6, ,     5.1, ,    -3.2, ,    -9.0, ,     0.2, ,   -20.2, ,    -2.5, ,    17.1, ,     3.5, 
 1975,   -16.3, ,   -17.4, ,   -13.1, ,    -0.8, ,    10.3, ,    15.4, ,    20.1, ,    15.3, ,    10.2, ,     4.6, ,    -3.3, ,   -15.2, ,     0.8, ,   -14.2, ,    -1.2, ,    16.9, ,     3.8, 
 1976,   -17.3, ,   -13.1, ,   -11.4, ,     5.1, ,    11.8,E,    16.6, ,    18.5, ,    17.5, ,    11.8, ,     1.0, ,    -6.6, ,   -17.4, ,     1.4,E,   -15.2, ,     1.8,E,    17.5, ,     2.1, 
 1977,   -21.0, ,    -9.9, ,    -4.3, ,     7.0, ,    15.3, ,    16.0, ,    17.4, ,    12.9, ,    10.4, ,     6.8, ,    -5.4, ,   -19.1, ,     2.2, ,   -16.1, ,     6.0, ,    15.4, ,     3.9, 
 1978,   -23.0, ,   -19.3, ,    -8.1, ,     2.3, ,    14.2, ,    15.6, ,    17.2, ,    15.2, ,    12.4, ,     6.2, ,    -8.8, ,   -18.1, ,     0.5, ,   -20.5, ,     2.8, ,    16.0, ,     3.3, 
 1979,   -23.2, ,   -25.2, ,   -11.6, ,    -3.0, ,     7.0, ,    15.6, ,    20.1, ,    15.8, ,    11.7, ,     4.0, ,    -4.9, ,   -11.3, ,    -0.4, ,   -22.2, ,    -2.5, ,    17.2, ,     3.6, 
 1980,   -19.6, ,   -16.9, ,   -11.7, ,     7.3, ,    14.2, ,    14.6, ,    17.8, ,    15.4, ,    10.1, ,     3.5,E,    -4.1, ,   -17.5, ,     1.1,E,   -15.9, ,     3.3, ,    15.9, ,     3.2,E
 1981,   -12.7, ,   -10.5, ,    -2.0, ,     2.3, ,     9.6, ,    14.4, ,    18.5, ,    18.2, ,    11.0, ,     3.0,E,    -0.2, ,   -13.9, ,     3.1,E,   -13.6, ,     3.3, ,    17.0, ,     4.6,E
 1982,   -27.3,E,   -16.5, ,    -9.7,E,     0.8, ,    10.1, ,    12.9, ,    18.3, ,    15.3, ,    10.9, ,     4.9, ,    -7.6, ,   -12.6, ,     0.0,E,   -19.2,E,     0.4,E,    15.5, ,     2.7, 
 1983,   -14.1, ,   -13.1,E,    -9.6, ,    -1.9, ,     6.7, ,    15.7, ,    19.4, ,    20.1, ,    10.7, ,     4.6, ,    -2.7, ,   -21.4,E,     1.2,E,   -13.3,E,    -1.6, ,    18.4, ,     4.2, 
