504K80K,SWAN_RIVER          ,MAN , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
504K80K,SWAN_RIVER          ,MAN , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1959, -9999.9,M, -9999.9,M, -9999.9,M,     2.9, ,     8.7, ,    15.5, ,    19.2, ,    16.7, ,    10.2, ,     0.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    17.1, , -9999.9,M
 1960, -9999.9,M,   -15.1, ,   -11.6, ,     1.9, ,    11.6, ,    14.8, ,    19.4, ,    18.2, ,    12.1, ,     5.3, ,    -6.4, ,   -13.7, , -9999.9,M, -9999.9,M,     0.6, ,    17.5, ,     3.7, 
 1961,   -16.9, ,   -12.5, ,    -5.7, ,     1.3, ,    10.1, ,    18.0, ,    19.1, ,    19.9, ,     8.4, ,     4.9, ,    -5.0, ,   -20.3, ,     1.8, ,   -14.4, ,     1.9, ,    19.0, ,     2.8, 
 1962,   -20.5, ,   -20.8, ,    -9.3, ,     0.3, ,     9.8, ,    17.9, ,    17.4, ,    17.4, ,     9.7, ,     7.0, ,    -2.0, ,   -13.8, ,     1.1, ,   -20.5, ,     0.3, ,    17.6, ,     4.9, 
 1963,   -21.2, ,   -18.7, ,    -7.1, ,     3.5, ,     9.0, ,    15.3, ,    19.7, ,    18.3, , -9999.9,M,    10.0, ,    -5.4, ,   -16.9, , -9999.9,M,   -17.9, ,     1.8, ,    17.8, , -9999.9,M
 1964,   -15.3, ,   -10.5, ,   -14.9, ,     2.5, ,    11.2, ,    15.1, , -9999.9,M,    14.9, ,     9.0, , -9999.9,M,    -7.9, ,   -22.1, , -9999.9,M,   -14.2, ,    -0.4, , -9999.9,M, -9999.9,M
 1965, -9999.9,M, -9999.9,M, -9999.9,M,     2.5, ,     8.5, ,    16.2, ,    17.3, ,    16.6, ,     6.4, ,     6.0, ,    -9.1, ,   -11.8, , -9999.9,M, -9999.9,M, -9999.9,M,    16.7, ,     1.1, 
 1966,   -29.5, ,   -20.1, ,    -7.6, ,    -0.1, ,     8.0, ,    15.4, ,    20.6, ,    16.4, ,    12.5, ,     3.9, ,   -11.5, ,   -16.8, ,    -0.7, ,   -20.5, ,     0.1, ,    17.5, ,     1.6, 
 1967,   -20.4, ,   -20.6, ,   -11.4, ,    -4.9, ,     8.2, ,    15.2, ,    18.1, ,    17.0, ,    15.3, ,     3.5, ,    -5.4, ,   -13.9, ,     0.1, ,   -19.3, ,    -2.7, ,    16.8, ,     4.5, 
 1968,   -19.6, ,   -17.3, ,    -5.4, ,     3.4, ,     9.5, ,    14.6, ,    16.8, ,    14.1, ,    12.3, ,     4.1, ,    -4.4, ,   -18.2, ,     0.8, ,   -16.9, ,     2.5, ,    15.2, ,     4.0, 
 1969,   -25.5, ,   -16.6, ,   -11.0, ,     5.1, ,     8.3, ,    12.6, ,    17.3, ,    19.3, ,    10.5, ,     0.9, ,    -5.2, ,   -11.0, ,     0.4, ,   -20.1, ,     0.8, ,    16.4, ,     2.1, 
 1970,   -20.2, ,   -14.2, ,   -10.8, ,     0.6, ,     8.5, ,    17.9, ,    19.1, ,    17.5, ,    11.3, ,     3.5, ,    -6.8, ,   -21.3, ,     0.4, ,   -15.1, ,    -0.6, ,    18.2, ,     2.7, 
 1971,   -23.5, ,   -14.0, ,   -10.0, ,     2.1, ,    11.3, ,    16.1, ,    16.3, ,    18.1, ,    11.0, ,     4.3, ,    -6.6, ,   -17.2, ,     0.7, ,   -19.6, ,     1.1, ,    16.8, ,     2.9, 
 1972,   -24.1, ,   -20.2, ,    -8.8, ,     1.7, ,    12.9, ,    17.2, ,    15.4, ,    17.6, ,     7.7, ,     2.3, ,    -6.2, ,   -19.6, ,    -0.3, ,   -20.5, ,     1.9, ,    16.7, ,     1.3, 
 1973,   -14.2, ,   -14.7, ,    -1.6, ,     0.6, ,    11.0, ,    14.8, ,    17.7, ,    18.6, ,    10.8, ,     6.3, ,    -9.8, ,   -17.6, ,     1.8, ,   -16.2, ,     3.3, ,    17.0, ,     2.4, 
 1974,   -23.2, ,   -16.9, ,   -13.1, ,     0.7, ,     6.4, ,    16.3, ,    19.7, ,    15.7, ,     8.9, ,     5.6, ,    -2.9, ,    -7.9, ,     0.8, ,   -19.2, ,    -2.0, ,    17.2, ,     3.9, 
 1975,   -16.8, ,   -16.2, ,   -11.4, ,     0.1, ,     9.8, ,    15.5, ,    20.5, ,    15.2, ,    10.7, ,     4.7, ,    -3.2, ,   -14.3, ,     1.2, ,   -13.6, ,    -0.5, ,    17.1, ,     4.1, 
 1976,   -16.6, ,   -12.2, ,   -10.0, ,     5.5, ,    12.8, ,    16.4, ,    18.9, ,    17.9, ,    12.8, ,     2.5, ,    -5.3, ,   -16.0, ,     2.2, ,   -14.4, ,     2.8, ,    17.7, ,     3.3, 
 1977,   -20.4, ,    -9.1, ,    -5.2, ,     6.3, ,    15.8, ,    16.6, ,    17.5, ,    13.2, ,    10.9, ,     7.0, ,    -5.0, ,   -19.5, ,     2.3, ,   -15.2, ,     5.6, ,    15.8, ,     4.3, 
 1978,   -22.3, ,   -17.3, ,    -7.2, ,     2.1, ,    14.4, ,    16.5, ,    17.8, ,    15.9, ,    11.8, ,     6.5, ,    -9.2, ,   -17.2, ,     1.0, ,   -19.7, ,     3.1, ,    16.7, ,     3.0, 
 1979,   -20.9, ,   -23.0, ,    -8.9, ,    -1.0, ,     6.7, ,    15.7, ,    20.5, ,    15.5, ,    11.3, ,     3.6, ,    -4.5, ,   -11.3, ,     0.3, ,   -20.4, ,    -1.1, ,    17.2, ,     3.5, 
 1980,   -19.5, ,   -14.3, ,   -10.3, ,     8.0, ,    15.0, ,    15.6, ,    18.7, ,    16.1, ,    10.4, ,     5.3, ,    -3.5, ,   -17.5,E,     2.0,E,   -15.0, ,     4.2, ,    16.8, ,     4.1, 
 1981,   -12.4, ,    -9.7, ,    -0.6,E,     2.6, ,    10.7, ,    15.4, ,    19.5, ,    19.5, ,    12.4, ,     3.6, ,     0.4,E,   -13.4,E,     4.0,E,   -13.2,E,     4.2,E,    18.1, ,     5.5,E
 1982,   -27.0, ,   -15.3,E,    -7.4, ,     2.7, ,    10.8, ,    14.4, ,    18.8, ,    15.4, ,    11.8, ,     5.3, ,    -9.2,E,   -13.2,E,     0.6,E,   -18.6,E,     2.0, ,    16.2, ,     2.6,E
 1983,   -13.7, ,   -12.8, ,    -9.6, ,    -1.2, ,     7.1, ,    16.2, ,    19.8, ,    20.6, ,    11.3, ,     5.9,E,    -1.3, ,   -21.0, ,     1.8,E,   -13.2,E,    -1.2, ,    18.9, ,     5.3,E
 1984,   -15.2,E,    -5.8,E,    -7.5, ,     6.6, ,     8.4,E, -9999.9,M,    19.5, ,    19.6, ,     8.9, ,     3.7,E,    -8.3, ,   -19.7, , -9999.9,M,   -14.0,E,     2.5,E, -9999.9,M,     1.4,E
 1985,   -17.1, ,   -17.9, ,    -4.8, ,     5.2,E,    12.3, ,    12.9,E,    17.9, ,    15.3, ,     9.1, ,     4.6, ,   -13.9,E,   -15.4,E,     0.7,E,   -18.2, ,     4.2,E,    15.4,E,    -0.1,E
 1986,   -11.6, ,   -14.9,E,    -4.2, ,     2.0, ,    12.5,E,    15.9, ,    17.8, ,    16.7, ,    10.4, ,     5.8, ,    -9.7, ,    -9.7,E,     2.6,E,   -14.0,E,     3.4,E,    16.8, ,     2.2, 
 1987,   -10.9, ,    -8.1, ,    -5.0, ,     7.7, ,    13.5, ,    17.8, ,    18.1,E,    15.4, ,    13.5,E,     3.7, ,    -1.5,E,    -9.9, ,     4.5,E,    -9.6,E,     5.4, ,    17.1,E,     5.2,E
 1988,   -19.7, ,   -15.4,E,    -6.9, ,     3.3, ,    13.1, ,    20.5, ,    19.5, ,    17.3, ,    11.1, ,     4.0, ,    -5.7, ,   -13.4, ,     2.3,E,   -15.0,E,     3.2, ,    19.1, ,     3.1, 
 1989,   -15.0,E,   -17.0, ,   -11.5,E,     3.4, ,    13.0,E,    16.0, ,    20.7, ,    18.1, ,    12.1, ,     5.1, ,    -8.6, ,   -18.5, ,     1.5,E,   -15.1,E,     1.6,E,    18.3, ,     2.9, 
 1990,   -14.2,E,   -15.2, ,    -4.3, ,     1.7, ,    10.2, ,    17.1,E,    17.8, ,    17.9,E,    12.8, ,     3.3,E,    -6.2,E, -9999.9,M, -9999.9,M,   -16.0,E,     2.5, ,    17.6,E,     3.3,E
 1991,   -19.5,E,    -9.4,E,    -6.1, ,     5.7,E,    11.8,E,    17.8, ,    18.3,E,    19.8,E,    11.2, ,     0.6,E,    -9.5,E,   -12.6,E,     2.3,E, -9999.9,M,     3.8,E,    18.6,E,     0.8,E
 1992,   -11.9, ,   -10.7,E,    -3.6,E,     2.2, ,    10.7,E,    14.0, ,    15.8, ,    15.4, ,     9.9, ,     4.6, ,    -3.5, ,   -18.5,E,     2.0,E,   -11.7,E,     3.1,E,    15.1, ,     3.7, 
 1993,   -15.9, ,   -12.8, ,    -1.9, ,     3.1,E,    10.3, ,    13.4,E,    16.0, ,    15.6,E,     9.2, ,     2.4, ,    -7.7, ,   -12.9, ,     1.6,E,   -15.7,E,     3.8,E,    15.0,E,     1.3, 
 1994,   -24.6, ,   -20.6, ,    -2.7,E,     2.4, ,    10.7, ,    15.0, ,    16.6, ,    15.2, ,    13.5, ,     6.3, ,    -3.9,E,   -12.7, ,     1.3,E,   -19.4, ,     3.5,E,    15.6, ,     5.3,E
 1995,   -15.8, ,   -14.3,E,    -8.4,E,    -2.1, ,     9.9, ,    17.8, ,    17.2,E,    16.8, ,    11.3,E,     4.1, ,   -11.2, ,   -16.5, ,     0.7,E,   -14.3,E,    -0.2,E,    17.3,E,     1.4,E
 1996,   -22.8, ,   -14.7, ,   -12.1, ,    -1.3, ,     7.2, ,    16.3, ,    17.7, ,    17.6, ,    10.7, ,     3.0, ,   -12.6, ,   -19.8, ,    -0.9, ,   -18.0, ,    -2.1, ,    17.2, ,     0.4, 
 1997,   -21.9, ,   -12.9, ,   -10.7, ,    -1.3,E,     7.8,E,    16.4, ,    17.8, ,    16.6, ,    12.4,E,     2.8, ,    -6.2, ,    -6.1,E,     1.2,E,   -18.2, ,    -1.4,E,    16.9, ,     3.0,E
 1998,   -19.5, ,    -5.9, ,    -9.0,E,     5.8,E,     9.8, ,    13.7, ,    17.7,E,    17.9, ,    12.1, ,     4.3, ,    -4.9, ,   -15.1, ,     2.2,E,   -10.5,E,     2.2,E,    16.4,E,     3.8, 
 1999,   -18.6, ,   -12.8, ,    -5.6, ,     5.6, ,     9.6, ,    13.9, ,    16.6, ,    16.6, ,    10.2, ,     4.0, ,    -1.7, ,    -9.4, ,     2.4, ,   -15.5, ,     3.2, ,    15.7, ,     4.2, 
 2000,   -18.5, ,    -9.5, ,    -1.3, ,     3.3, ,    10.0, ,    13.6, ,    18.1, ,    16.4, ,    10.8, ,     5.4, ,    -7.9, ,   -22.1, ,     1.5, ,   -12.5, ,     4.0, ,    16.0, ,     2.8, 
 2001,   -10.2, ,   -18.4, ,    -6.6, ,     3.3, ,    11.5, ,    13.9, ,    19.0, ,    18.4, ,    12.5, ,     2.8, ,    -0.7, ,   -12.7, ,     2.7, ,   -16.9, ,     2.7, ,    17.1, ,     4.9, 
 2002,   -16.2, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 2003, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     5.7, ,    -9.3, ,   -10.6, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 2004,   -22.6, ,   -11.6, ,    -7.5, ,     3.1, ,     6.4, ,    12.8, ,    16.9, ,    13.2, ,    11.7, ,     3.7, ,    -2.2, ,   -17.6,E,     0.5,E,   -14.9, ,     0.7, ,    14.3, ,     4.4, 
 2005,   -19.2, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    12.1, ,     5.0, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 2006,    -8.9, ,   -16.3, ,    -8.2, ,     6.3, ,    10.2, ,    16.9, ,    19.2, ,    17.9, ,    11.0, ,     1.4,E,    -9.3, ,   -11.0, ,     2.4,E, -9999.9,M,     2.8, ,    18.0, ,     1.0,E
 2007,   -14.4, ,   -18.5, ,    -6.3, ,     2.2, ,    10.6, ,    14.7, ,    20.0, ,    15.8, ,    10.8, ,     5.7, ,    -6.6, ,   -16.5, ,     1.5, ,   -14.6, ,     2.2, ,    16.8, ,     3.3, 
 2008, -9999.9,M,   -17.9, ,   -10.4, ,     1.6, ,     8.3, ,    15.0, ,    17.5, ,    18.7, ,    11.3, ,     5.6, ,    -5.0, ,   -21.3, , -9999.9,M, -9999.9,M,    -0.2, ,    17.1, ,     4.0, 
 2009,   -18.8, ,   -15.4, ,   -10.6, ,     2.2, ,     8.1, ,    14.7, ,    16.3, ,    15.6, ,    15.7, ,     2.7, ,     0.5, ,   -18.4, ,     1.1, ,   -18.5, ,    -0.1, ,    15.5, ,     6.3, 
 2010,   -14.3, ,   -14.1, ,    -1.8, ,     6.7, ,     9.3, ,    15.1,E,    18.0, ,    17.0, ,    10.4, ,     6.5, ,    -7.5, ,   -16.4, ,     2.4,E,   -15.6, ,     4.7, ,    16.7,E,     3.1, 
 2011,   -19.5, ,   -15.3, ,   -12.7, ,     2.6, ,     9.8, ,    15.9, ,    19.0, ,    18.2, ,    13.7, ,     6.3, ,    -5.7, ,    -8.5, ,     2.0, ,   -17.1, ,    -0.1, ,    17.7, ,     4.8, 
 2012,   -13.8, ,   -11.0, ,    -2.1, ,     4.2, ,    10.0, ,    16.3, ,    20.9, ,    18.1, ,    11.8, ,     2.8, ,    -9.0, ,   -18.3, ,     2.5, ,   -11.1, ,     4.0, ,    18.4, ,     1.9, 
 2013,   -18.0, ,   -14.7, ,   -12.4, ,    -2.7, ,    11.3, ,    15.3, ,    17.1, ,    17.9, ,    14.1, ,     3.4, ,    -6.4, ,   -21.1, ,     0.3, ,   -17.0, ,    -1.3, ,    16.8, ,     3.7, 
 2014,   -18.5, ,   -20.2,E,   -12.9, ,    -0.3, ,    10.0, ,    14.7, ,    18.1, ,    17.8, ,    12.2, ,     5.0, ,   -10.8, ,   -11.1,E,     0.3,E,   -19.9,E,    -1.1, ,    16.9, ,     2.1, 
 2015,   -13.9, ,   -20.5, ,    -4.6, ,     4.6, ,     9.9, ,    17.1, ,    18.8, ,    17.1, ,    12.6, ,     6.4, ,    -2.2, ,    -8.7, ,     3.1, ,   -15.2,E,     3.3, ,    17.7, ,     5.6, 
 2016,   -13.5, ,   -11.4, ,    -4.2, ,     0.7, ,    13.3, ,    17.0, ,    18.5, ,    16.3, ,    12.2, ,     3.7, ,     1.5, ,   -14.5, ,     3.3, ,   -11.2, ,     3.3, ,    17.3, ,     5.8, 
 2017,   -12.0, ,   -10.8, ,    -9.5, ,     3.3, ,    10.6, ,    15.4, ,    18.5, ,    17.5, ,    12.8, ,     5.1, ,    -9.2, ,   -14.5, ,     2.3, ,   -12.4, ,     1.5, ,    17.1, ,     2.9, 
 2018,   -16.9, ,   -18.6, ,    -7.5, ,    -1.5, ,    13.6, ,    18.0, ,    18.3, ,    16.6, ,     7.4, ,     1.3, ,    -9.9, ,   -11.3, ,     0.8, ,   -16.7, ,     1.5, ,    17.6, ,    -0.4, 
 2019,   -18.3, ,   -22.2, ,    -6.3, ,     3.4, ,     8.4, ,    16.0, ,    18.6, ,    16.1, ,    12.1, ,     2.1, ,    -6.3, ,   -14.2, ,     0.8, ,   -17.3, ,     1.8, ,    16.9, ,     2.6, 
