6036907,RAWSON_LAKE         ,ONT , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
6036907,RAWSON_LAKE         ,ONT , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1969, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    18.3, ,    19.8, ,    12.7, ,     2.1, ,    -3.6, ,   -10.0, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     3.7, 
 1970,   -18.4, ,   -16.5, ,    -8.4, ,     0.7, ,     7.3, ,    17.8, ,    20.5, ,    18.3, ,    12.0, ,     5.1, ,    -4.5, ,   -15.2, ,     1.6, ,   -15.0, ,    -0.1, ,    18.9, ,     4.2, 
 1971,   -21.3,E,   -12.3, ,    -6.2, ,     2.7, ,     9.1, ,    17.4, ,    16.6, ,    17.5, ,    13.1, ,     6.9, ,    -4.3, ,   -13.9, ,     2.1,E,   -16.3,E,     1.9, ,    17.2, ,     5.2, 
 1972,   -21.9, ,   -17.6, ,    -7.4, ,     1.8, ,    14.0, ,    17.0, ,    17.2, ,    18.0, ,     9.8, ,     2.9, ,    -5.5, ,   -17.9, ,     0.9, ,   -17.8, ,     2.8, ,    17.4, ,     2.4, 
 1973,   -13.1, ,   -13.5, ,    -1.2, ,     2.0, ,    10.1, ,    15.2, ,    18.1, ,    19.4, ,    11.1, ,     7.7, ,    -5.5, ,   -15.1, ,     2.9, ,   -14.8, ,     3.6, ,    17.6, ,     4.4, 
 1974,   -20.3, ,   -14.2, ,    -9.3, ,     1.8, ,     7.7, ,    15.8, ,    21.1, ,    15.7, ,     8.5, ,     5.0, ,    -3.2, ,    -9.1, ,     1.6, ,   -16.5, ,     0.1, ,    17.5, ,     3.4, 
 1975,   -15.3, ,   -14.4, ,    -9.4, ,     0.7, ,    12.3, ,    16.3, ,    21.5, ,    16.5, ,     9.9, ,     6.1, ,    -2.0, ,   -14.4, ,     2.3, ,   -12.9, ,     1.2, ,    18.1, ,     4.7, 
 1976,   -17.8, ,   -10.4, ,    -8.2, ,     5.0, ,    10.8, ,    18.1, ,    19.9, ,    18.7, ,    12.0, ,     2.5, ,    -7.4, ,   -19.9, ,     1.9, ,   -14.2, ,     2.5, ,    18.9, ,     2.4, 
 1977,   -20.6, ,   -11.9, ,    -2.3, ,     5.2, ,    16.0, ,    15.6, ,    18.8, ,    13.9, ,    11.1, ,     6.3, ,    -4.7, ,   -16.1, ,     2.6, ,   -17.5, ,     6.3, ,    16.1, ,     4.2, 
 1978,   -19.7, ,   -14.7, ,    -6.6, ,     2.0, ,    12.8, ,    14.8, ,    18.0, ,    17.0, ,    13.1, ,     5.9, ,    -6.4, ,   -17.3, ,     1.6, ,   -16.8, ,     2.7, ,    16.6, ,     4.2, 
 1979,   -21.7, ,   -18.4, ,    -7.5, ,     0.3, ,     7.1, ,    15.3, ,    20.3, ,    16.6, , -9999.9,M,     3.2, ,    -5.0, ,    -9.9, , -9999.9,M,   -19.1, ,     0.0, ,    17.4, , -9999.9,M
 1980,   -16.7, ,   -14.1, ,    -8.6, ,     6.7, , -9999.9,M,    15.8,E,    20.1, ,    17.9, ,    11.0, ,     3.0, ,    -2.6, ,   -16.1, , -9999.9,M,   -13.6, , -9999.9,M,    17.9,E,     3.8, 
 1981,   -13.9, ,   -10.5, ,    -2.7, ,     3.8, ,    11.3, ,    15.6, ,    21.0, ,    19.7, ,    12.0, ,     4.0, ,     0.7, ,   -12.3, ,     4.1, ,   -13.5, ,     4.1, ,    18.8, ,     5.6, 
 1982,   -23.9, ,   -14.4, ,    -7.7, ,     1.7, ,    12.8, ,    13.8, ,    19.6, ,    16.5, ,    12.1, ,     6.3,E,    -5.7, ,   -10.2, ,     1.7,E,   -16.9, ,     2.3, ,    16.6, ,     4.2,E
 1983,   -12.3, ,    -9.4, ,    -4.4, ,     2.7, ,     8.3, ,    16.4, ,    21.6, ,    21.9, ,    13.4, ,     5.6, ,    -2.2, ,   -19.6, ,     3.5, ,   -10.6, ,     2.2, ,    20.0, ,     5.6, 
 1984,   -17.5, ,    -6.3, ,    -7.8, ,     7.2,E,     9.6, ,    16.6, ,    19.8, ,    21.2, ,    10.3, ,     6.6, ,    -3.9, ,   -16.1, ,     3.3,E,   -14.5, ,     3.0,E,    19.2, ,     4.3, 
 1985,   -17.8, ,   -15.1, ,    -3.1, ,     4.8, ,    12.8,E,    13.2, ,    18.4, ,    15.8, ,     9.9, ,     5.5, ,    -9.8, ,   -18.0, ,     1.4,E,   -16.3, ,     4.8,E,    15.8, ,     1.9, 
 1986,   -14.1, ,   -12.7, ,    -3.3, ,     5.3, ,    13.6, ,    15.5,E,    19.2, ,    16.6, ,    11.0, ,     4.9, ,    -7.9, ,    -9.9, ,     3.2,E,   -14.9, ,     5.2, ,    17.1,E,     2.7, 
 1987,   -12.4, ,    -6.1, ,    -2.5, ,     8.6,E,    12.8,E,    18.3, ,    19.5, ,    17.1, ,    13.5, ,     3.0, ,    -1.8,E,    -8.3, ,     5.1,E,    -9.5, ,     6.3,E,    18.3, ,     4.9,E
 1988,   -18.8, ,   -17.4, ,    -6.5, ,     3.7, ,    13.8,E,    20.1, ,    20.8, ,    19.1, ,    11.7, ,     3.5, ,    -3.7, ,   -13.6, ,     2.7,E,   -14.8, ,     3.7,E,    20.0, ,     3.8, 
 1989,   -14.2,E,   -18.5, ,    -9.3, ,     1.4, ,    12.8,E,    15.8, ,    21.3, ,    18.8, ,    13.3, ,     6.1, ,    -7.5, ,   -19.5, ,     1.7,E,   -15.4,E,     1.6,E,    18.6, ,     4.0, 
 1990,   -12.2, ,   -13.3, ,    -4.5, ,     2.5, ,    10.1, ,    16.1, ,    18.7, ,    19.1, ,    13.0, ,     4.4, ,    -3.0, ,   -16.2, ,     2.9, ,   -15.0, ,     2.7, ,    18.0, ,     4.8, 
 1991,   -19.5,E,    -9.5, ,    -4.4,E,     6.0,E,    13.7, ,    18.8,E,    18.8, ,    21.1, ,    11.0, ,     2.4, ,    -8.3, ,   -12.1,E,     3.2,E,   -15.1,E,     5.1,E,    19.6,E,     1.7, 
