6040325,ARMSTRONG           ,ONT , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
6040325,ARMSTRONG           ,ONT , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1953,   -18.3, ,   -17.0, ,    -7.3, ,     0.5, ,     6.4, ,    13.4, ,    16.3, ,    16.8, ,     8.6, ,     4.5, ,    -2.8, ,   -14.8, ,     0.5, , -9999.9,M,    -0.1, ,    15.5, ,     3.4, 
 1954,   -24.5, ,   -10.8, ,   -11.6, ,    -3.1, ,     3.7, ,    14.1, ,    16.0, ,    14.4, ,     8.4, ,     2.9, ,    -3.3, ,   -14.0, ,    -0.7, ,   -16.7, ,    -3.7, ,    14.8, ,     2.7, 
 1955,   -19.0, ,   -19.0, ,   -15.5, ,     4.1, ,     8.8, ,    16.2, ,    19.1, ,    17.0, ,     9.2, ,     3.8, ,    -6.8, ,   -18.0, ,     0.0, ,   -17.3, ,    -0.9, ,    17.4, ,     2.1, 
 1956,   -17.1, ,   -16.2, ,   -13.2, ,    -2.8, ,     3.4, ,    14.9, ,    14.7, ,    13.3, ,     6.6, ,     5.4, ,    -6.0, ,   -18.7, ,    -1.3, ,   -17.1, ,    -4.2, ,    14.3, ,     2.0, 
 1957,   -25.1, ,   -17.2, ,   -10.1, ,    -1.0, ,     7.2, ,    11.5, ,    16.6, ,    14.0, ,     9.1, ,     3.8, ,    -7.5, ,   -14.7, ,    -1.1, ,   -20.3, ,    -1.3, ,    14.0, ,     1.8, 
 1958,   -16.6, ,   -18.5, ,    -6.9, ,     0.9, ,     5.1, ,    10.6, ,    15.4, ,    13.3, ,     9.8, ,     3.7, ,    -5.1, ,   -21.2, ,    -0.8, ,   -16.6, ,    -0.3, ,    13.1, ,     2.8, 
 1959,   -23.8, ,   -20.3, ,    -9.5, ,    -1.3, ,     6.5, ,    13.4, ,    17.5, ,    15.8, ,    10.1, ,     1.2, ,   -11.8, ,   -11.6, ,    -1.2, ,   -21.8, ,    -1.4, ,    15.6, ,    -0.2, 
 1960,   -18.1, ,   -15.8, ,   -15.3, ,    -1.2, ,     8.6, ,    12.9, ,    16.2, ,    16.1, ,     9.6, ,     3.4, ,    -5.6, ,   -19.0, ,    -0.7, ,   -15.2, ,    -2.6, ,    15.1, ,     2.5, 
 1961,   -21.3, ,   -15.6, ,    -8.7, ,    -1.1, ,     6.4, ,    13.1, ,    16.8, ,    15.4, ,     9.9, ,     3.0, ,    -4.9, ,   -15.5, ,    -0.2, ,   -18.6, ,    -1.1, ,    15.1, ,     2.7, 
 1962,   -23.2, ,   -21.6, ,    -7.8, ,    -2.6, ,     7.9, ,    13.1, ,    14.0, ,    13.3, ,     8.0, ,     4.9, ,    -4.6, ,   -17.6, ,    -1.4, ,   -20.1, ,    -0.8, ,    13.5, ,     2.8, 
 1963,   -24.2, ,   -20.4, ,   -12.5, ,     0.5, ,     5.6, ,    13.9, ,    17.6, ,    13.6, ,     8.5, ,     8.9, ,    -3.7, ,   -19.7, ,    -1.0, ,   -20.7, ,    -2.1, ,    15.0, ,     4.6, 
 1964,   -16.1, ,   -16.5, ,   -15.8, ,    -0.5, ,     8.4, ,    10.8, ,    17.1, ,    12.0, ,     7.6, ,     2.5, ,    -7.7, ,   -20.1, ,    -1.5, ,   -17.4, ,    -2.6, ,    13.3, ,     0.8, 
 1965,   -21.8, ,   -21.4, ,   -14.5, ,    -0.4, ,     6.7, ,    12.6, ,    13.2, ,    11.9, ,     6.2, ,     3.6, ,    -8.0, ,   -12.4, ,    -2.0, ,   -21.1, ,    -2.7, ,    12.6, ,     0.6, 
 1966,   -23.3, ,   -17.8, ,    -9.3, ,    -2.6, ,     4.3, ,    13.5, ,    17.7, ,    13.8, ,     9.8, ,     1.4, ,   -11.8, ,   -16.9, ,    -1.8, ,   -17.8, ,    -2.5, ,    15.0, ,    -0.2, 
