6047627,SCHREIBER           ,ONT , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
6047627,SCHREIBER           ,ONT , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1909, -9999.9,M, -9999.9,M, -9999.9,M,    -0.6,a, -9999.9,M,    13.3,a,    14.7,a,    14.9,a,     9.2,a,     4.8,a,     0.5,a,    -8.5,a, -9999.9,M, -9999.9,M, -9999.9,M,    14.3,a,     4.8,a
 1910,   -11.3,a,   -14.9,a,    -0.6,a,     4.9,a,     6.2,a,    15.0,a,    15.0,a,    14.0,a, -9999.9,M,     5.8,a,    -1.8,a,   -10.0,a, -9999.9,M,   -11.6,a,     3.5,a,    14.7,a, -9999.9,M
 1911,   -15.2,a,    -9.8,a,    -5.7,a,     2.1,a,    10.7,a,    13.9,a,    14.0,a,    13.6,a, -9999.9,M,     5.2,a,    -3.9,a,    -4.5,a, -9999.9,M,   -11.7,a,     2.4,a,    13.8,a, -9999.9,M
 1912,   -20.7,a,   -13.4,a,   -10.1,a,     1.6,a,     8.8,a,    12.7,a,    14.5,a,    13.3,a,    11.5,a,     5.9,a,    -0.2,a,    -8.1,a,     1.3,a,   -12.9,a,     0.1,a,    13.5,a,     5.7,a
 1913,   -12.7,a,   -15.7,a,    -9.0,a,     4.4,a,     8.2,a,    14.0,a,    14.0,a,    14.2,a,    10.2,a,     5.0,a,     1.4,a,    -2.6,a,     2.6,a,   -12.2,a,     1.2,a,    14.1,a,     5.5,a
 1914,   -10.7,a,   -16.8,a,    -6.3,a,     0.4,a,     9.6,a,    12.7,a,    16.0,a,    13.7,a,    11.6,a,     7.4,a,    -1.9,a,    -9.9,a,     2.2,a,   -10.0,a,     1.2,a,    14.1,a,     5.7,a
 1915,   -12.8,a,    -8.2,a,    -4.9,a,     5.6,a,     8.7,a,    11.6,a,    13.8,a,    14.2,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -10.3,a,     3.1,a,    13.2,a, -9999.9,M
 1916, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    18.0, ,    15.8, ,    10.9, ,     6.0, ,    -1.7, ,   -12.6, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     5.1, 
 1917,   -16.6, ,   -20.0, ,    -7.5, ,    -0.5, ,     7.1, ,    11.4, ,    16.1, ,    12.6, ,     9.9, ,     0.4, ,    -1.9, ,   -17.0, ,    -0.5, ,   -16.4, ,    -0.3, ,    13.4, ,     2.8, 
 1918,   -18.3, ,   -16.8, ,    -5.8, ,     1.1, ,     5.8, ,    11.4, ,    14.7, ,    14.5, ,     7.1, , -9999.9,M,    -0.1, ,    -8.6, , -9999.9,M,   -17.4, ,     0.4, ,    13.5, , -9999.9,M
