6059475,WHITE_RIVER         ,ONT , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
6059475,WHITE_RIVER         ,ONT , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1888, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1889,   -13.8, ,   -20.7, ,    -6.0, ,     0.3, ,     7.8, ,    12.3, ,    16.1, ,    13.8, ,    11.0, ,    -0.1, ,    -4.9, ,    -9.9, ,     0.5, , -9999.9,M,     0.7, ,    14.1, ,     2.0, 
 1890,   -18.0, ,   -15.5, ,   -13.2, ,     0.0, ,     3.8, ,    16.1, ,    15.9, ,    13.0, ,     9.2, ,     4.6, ,    -4.4, ,   -12.6, ,    -0.1, ,   -14.5, ,    -3.1, ,    15.0, ,     3.1, 
 1891,   -14.2, ,   -17.4, ,   -11.2, ,     1.7, ,     6.9, ,    14.4, ,    12.6, ,    14.1, ,    13.4, ,     3.6, ,    -6.5, ,    -5.5, ,     1.0, ,   -14.7, ,    -0.9, ,    13.7, ,     3.5, 
 1892,   -19.4, ,   -14.1, ,    -9.1, ,    -0.8, ,     7.6, ,    13.8, ,    15.2, ,    13.8, ,     9.5, ,     3.8, ,    -6.9, ,   -15.5, ,    -0.2, ,   -13.0, ,    -0.8, ,    14.3, ,     2.1, 
 1893,   -23.1, ,   -18.9, ,   -11.2, ,    -3.6, ,     6.1, ,    16.9, ,    16.5, ,    14.2, ,     8.5, ,     4.5, ,    -5.1, ,   -20.2, ,    -1.3, ,   -19.2, ,    -2.9, ,    15.9, ,     2.6, 
 1894,   -18.1, ,   -18.0, ,    -7.3, ,     2.4, ,     7.3, ,    15.9, ,    16.8, ,    12.9, ,    11.3, ,     5.0, ,    -8.0, ,   -10.5, ,     0.8, ,   -18.8, ,     0.8, ,    15.2, ,     2.8, 
 1895,   -18.2, ,   -17.7, ,   -14.0, ,     2.5, ,     9.8, ,    15.5, ,    14.5, ,    13.6, ,    10.6, ,     0.2, ,    -6.6, ,   -11.3, ,    -0.1, ,   -15.5, ,    -0.6, ,    14.5, ,     1.4, 
 1896,   -15.2, ,   -13.8, ,   -14.9, ,     2.2, ,    12.2, ,    14.4, ,    15.3, ,    13.7, ,     8.4, ,     1.4, ,    -8.7, ,   -14.2, ,     0.1, ,   -13.4, ,    -0.2, ,    14.5, ,     0.4, 
 1897,   -16.3, ,   -15.2, ,   -10.0, ,    -0.7, ,     8.2, ,    11.4, ,    19.5, ,    13.1, ,    12.5, ,     5.2, ,    -8.2, ,   -14.5, ,     0.4, ,   -15.2, ,    -0.8, ,    14.7, ,     3.2, 
 1898,   -16.2, ,   -14.5, ,    -6.3, ,     0.4, ,     8.6, ,    13.8, ,    16.3, ,    13.2, ,    11.9, ,     3.2, ,    -3.9, ,   -13.6, ,     1.1, ,   -15.1, ,     0.9, ,    14.4, ,     3.7, 
 1899,   -18.5, ,   -19.2, ,   -15.1, ,     1.5, ,     8.8, ,    12.7, ,    15.5, ,    15.7, ,     7.0, ,     4.9, ,    -0.1, ,   -14.2, ,    -0.1, ,   -17.1, ,    -1.6, ,    14.6, ,     3.9, 
 1900,   -14.0, ,   -18.6, ,   -14.4, ,     3.7, ,     8.9, ,    13.5, ,    15.2, ,    17.5, ,    11.8, ,     9.2, ,    -6.1, ,   -12.0, ,     1.2, ,   -15.6, ,    -0.6, ,    15.4, ,     5.0, 
 1901,   -16.7, ,   -18.4, ,   -12.4, ,     2.9, ,    10.4, ,    15.6, ,    17.4, ,    15.5, ,    10.4, ,     3.7, ,    -6.4, ,   -13.5, ,     0.7, ,   -15.7, ,     0.3, ,    16.2, ,     2.6, 
 1902,   -15.7, ,   -11.1, ,    -4.3, ,     1.3, ,     7.6, ,    10.7, ,    17.2, ,    13.3, ,     9.5, ,     2.0, ,    -2.2, ,   -14.8, ,     1.1, ,   -13.4, ,     1.5, ,    13.7, ,     3.1, 
 1903,   -17.2, ,   -17.5, ,    -6.7, ,    -0.4, ,     8.4, ,    13.3, ,    15.9, ,    13.4, ,     9.3, ,     4.2, ,    -5.9, ,   -17.3, ,     0.0, ,   -16.5, ,     0.4, ,    14.2, ,     2.5, 
 1904,   -20.4, ,   -22.2, ,   -10.2, ,    -1.3, ,     8.9, ,    15.1, ,    14.6, ,    12.5, ,     8.8, ,     2.4, ,    -3.5, ,   -16.8, ,    -1.0, ,   -20.0, ,    -0.9, ,    14.1, ,     2.6, 
 1905,   -20.8, ,   -17.9, ,   -10.0, ,    -0.5, ,     6.9, ,    13.1, ,    16.0, ,    14.6, ,    12.4, ,     2.9, ,    -5.1, ,    -9.6, ,     0.2, ,   -18.5, ,    -1.2, ,    14.6, ,     3.4, 
 1906,   -12.2, ,   -16.5, ,   -13.8, ,     3.2, ,     7.2, ,    16.1, ,    16.1, ,    16.0, ,    12.3, ,     3.6, ,    -2.8, , -9999.9,M, -9999.9,M,   -12.8, ,    -1.1, ,    16.1, ,     4.4, 
 1907,   -20.1, ,   -18.9, ,    -8.3, ,    -6.0, ,     1.3, ,    15.0, ,    15.4, ,    13.0, ,     9.2, ,     1.1, ,    -4.9, ,   -11.7, ,    -1.2, , -9999.9,M,    -4.3, ,    14.5, ,     1.8, 
 1908,   -15.8, ,   -16.6, ,   -11.3, ,    -1.5, ,     9.4, ,    14.4, ,    16.3, ,    14.3, ,    13.3, ,     6.0, ,    -2.8, ,   -14.5, ,     0.9, ,   -14.7, ,    -1.1, ,    15.0, ,     5.5, 
