6068980,TURBINE             ,ONT , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
6068980,TURBINE             ,ONT , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1914, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    14.5, ,    18.3, ,    14.7, ,    11.8, ,     7.7, ,    -3.0, ,   -10.9, , -9999.9,M, -9999.9,M, -9999.9,M,    15.8, ,     5.5, 
 1915,   -11.7, ,    -9.2, ,    -5.9, ,     6.1, ,     8.6, ,    13.9, ,    16.7, ,    15.3, ,    12.1, ,     6.9, ,     0.8, ,    -8.7, ,     3.7, ,   -10.6, ,     2.9, ,    15.3, ,     6.6, 
 1916,   -10.6, ,   -14.5, ,   -10.0, ,     4.0, ,     9.2, ,    13.9, ,    21.1, ,    18.2, ,    11.6, ,     4.7, ,    -1.6, ,    -9.7, ,     3.0, ,   -11.3, ,     1.1, ,    17.7, ,     4.9, 
 1917,   -13.5, ,   -17.6, ,    -6.7, ,     1.9, ,     7.1, ,    13.6, ,    18.7, ,    15.4, ,    10.8, ,     2.4, ,    -3.5, ,   -16.3, ,     1.0, ,   -13.6, ,     0.8, ,    15.9, ,     3.2, 
 1918,   -19.2, ,   -15.2, ,    -5.2, ,     3.1, ,    10.1, ,    13.7, ,    18.5, ,    16.1, ,     9.5, ,     6.4, ,     1.6, ,    -7.1, ,     2.7, ,   -16.9, ,     2.7, ,    16.1, ,     5.8, 
 1919,    -9.4, ,    -9.1, ,    -4.4, ,     2.9, ,    11.6, ,    20.8, ,    19.4, ,    16.8, ,    13.1, ,     5.9, ,    -2.4, ,   -12.0, ,     4.4, ,    -8.5, ,     3.4, ,    19.0, ,     5.5, 
 1920,   -19.8, ,   -13.9, ,    -5.5, ,     2.0, ,    10.3, ,    16.7, ,    16.4, ,    17.9, ,    13.6, ,     9.3, ,    -2.1, ,    -7.5, ,     3.1, ,   -15.2, ,     2.3, ,    17.0, ,     6.9, 
 1921,    -9.9, ,    -9.6, ,    -3.9, ,     5.8, ,    12.5, ,    17.5, ,    22.8, ,    15.7, ,    15.0, ,     6.4, ,    -3.9, ,    -9.3, ,     4.9, ,    -9.0, ,     4.8, ,    18.7, ,     5.8, 
 1922,   -14.2, ,   -12.7, ,    -4.8, ,     3.1, ,    13.4, ,    15.8, ,    16.8, ,    16.6, ,    12.9, ,     4.6, ,     0.0, ,   -10.3, ,     3.4, ,   -12.1, ,     3.9, ,    16.4, ,     5.8, 
 1923,   -14.5, ,   -15.4, ,   -11.3, ,    -1.2, ,     8.5, ,    16.9, ,    18.1, ,    14.9, ,    12.6, ,     5.8, ,    -0.3, ,    -3.4, ,     2.6, ,   -13.4, ,    -1.3, ,    16.6, ,     6.0, 
 1924,   -16.8, ,   -14.6, ,    -4.1, ,     2.3, ,     7.3, ,    13.8, ,    16.0, ,    15.2, ,     9.6, ,     7.4, ,    -1.7, ,   -14.5, ,     1.7, ,   -11.6, ,     1.8, ,    15.0, ,     5.1, 
 1925,   -15.0, ,    -9.7, ,    -5.4, ,     4.3, ,     7.2, ,    15.6, ,    15.6, ,    17.4, ,    11.9, , -9999.9,M,    -1.5, ,    -8.7, , -9999.9,M,   -13.1, ,     2.0, ,    16.2, , -9999.9,M
 1926,   -11.9, ,   -12.1, ,    -9.0, ,    -0.8, ,     8.2, ,    12.4, ,    16.8, ,    16.8, ,    11.0, ,     4.8, ,    -3.5, ,   -10.5, ,     1.9, ,   -10.9, ,    -0.5, ,    15.3, ,     4.1, 
 1927,   -14.3, ,   -11.1, ,    -2.1, ,     3.2, ,     9.6, ,    13.1, ,    17.4, ,    14.4, ,    13.3, ,     7.2, ,    -2.1, ,    -8.9, ,     3.3, ,   -12.0, ,     3.6, ,    15.0, ,     6.1, 
 1928,   -12.2, ,   -14.4, ,    -7.1, ,    -0.8, ,     9.6, ,    13.8, ,    17.6, ,    16.4, ,     9.3, ,     6.0, ,    -1.6, ,    -6.1, ,     2.5, ,   -11.8, ,     0.6, ,    15.9, ,     4.6, 
 1929,   -16.0, ,   -14.8, ,    -3.5, ,     3.9, ,     7.8, ,    13.7, ,    16.8, ,    14.9, ,    12.8, ,     5.1, ,    -2.6, ,   -11.9, ,     2.2, ,   -12.3, ,     2.7, ,    15.1, ,     5.1, 
 1930,   -13.3, ,   -10.7, ,    -4.9, ,     2.6, ,    11.4, ,    16.1, ,    17.4, ,    17.9, ,    12.9, ,     6.8, ,     1.4, ,    -7.8, ,     4.2, ,   -12.0, ,     3.0, ,    17.1, ,     7.0, 
 1931,   -11.5, ,    -8.3, ,    -3.3, ,     3.4, ,    10.5, ,    16.6, ,    20.0, ,    17.0, ,    15.0, ,     8.4, ,     3.5, ,    -4.8, ,     5.5, ,    -9.2, ,     3.5, ,    17.9, ,     9.0, 
 1932,    -4.7, ,    -9.5, ,    -6.6, ,     2.1, ,    10.6, ,    17.2, ,    18.0, ,    18.3, ,    12.3, ,     6.5, ,    -2.8, ,    -7.8, ,     4.5, ,    -6.3, ,     2.0, ,    17.8, ,     5.3, 
 1933,    -6.7, ,   -11.0, ,    -4.9, ,     3.9, ,    11.6, ,    17.5, ,    18.7, ,    17.3, ,    14.3, ,     5.9, ,    -7.4, ,   -13.5, ,     3.8, ,    -8.5, ,     3.5, ,    17.8, ,     4.3, 
 1934,   -10.1, ,   -19.8, ,    -8.3, ,     1.7, ,    10.5, ,    16.6, ,    19.1, ,    15.3, ,    14.3, ,     5.9, ,     2.2, ,   -12.2, ,     2.9, ,   -14.5, ,     1.3, ,    17.0, ,     7.5, 
 1935,   -15.5, ,   -12.1, ,    -5.1, ,     4.4, ,     8.3, ,    15.0, ,    21.0, ,    18.3, ,    10.6, ,     5.9, ,    -1.2, ,   -10.3, ,     3.3, ,   -13.3, ,     2.5, ,    18.1, ,     5.1, 
 1936,   -14.2, ,   -16.9, ,    -3.3, ,     0.9, ,    11.0, ,    14.0, ,    19.8, ,    16.6, ,    13.0, ,     4.1, ,    -5.3, ,    -7.7, ,     2.7, ,   -13.8, ,     2.9, ,    16.8, ,     3.9, 
 1937,    -9.1, ,    -8.0, ,    -6.4, ,     4.2, ,    11.6, ,    16.5, ,    19.5, ,    19.8, ,    12.2, ,     5.2, ,     0.4, ,    -9.4, ,     4.7, ,    -8.3, ,     3.1, ,    18.6, ,     5.9, 
 1938,   -14.5, ,   -11.1, ,    -4.5, ,     3.9, ,    11.2, ,    16.2, ,    19.1, ,    19.3, ,    11.2, ,     7.8, ,     0.3, ,    -7.2, ,     4.3, ,   -11.7, ,     3.5, ,    18.2, ,     6.4, 
 1939,   -11.9, ,   -12.4, ,    -8.2, ,     1.8, ,    11.5, ,    16.2, ,    19.4, ,    18.8, ,    12.1, ,     5.7, ,    -1.7, ,    -6.0, ,     3.8, ,   -10.5, ,     1.7, ,    18.1, ,     5.4, 
 1940,   -14.1, ,   -10.7, ,    -6.9, ,     3.0, ,    10.4, ,    14.9, ,    19.3, ,    17.0, ,    13.4, ,     5.4, ,    -2.3, ,    -6.9, ,     3.5, ,   -10.3, ,     2.2, ,    17.1, ,     5.5, 
 1941,   -13.7, ,    -9.8, ,    -6.3, ,     7.1, ,    11.9, ,    17.7, ,    19.5, ,    16.0, ,    13.5, ,     7.0, ,     0.4, ,    -6.7, ,     4.7, ,   -10.1, ,     4.2, ,    17.7, ,     7.0, 
 1942,   -12.4, ,   -10.5, ,    -2.4, ,     6.4, ,    11.0, ,    16.6, ,    18.1, ,    16.9, ,    12.3, ,     7.2, ,    -1.6, ,   -10.8, ,     4.2, ,    -9.9, ,     5.0, ,    17.2, ,     6.0, 
 1943,   -15.4, ,   -10.5, ,    -9.0, ,     0.9, ,    10.6, ,    17.3, ,    19.0, ,    17.5, ,    11.7, ,     6.0, ,    -0.3, ,    -9.4, ,     3.2, ,   -12.2, ,     0.8, ,    17.9, ,     5.8, 
 1944,    -6.3, ,   -10.4, ,    -7.0, ,     2.3, ,    13.7, ,    17.0, ,    19.4, ,    18.9, ,    13.4, ,     6.3, ,     1.0, ,    -9.0, ,     4.9, ,    -8.7, ,     3.0, ,    18.4, ,     6.9, 
 1945,   -16.2, ,    -7.7, ,     1.5, ,     5.4, ,     9.1, ,    15.8, ,    17.9, ,    18.2, ,    12.3, ,     6.1, ,    -0.1, ,   -10.2, ,     4.3, ,   -11.0, ,     5.3, ,    17.3, ,     6.1, 
 1946,   -10.9, ,   -13.7, ,     2.1, ,     4.3, ,     9.7, ,    15.7, ,    18.5, ,    16.4, ,    13.4, ,     9.0, ,     0.5, ,    -7.8, ,     4.8, ,   -11.6, ,     5.4, ,    16.9, ,     7.6, 
 1947,   -10.4, ,   -11.2, ,    -3.9, ,     1.7, ,     8.2, ,    16.0, ,    19.4, ,    21.1, ,    13.2, ,    11.3, ,    -0.6, ,    -8.3, ,     4.7, ,    -9.8, ,     2.0, ,    18.8, ,     8.0, 
 1948,   -14.9, ,   -11.8, ,    -5.7, ,     5.6, ,    10.3, ,    16.8, ,    19.0, ,    19.5, ,    15.2, ,     7.3, ,     4.0, ,    -5.3, ,     5.0, ,   -11.7, ,     3.4, ,    18.4, ,     8.8, 
 1949,    -9.8, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -2.2, ,    -6.1, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1950,    -9.4, ,   -11.3, ,    -7.2, ,     0.2, ,    10.6, ,    15.6, ,    18.5, ,    15.6, ,    11.7, ,     8.3, ,    -0.5, ,    -9.8, ,     3.5, ,    -8.9, ,     1.2, ,    16.6, ,     6.5, 
 1951,   -11.3, ,    -8.3, ,    -3.4, ,     5.5, ,    13.0, ,    16.5, ,    18.3, ,    16.4, ,    11.6, ,     7.2, ,    -3.1, ,    -9.0, ,     4.5, ,    -9.8, ,     5.0, ,    17.1, ,     5.2, 
 1952,    -9.9, ,    -8.1, ,    -4.4, ,     5.6, ,    10.8, ,    16.1, ,    19.7, ,    17.4, ,    14.3, ,     4.5, ,     1.5, ,    -3.8, ,     5.3, ,    -9.0, ,     4.0, ,    17.7, ,     6.8, 
 1953,    -9.2, ,    -7.4, ,    -2.7, ,     3.8, ,    12.0, , -9999.9,M,    19.8, ,    18.7, ,    12.7, ,     7.5, ,     2.3, ,    -4.7, , -9999.9,M,    -6.8, ,     4.4, , -9999.9,M,     7.5, 
 1954,   -14.5, ,    -5.4, ,    -5.4, ,     3.0, ,    10.0, ,    17.9, ,    18.8, ,    17.4, ,    12.6, ,     7.2, ,     1.6, ,    -8.0, ,     4.6, ,    -8.2, ,     2.5, ,    18.0, ,     7.1, 
 1955,   -11.5, ,   -10.0, ,    -6.1, ,     7.7, ,    13.1, ,    19.0, ,    21.2, ,    20.3, ,    12.1, ,     8.2, ,    -2.0, ,   -11.1, ,     5.1, ,    -9.8, ,     4.9, ,    20.2, ,     6.1, 
 1956,   -10.6, ,    -8.8, ,    -7.8, ,     2.2, ,     7.8, ,    18.6, ,    18.3, ,    17.3, ,     9.8, ,     8.5, ,     0.7, ,    -8.3, ,     4.0, ,   -10.2, ,     0.7, ,    18.1, ,     6.3, 
 1957,   -15.3, ,    -7.7, ,    -3.0, ,     4.5, ,    10.5, ,    16.1, ,    19.1, ,    16.3, ,    12.8, ,     6.7, ,     1.0, ,    -5.7, ,     4.6, ,   -10.4, ,     4.0, ,    17.2, ,     6.8, 
