6113329,WALKERTON           ,ONT , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
6113329,WALKERTON           ,ONT , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1915, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    16.2, ,    17.2, ,    10.0, ,     2.8, ,    -4.9, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    10.0, 
 1916,    -3.3, ,    -8.5, ,    -6.1, ,     6.3, ,    11.9, ,    15.9, , -9999.9,M,    20.3, ,    15.0, ,     8.6, ,     1.7, ,    -4.5, , -9999.9,M,    -5.6, ,     4.0, , -9999.9,M,     8.4, 
 1917,    -6.9, ,   -11.4, ,    -2.1, ,     3.5, ,     8.1, ,    15.2, ,    20.7, ,    18.2, ,    13.3, ,     5.3, ,    -0.4, , -9999.9,M, -9999.9,M,    -7.6, ,     3.2, ,    18.0, ,     6.1, 
 1918, -9999.9,M,    -8.9, ,    -2.3, ,     5.0, ,    13.7, ,    15.1, ,    18.7, ,    18.7, ,    11.3, ,    10.0, ,     4.5, ,    -1.6, , -9999.9,M, -9999.9,M,     5.5, ,    17.5, ,     8.6, 
 1919,    -4.0, ,    -4.7, ,    -1.4, ,     4.2, ,    10.3, ,    21.6, ,    20.8, ,    18.1, ,    15.9, ,    10.5, ,     1.9, ,    -8.1, ,     7.1, ,    -3.4, ,     4.4, ,    20.2, ,     9.4, 
 1920, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1921,    -5.4, ,    -4.7, ,     1.5, ,     8.5, ,    12.9, ,    17.8, ,    22.6, ,    17.8, ,    16.1, ,     7.9, ,     0.9, ,    -4.4, ,     7.6, , -9999.9,M,     7.6, ,    19.4, ,     8.3, 
 1922,    -9.5, ,    -6.6, ,    -1.5, ,     5.2, ,    13.7, ,    16.1, ,    18.1, ,    17.7, ,    15.6, ,     7.6, ,     3.0, , -9999.9,M, -9999.9,M,    -6.8, ,     5.8, ,    17.3, ,     8.7, 
 1923, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    10.6, ,    18.6, ,    18.7, ,    17.8, ,    15.4, ,     8.9, ,     3.4, ,     1.4, , -9999.9,M, -9999.9,M, -9999.9,M,    18.4, ,     9.2, 
 1924,    -7.6, ,    -9.5, ,    -2.6, ,     5.1, ,     9.3, ,    15.2, ,    17.9, ,    17.0, ,    13.3, ,    10.3, ,     2.9, ,    -6.1, ,     5.4, ,    -5.2, ,     3.9, ,    16.7, ,     8.8, 
 1925,    -8.6, ,    -3.9, ,     0.1, ,     7.7, ,     9.0, ,    18.0, ,    18.3, ,    19.5, ,    15.2, ,     4.6, ,     1.6, ,    -4.2, ,     6.4, ,    -6.2, ,     5.6, ,    18.6, ,     7.1, 
 1926,    -5.3, ,    -7.3, ,    -6.2, ,     1.2, ,    10.0, ,    13.7, ,    17.8, ,    18.0, ,    14.5, ,     7.7, ,     1.8, ,    -6.2, ,     5.0, ,    -5.6, ,     1.7, ,    16.5, ,     8.0, 
 1927,    -9.0, ,    -3.3, ,     0.6, ,     5.3, ,    10.6, ,    14.7, ,    19.3, ,    16.3, ,    17.5, ,    10.9, ,     2.8, ,    -3.6, ,     6.8, ,    -6.2, ,     5.5, ,    16.8, ,    10.4, 
 1928,    -6.2, ,    -6.2, ,    -2.9, ,     4.2, ,    11.1, ,    16.4, ,    20.2, ,    20.6, ,    13.2, ,     9.9, ,     3.3, ,    -1.5, ,     6.8, ,    -5.3, ,     4.1, ,    19.1, ,     8.8, 
 1929,    -7.0, ,    -8.4, ,     1.9, ,     5.8, ,    10.1, ,    16.3, ,    19.5, ,    17.9, ,    16.5, ,     8.3, ,     1.7, ,    -5.2, ,     6.5, ,    -5.6, ,     5.9, ,    17.9, ,     8.8, 
 1930,    -6.6, ,    -5.0, ,    -2.5, ,     6.0, ,    13.9, ,    18.5, ,    19.6, , -9999.9,M,    16.1, ,     8.4, ,     4.9, ,    -3.1, , -9999.9,M,    -5.6, ,     5.8, , -9999.9,M,     9.8, 
 1931,    -4.9, ,    -2.5, ,    -0.1, ,     7.2, ,    13.0, ,    17.5, ,    21.0, ,    18.3, ,    16.2, ,    10.2, ,     6.7, ,     0.4, ,     8.6, ,    -3.5, ,     6.7, ,    18.9, ,    11.0, 
 1932,     0.3, ,    -1.9, ,    -2.3, ,     4.9, ,    12.8, ,    18.0, ,    18.2, ,    18.4, ,    14.8, ,     9.8, ,     1.4, ,    -2.0, ,     7.7, ,    -0.4, ,     5.1, ,    18.2, ,     8.7, 
 1933,    -0.1, ,    -4.0, ,    -0.6, ,     7.1, ,    13.3, ,    20.0, ,    21.4, ,    19.6, ,    18.0, ,     9.0, ,    -0.7, ,    -5.1, ,     8.2, ,    -2.0, ,     6.6, ,    20.3, ,     8.8, 
 1934,    -4.8, ,   -16.2, ,    -4.6, ,     4.1, ,    13.4, ,    19.1, ,    21.2, ,    17.7, ,    17.5, ,     8.9, ,     5.1, ,    -5.1, ,     6.4, ,    -8.7, ,     4.3, ,    19.3, ,    10.5, 
 1935,    -7.3, ,    -7.5, ,     0.7, ,     5.3, ,     9.0, ,    16.8, ,    22.6, ,    18.8, ,    14.2, ,     9.8, ,     3.4, ,    -5.9, ,     6.7, ,    -6.6, ,     5.0, ,    19.4, ,     9.1, 
 1936,    -7.1, ,   -11.6, ,    -0.2, ,     2.8, ,    13.9, ,    16.8, ,    20.1, ,    19.3, ,    16.5, ,     8.5, ,    -0.2, ,    -2.3, ,     6.4, ,    -8.2, ,     5.5, ,    18.7, ,     8.3, 
 1937,    -2.8, ,    -4.1, ,    -4.1, ,     5.4, ,    12.3, ,    17.4, ,    20.2, ,    21.4, ,    14.2, ,     7.0, ,     2.2, ,    -5.0, ,     7.0, ,    -3.1, ,     4.5, ,    19.7, ,     7.8, 
 1938,    -7.7, ,    -4.6, ,     1.0, ,     7.0, ,    12.6, ,    17.1, ,    20.8, ,    20.9, ,    13.2, ,    10.8, ,     4.2, ,    -2.6, ,     7.7, ,    -5.8, ,     6.9, ,    19.6, ,     9.4, 
 1939,    -6.3, ,    -5.8, ,    -4.2, ,     4.3, ,    13.2, ,    18.2, ,    19.7, ,    20.6, ,    15.4, ,     9.0, ,     1.4, ,    -2.3, ,     6.9, ,    -4.9, ,     4.4, ,    19.5, ,     8.6, 
 1940,   -10.3, ,    -5.9, ,    -4.8, ,     3.4, ,    12.1, ,    17.2, ,    19.3, ,    19.3, ,    14.9, ,     7.9, ,     1.7, ,    -2.6, ,     6.0, ,    -6.2, ,     3.6, ,    18.6, ,     8.2, 
 1941,    -6.7, ,    -6.4, ,    -5.8, ,     9.3, ,    13.5, ,    19.3, ,    20.4, ,    17.9, ,    16.8, , -9999.9,M,     5.5, ,    -1.2, , -9999.9,M,    -5.2, ,     5.7, ,    19.2, , -9999.9,M
 1942,    -6.2, ,    -8.5, ,     0.5, ,     9.0, ,    13.0, ,    17.9, ,    19.8, ,    19.3, ,    15.1, ,     9.7, ,     2.8, ,    -5.4, ,     7.3, ,    -5.3, ,     7.5, ,    19.0, ,     9.2, 
 1943,    -8.8, ,    -5.2, ,    -3.5, ,     3.1, ,    12.0, ,    20.4, ,    20.1, ,    19.4, ,    14.3, ,     7.8, ,     1.5, ,    -4.4, ,     6.4, ,    -6.5, ,     3.9, ,    20.0, ,     7.9, 
 1944,    -3.6, ,    -5.1, ,    -3.7, ,     4.3, ,    15.7, ,    19.2, ,    20.7, ,    21.2, ,    16.2, ,     8.7, ,     4.1, ,    -5.2, ,     7.7, ,    -4.4, ,     5.4, ,    20.4, ,     9.7, 
 1945,   -10.9, ,    -6.6, ,     5.9, ,     9.0, ,     9.9, ,    16.2, ,    19.2, ,    19.6, ,    15.7, ,     8.4, ,     3.4, ,    -5.7, ,     7.0, ,    -7.6, ,     8.3, ,    18.3, ,     9.2, 
 1946,    -4.1, ,    -6.8, ,     5.4, ,     5.9, ,    11.4, ,    17.4, ,    20.3, ,    17.7, ,    16.5, ,    11.8, ,     4.7, ,    -2.9, ,     8.1, ,    -5.5, ,     7.6, ,    18.5, ,    11.0, 
 1947,    -4.1, ,    -8.4, ,    -3.4, ,     3.6, ,    10.0, ,    16.9, ,    19.6, ,    22.8, ,    16.4, ,    13.7, ,     1.6, ,    -5.3, ,     7.0, ,    -5.1, ,     3.4, ,    19.8, ,    10.6, 
 1948,    -9.4, ,    -8.3, ,    -2.6, ,     9.3, ,    10.5, ,    16.8, ,    20.1, ,    19.6, ,    16.9, ,     8.2, ,     6.1, ,    -2.2, ,     7.1, ,    -7.7, ,     5.7, ,    18.8, ,    10.4, 
 1949,    -2.6, ,    -3.3, ,    -1.5, ,     5.8, ,    13.2, ,    20.5, ,    21.2, ,    20.0, ,    13.3, ,    11.4, ,     1.0, ,    -1.7, ,     8.1, ,    -2.7, ,     5.8, ,    20.6, ,     8.6, 
 1950,    -1.2, ,    -6.4, ,    -4.5, ,     2.4, ,    12.4, ,    17.0, ,    18.3, ,    18.2, ,    14.1, ,    11.1, ,     1.8, ,    -4.3, ,     6.6, ,    -3.1, ,     3.4, ,    17.8, ,     9.0, 
 1951,    -5.3, ,    -5.0, ,    -0.2, ,     6.3, ,    13.1, ,    17.5, ,    20.3, ,    17.6, ,    14.5, ,    10.7, ,    -0.9, ,    -3.2, ,     7.1, ,    -4.9, ,     6.4, ,    18.5, ,     8.1, 
 1952,    -3.7, ,    -4.4, ,    -1.8, ,     7.4, ,    10.9, ,    18.6, ,    21.4, ,    19.5, ,    15.8, ,     6.1, ,     4.5, ,    -1.1, ,     7.8, ,    -3.8, ,     5.5, ,    19.8, ,     8.8, 
 1953,    -3.6, ,    -2.9, ,     0.3, ,     5.2, ,    12.7, ,    18.4, ,    20.2, ,    20.0, ,    15.2, ,    10.5, ,     5.3, ,    -1.1, ,     8.4, ,    -2.5, ,     6.1, ,    19.5, ,    10.3, 
 1954,    -8.3, ,    -2.3, ,    -2.8, ,     7.0, ,     9.7, ,    18.3, ,    18.7, ,    18.2, ,    15.0, ,    10.1, ,     3.7, ,    -4.1, ,     6.9, ,    -3.9, ,     4.6, ,    18.4, ,     9.6, 
 1955,    -6.0, ,    -6.6, ,    -1.9, ,     9.5, ,    13.9, ,    17.6, ,    23.5, ,    22.1, ,    15.4, ,    10.6, ,     1.8, ,    -5.5, ,     7.9, ,    -5.6, ,     7.2, ,    21.1, ,     9.3, 
 1956,    -6.3, ,    -5.2, ,    -3.8, ,     4.0, ,    10.0, ,    17.8, ,    18.5, ,    18.8, ,    13.0, ,    11.0, ,     3.5, ,    -1.7, ,     6.6, ,    -5.7, ,     3.4, ,    18.4, ,     9.2, 
 1957,    -8.6, ,    -3.3, ,    -0.8, ,     7.5, ,    11.5, ,    18.2, ,    19.1, ,    17.2, ,    14.5, ,     8.1, ,     3.4, ,    -1.1, ,     7.1, ,    -4.5, ,     6.1, ,    18.2, ,     8.7, 
 1958,    -5.9, ,    -8.7, ,    -0.2, ,     7.4, ,    10.5, ,    14.6, ,    19.7, ,    18.7, ,    15.3, ,     9.7, ,     3.5, ,    -8.4, ,     6.4, ,    -5.2, ,     5.9, ,    17.7, ,     9.5, 
 1959,    -8.5, ,    -9.1, ,    -3.3, ,     6.0, ,    13.5, ,    17.6, ,    20.3, ,    22.2, ,    17.0, ,     8.7, ,     0.9, ,    -2.0, ,     6.9, ,    -8.7, ,     5.4, ,    20.0, ,     8.9, 
 1960,    -5.3, ,    -5.7, ,    -8.0, ,     6.9, ,    13.0, ,    16.4, ,    18.4, ,    19.3, ,    16.1, ,     8.5, ,     4.6, ,    -6.2, ,     6.5, ,    -4.3, ,     4.0, ,    18.0, ,     9.7, 
 1961,    -9.4, ,    -5.5, ,    -0.5, ,     4.3, ,    10.3, ,    17.2, ,    19.6, ,    19.3, ,    18.1, ,    10.9, ,     3.8, ,    -2.9, ,     7.1, ,    -7.0, ,     4.7, ,    18.7, ,    10.9, 
 1962,    -7.6, ,    -9.1, ,    -2.6, ,     6.6, ,    14.9, ,    17.0, ,    18.3, ,    18.6, ,    13.7, ,     9.7, ,     1.9, ,    -5.3, ,     6.3, ,    -6.5, ,     6.3, ,    18.0, ,     8.4, 
 1963,   -10.2, ,   -11.4, ,    -1.3, ,     6.0, ,    10.4, ,    17.3, ,    19.1, ,    16.1, ,    12.6, ,    12.4, ,     5.3, ,    -7.9, ,     5.7, ,    -9.0, ,     5.0, ,    17.5, ,    10.1, 
 1964,    -5.1, ,    -6.0, ,    -1.0, ,     6.4, ,    13.6, ,    16.3, ,    19.6, ,    15.6, ,    13.4, ,     6.1, ,     3.3, ,    -4.0, ,     6.5, ,    -6.3, ,     6.3, ,    17.2, ,     7.6, 
 1965,    -7.7, ,    -6.8, ,    -4.5, ,     2.6, ,    13.6, ,    15.7, ,    16.0, ,    16.9, ,    14.8, ,     6.5, ,     2.1, ,    -1.4, ,     5.7, ,    -6.2, ,     3.9, ,    16.2, ,     7.8, 
 1966,    -8.6, ,    -6.0, ,    -0.1, ,     3.9, ,     8.4, ,    17.2, ,    19.8, ,    16.9, ,    13.1, ,     8.1, ,     3.5, ,    -3.8, ,     6.0, ,    -5.3, ,     4.1, ,    18.0, ,     8.2, 
 1967,    -3.9, ,    -9.4, ,    -3.3, ,     5.9, ,     8.2, ,    19.0, ,    18.2, ,    16.7, ,    13.3, ,     8.6, ,     0.4, ,    -2.6, ,     5.9, ,    -5.7, ,     3.6, ,    18.0, ,     7.4, 
