6115529,MUSKOKA             ,ONT , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
6115529,MUSKOKA             ,ONT , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1953,    -6.2, ,    -5.2, ,    -1.4, ,     4.4, ,    11.6, ,    16.0, ,    19.1, ,    18.1, ,    13.5, ,     8.8, ,     3.5, ,    -3.8, ,     6.5, , -9999.9,M,     4.9, ,    17.7, ,     8.6, 
 1954,   -12.4, ,    -3.9, ,    -4.5, ,     5.0, ,     9.5, ,    17.4, ,    17.2, ,    16.5, ,    12.6, ,     8.4, ,     2.1, ,    -7.1, ,     5.1, ,    -6.7, ,     3.3, ,    17.0, ,     7.7, 
 1955,   -10.1, ,    -7.7, ,    -4.7, ,     8.1, ,    12.4, ,    17.0, ,    21.0, ,    20.5, ,    13.1, ,     8.8, ,    -0.7, ,    -9.8, ,     5.7, ,    -8.3, ,     5.3, ,    19.5, ,     7.1, 
 1956,    -8.9, ,    -8.2, ,    -6.1, ,     2.5, ,     8.0, ,    16.2, ,    17.0, ,    17.1, ,    10.7, ,     9.3, ,     1.6, ,    -5.7, ,     4.5, ,    -9.0, ,     1.5, ,    16.8, ,     7.2, 
 1957,   -12.5, ,    -6.8, ,    -2.7, ,     5.9, ,    10.3, ,    16.9, ,    18.2, ,    15.7, ,    13.3, ,     7.0, ,     1.6, ,    -4.4, ,     5.2, ,    -8.3, ,     4.5, ,    16.9, ,     7.3, 
 1958,    -9.1, ,   -11.6, ,    -0.1, ,     6.5, ,     9.6, ,    13.7, ,    18.1, ,    17.3, ,    13.9, ,     8.1, ,     1.8, ,   -11.6, ,     4.7, ,    -8.4, ,     5.3, ,    16.4, ,     7.9, 
 1959,   -11.4, ,   -12.2, ,    -5.1, ,     3.9, ,    12.5, ,    17.1, ,    19.0, ,    20.8, ,    15.6, ,     6.7, ,    -0.9, ,    -4.8, ,     5.1, ,   -11.7, ,     3.8, ,    19.0, ,     7.1, 
 1960,    -8.8, ,    -7.6, ,    -8.2, ,     5.3, ,    13.6, ,    15.4, ,    17.3, ,    17.7, ,    14.8, ,     7.7, ,     3.6, ,    -8.8, ,     5.2, ,    -7.1, ,     3.6, ,    16.8, ,     8.7, 
 1961,   -12.9, ,    -6.8, ,    -2.7, ,     3.2, ,     9.1, ,    15.1, ,    18.6, ,    18.2, ,    16.8, ,     9.4, ,     1.1, ,    -5.5, ,     5.3, ,    -9.5, ,     3.2, ,    17.3, ,     9.1, 
 1962,   -11.2, ,   -12.2, ,    -2.4, ,     4.6, ,    13.9, ,    16.0, ,    17.2, ,    18.1, ,    12.2, ,     8.1, ,     0.4, ,    -7.9, ,     4.7, ,    -9.6, ,     5.4, ,    17.1, ,     6.9, 
 1963,   -11.5, ,   -13.7, ,    -3.8, ,     4.5, ,     9.4, ,    16.5, ,    18.6, ,    15.7, ,    11.2, ,    11.2, ,     4.1, ,   -11.5, ,     4.2, ,   -11.0, ,     3.4, ,    16.9, ,     8.8, 
 1964,    -6.9, ,    -8.5, ,    -3.0, ,     4.6, ,    12.7, ,    15.5, ,    19.9, ,    14.7, ,    12.6, ,     6.0, ,     1.8, ,    -6.0, ,     5.3, ,    -9.0, ,     4.8, ,    16.7, ,     6.8, 
 1965,   -11.1, ,    -9.7, ,    -5.1, ,     2.0, ,    12.1, ,    14.8, ,    15.2, ,    16.4, ,    13.9, ,     6.3, ,    -0.1, ,    -3.1, ,     4.3, ,    -8.9, ,     3.0, ,    15.5, ,     6.7, 
 1966,   -12.2, ,    -8.0, ,    -2.1, ,     3.6, ,     7.4, ,    16.6, ,    19.9, ,    17.6, ,    11.9, ,     6.6, ,     2.2, ,    -8.1, ,     4.6, ,    -7.8, ,     3.0, ,    18.0, ,     6.9, 
 1967,    -6.7, ,   -12.9, ,    -5.5, ,     4.1, ,     7.6, ,    18.3, ,    17.9, ,    16.3, ,    12.7, ,     7.0, ,    -1.7, ,    -4.8, ,     4.4, ,    -9.2, ,     2.1, ,    17.5, ,     6.0, 
 1968,   -11.4, ,   -11.5, ,    -2.1, ,     6.5, ,     9.7, ,    15.5, ,    18.3, ,    16.4, ,    15.4, ,     9.1, ,     0.2, ,    -8.8, ,     4.8, ,    -9.2, ,     4.7, ,    16.7, ,     8.2, 
 1969,   -10.0, ,    -7.2, ,    -4.6, ,     5.0, ,     9.6, ,    14.2, ,    17.9, ,    18.6, ,    13.8, ,     7.2, ,     1.2, ,    -8.8, ,     4.7, ,    -8.7, ,     3.3, ,    16.9, ,     7.4, 
 1970,   -14.0, ,   -10.7, ,    -5.7, ,     4.5, ,    10.9, ,    15.5, ,    18.9, ,    17.5, ,    13.4, ,     8.6, ,     1.9, ,    -9.1, ,     4.3, ,   -11.2, ,     3.2, ,    17.3, ,     8.0, 
 1971,   -13.7, ,    -8.3, ,    -7.3, ,     2.3, ,    10.6, ,    17.0, ,    16.9, ,    16.1, ,    15.3, ,    11.3, ,     0.0, ,    -5.1, ,     4.6, ,   -10.4, ,     1.9, ,    16.7, ,     8.9, 
 1972,    -9.6, ,   -12.1, ,    -6.9, ,     1.1, ,    12.6, ,    14.2, ,    17.8, ,    16.5, ,    12.8, ,     4.6, ,    -0.3, ,    -7.0, ,     3.6, ,    -8.9, ,     2.3, ,    16.2, ,     5.7, 
 1973,    -8.5, ,   -11.2, ,     1.8, ,     5.0, ,     9.8, ,    16.9, ,    18.8, ,    19.5, ,    13.0, ,     9.5, ,     0.9, ,    -6.7, ,     5.7, ,    -8.9, ,     5.5, ,    18.4, ,     7.8, 
 1974,    -8.4, ,   -12.6, ,    -4.8, ,     4.9, ,     8.4, ,    16.0, ,    17.4, ,    17.6, ,    11.2, ,     4.9, ,     0.9, ,    -3.8, ,     4.3, ,    -9.2, ,     2.8, ,    17.0, ,     5.7, 
 1975,    -7.9, ,    -8.0, ,    -6.2, ,     0.3, ,    14.6, ,    17.2, ,    19.4, ,    17.8, ,    11.2, ,     8.4, ,     4.1, ,    -8.4, ,     5.2, ,    -6.6, ,     2.9, ,    18.1, ,     7.9, 
 1976,   -13.9, ,    -6.7, ,    -3.3, ,     6.0, ,     9.7, ,    17.5, ,    17.7, ,    16.7, ,    12.2, ,     4.8, ,    -2.0, ,   -12.2, ,     3.9, ,    -9.7, ,     4.1, ,    17.3, ,     5.0, 
 1977,   -14.4, ,    -9.4, ,     0.1, ,     5.6, ,    13.1, ,    15.2, ,    18.6, ,    15.9, ,    12.9, ,     6.1, ,     1.6, ,    -8.3, ,     4.8, ,   -12.0, ,     6.3, ,    16.6, ,     6.9, 
 1978,   -12.6, ,   -13.1, ,    -6.8, ,     2.1, ,    12.9, ,    14.6, ,    17.9, ,    17.7, ,    11.9, ,     5.7, ,     0.1, ,    -6.8, ,     3.6, ,   -11.3, ,     2.7, ,    16.7, ,     5.9, 
 1979,   -11.1, ,   -15.1, ,    -0.6, ,     4.7, ,    10.9, ,    15.7, ,    18.7, ,    16.5, ,    13.0, , -9999.9,M, -9999.9,M,    -4.5, , -9999.9,M,   -11.0, ,     5.0, ,    17.0, , -9999.9,M
 1980,    -8.6, ,   -12.2, ,    -4.5, ,     5.6, ,    11.8, ,    13.1,E,    18.3, ,    19.3, ,    12.8, ,     5.3,E,    -0.5,E,   -11.2, ,     4.1,E,    -8.4, ,     4.3, ,    16.9,E,     5.9,E
 1981,   -14.3, ,    -4.0, ,    -2.1, ,     5.8, ,    10.5, ,    16.1, ,    19.4, ,    17.4, ,    12.6, ,     5.6, ,     1.2, ,    -5.5, ,     5.2, ,    -9.8, ,     4.7, ,    17.6, ,     6.5, 
 1982,   -14.9, ,    -9.9, ,    -3.9, ,     2.3, ,    14.6, ,    14.8, ,    18.8, ,    15.9, ,    13.1, ,     8.6, ,     2.4, ,    -1.8, ,     5.0, ,   -10.1, ,     4.3, ,    16.5, ,     8.0, 
 1983,    -7.9, ,    -6.2, ,    -1.0, ,     4.3, ,     9.1, ,    16.5, ,    20.1, ,    19.5, ,    15.0, ,     7.3, ,     1.1, ,    -9.8, ,     5.7, ,    -5.3, ,     4.1, ,    18.7, ,     7.8, 
 1984,   -12.6, ,    -3.6, ,    -6.8, ,     6.6, ,     9.1, ,    16.1, ,    17.7, ,    19.0, ,    11.6, ,     9.3, ,     1.1, ,    -2.9, ,     5.4, ,    -8.7, ,     3.0, ,    17.6, ,     7.3, 
 1985,   -12.6, ,    -7.3, ,    -3.2, ,     4.7, ,    11.6, ,    13.9, ,    17.5, ,    16.7, ,    14.3, ,     7.6, ,     0.9, ,    -8.5, ,     4.6, ,    -7.6, ,     4.4, ,    16.0, ,     7.6, 
 1986,   -10.9, ,   -10.1, ,    -2.4, ,     7.3, ,    13.2, ,    14.2, ,    18.7, ,    15.8, ,    12.5, ,     6.6, ,    -1.0, ,    -4.4, ,     5.0, ,    -9.8, ,     6.0, ,    16.2, ,     6.0, 
 1987,    -8.4, ,    -9.7, ,    -0.8, ,     8.4, ,    12.3, ,    16.9, ,    20.4, ,    17.9, ,    14.0, ,     5.1, ,     0.6, ,    -3.6, ,     6.1, ,    -7.5, ,     6.6, ,    18.4, ,     6.6, 
 1988,    -9.7, ,   -11.1, ,    -4.8, ,     4.8, ,    13.3, ,    15.2, ,    20.4, ,    18.6, ,    13.1, ,     5.1, ,     2.7, ,    -7.2, ,     5.0, ,    -8.1, ,     4.4, ,    18.1, ,     7.0, 
 1989,    -6.9, ,   -11.4, ,    -6.0, ,     2.3, ,    11.7, ,    16.5, ,    19.4, ,    17.6, ,    13.1, ,     7.7, ,    -1.6, ,   -15.2, ,     3.9, ,    -8.5, ,     2.7, ,    17.8, ,     6.4, 
 1990,    -4.3,E,    -7.9, ,    -2.3, ,     5.9, ,     9.9, ,    16.2, ,    18.5, ,    18.2, ,    12.5, ,     6.9, ,     1.3, ,    -4.7, ,     5.9,E,    -9.1,E,     4.5, ,    17.6, ,     6.9, 
 1991,   -10.0, ,    -6.8, ,    -1.6, ,     6.6, ,    14.3, ,    17.2, ,    18.8, ,    18.8, ,    12.0, ,     8.4, ,     0.5, ,    -6.1, ,     6.0, ,    -7.2, ,     6.4, ,    18.3, ,     7.0, 
 1992,    -9.4, ,    -8.7, ,    -6.1, ,     3.2, ,    11.1, ,    14.2, ,    15.6, ,    15.4, ,    12.9, ,     5.0, ,    -0.2, ,    -5.3, ,     4.0, ,    -8.1, ,     2.7, ,    15.1, ,     5.9, 
 1993,    -8.0,E,   -13.2, ,    -4.1, ,     5.2, ,    10.9, ,    15.6, ,    19.3, ,    18.4, ,    11.1, ,     5.8, ,     0.3, ,    -6.1, ,     4.6,E,    -8.8,E,     4.0, ,    17.8, ,     5.7, 
 1994,   -17.0, ,   -12.2, ,    -3.4, ,     5.0, ,    10.0, ,    16.5, ,    18.8, ,    16.1, ,    13.5, ,     8.2, ,     2.8, ,    -3.7, ,     4.6, ,   -11.8, ,     3.9, ,    17.1, ,     8.2, 
