6121025,BRUCEFIELD          ,ONT , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
6121025,BRUCEFIELD          ,ONT , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1903, -9999.9,M, -9999.9,M, -9999.9,M,     5.3, ,    14.7, ,    14.5, ,    19.4, ,    16.7, ,    15.0, ,     8.8, ,    -0.3, ,    -7.3, , -9999.9,M, -9999.9,M, -9999.9,M,    16.9, ,     7.8, 
 1904,   -11.2, ,   -13.1, ,    -4.5, ,     2.1, ,    12.8, ,    17.0, ,    18.5, ,    16.6, ,    14.2, ,     7.1, ,     1.0, ,    -6.8, ,     4.5, ,   -10.5, ,     3.5, ,    17.4, ,     7.4, 
 1905,    -8.7, ,   -11.1, ,    -3.9, ,     4.4, ,    10.8, ,    16.6, ,    19.9, ,    18.6, ,    15.3, ,     9.0, ,     1.2, ,    -2.4, ,     5.8, ,    -8.9, ,     3.8, ,    18.4, ,     8.5, 
 1906,    -2.3, ,    -7.8, ,    -5.7, ,     5.3, ,    11.6, ,    18.3, ,    19.6, ,    21.3, ,    17.2, ,     8.7, ,     1.8, ,    -4.9, ,     6.9, ,    -4.2, ,     3.7, ,    19.7, ,     9.2, 
 1907,    -5.8, ,    -9.4, ,    -0.7, ,     1.6, ,     8.2, ,    16.3, ,    19.0, ,    16.9, ,    15.6, ,     5.9, ,     1.3, ,    -3.0, ,     5.5, ,    -6.7, ,     3.0, ,    17.4, ,     7.6, 
 1908,    -5.7, ,    -9.0, ,    -2.2, ,     5.0, ,    13.1, ,    17.7, ,    20.3, ,    17.5, ,    17.5, ,     9.7, ,     2.8, ,    -3.2, ,     7.0, ,    -5.9, ,     5.3, ,    18.5, ,    10.0, 
 1909,    -4.0, ,    -4.7, ,    -3.5, ,     3.6, ,    10.8, ,    17.7, ,    19.0, ,    19.0, ,    13.6, ,     6.5, ,     4.2, ,    -4.7, ,     6.5, ,    -4.0, ,     3.6, ,    18.6, ,     8.1, 
 1910,    -5.8, ,   -10.0, ,     1.5, ,     7.1, ,     9.2, ,    15.4, ,    19.8, ,    18.8, ,    14.0, ,     8.6, ,     0.5, ,    -7.2, ,     6.0, ,    -6.8, ,     5.9, ,    18.0, ,     7.7, 
 1911,    -5.1, ,    -5.0, ,    -3.5, ,     4.1, ,    15.1, ,    17.5, ,    20.7, ,    19.4, ,    14.2, ,     7.7, ,     0.9, ,    -0.9, ,     7.1, ,    -5.8, ,     5.2, ,    19.2, ,     7.6, 
 1912,   -11.8, ,   -11.4, ,    -8.7, ,     4.5, ,    12.4, ,    15.3, ,    19.7, ,    16.3, ,    16.4, ,     9.2, ,     3.0, ,    -1.1, ,     5.3, ,    -8.0, ,     2.7, ,    17.1, ,     9.5, 
