6127519,SARNIA              ,ONT , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
6127519,SARNIA              ,ONT , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1968,    -7.0, ,    -5.9, ,    -1.0, ,     7.8, , -9999.9,M,    16.5, ,    21.1, ,    21.6, ,    17.0, ,     9.8, ,     3.5, ,    -3.6, , -9999.9,M, -9999.9,M, -9999.9,M,    19.7, ,    10.1, 
 1969, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1970,    -8.8, ,    -5.2, ,    -1.3, ,     7.9, ,    13.5, ,    18.4, ,    21.4, ,    21.2, ,    17.2, ,    12.5, ,     4.7, ,    -2.5, ,     8.3, , -9999.9,M,     6.7, ,    20.3, ,    11.5, 
 1971,    -7.1, ,    -3.3, ,    -0.8, ,     4.6, ,    11.6, ,    19.9, ,    19.9, , -9999.9,M, -9999.9,M,    13.9, ,     3.3, ,     0.3, , -9999.9,M,    -4.3, ,     5.1, , -9999.9,M, -9999.9,M
 1972,    -5.8, ,    -6.5, ,    -2.0, ,     3.8, ,    12.0, ,    14.7, ,    20.4, ,    19.3, ,    16.3, ,     7.7, ,     2.8, ,    -1.9, ,     6.7, ,    -4.0, ,     4.6, ,    18.1, ,     8.9, 
 1973,    -2.8, ,    -6.1, ,     4.5, ,     7.8, ,    11.4, ,    19.8, ,    21.2, ,    21.7, ,    16.9, ,    12.5, ,     4.3, ,    -2.4, ,     9.1, ,    -3.6, ,     7.9, ,    20.9, ,    11.2, 
 1974,    -3.8, ,    -6.8, ,     0.7, ,     7.9, ,    10.2, ,    17.4, ,    20.7, ,    20.5, ,    14.5, ,     8.5, ,     4.1, ,    -1.5, ,     7.7, ,    -4.3, ,     6.3, ,    19.5, ,     9.0, 
 1975,    -2.7, ,    -3.1, ,    -1.6, ,     3.2, ,    15.4, ,    18.9, ,    21.7, ,    20.9, ,    13.8, ,    10.9, ,     7.5, ,    -2.4, ,     8.5, ,    -2.4, ,     5.7, ,    20.5, ,    10.7, 
 1976,    -7.5, ,    -0.9, ,     3.1, ,     7.9, ,    11.4, ,    19.7, ,    19.9, ,    19.0, ,    15.5, ,     7.6, ,     0.2, ,    -7.0, ,     7.4, ,    -3.6, ,     7.5, ,    19.5, ,     7.8, 
 1977,   -11.4, ,    -5.0, ,     3.8, ,     8.4, ,    15.0, ,    16.6, ,    21.8, ,    19.0, ,    16.5, ,     9.3, ,     4.4, ,    -3.0, ,     8.0, ,    -7.8, ,     9.1, ,    19.1, ,    10.1, 
 1978,    -8.1, ,   -10.5, ,    -3.9, ,     5.1, ,    12.9, ,    17.3, ,    19.9, ,    20.8, ,    17.6, ,     9.3, ,     3.7, ,    -2.3, ,     6.8, ,    -7.2, ,     4.7, ,    19.3, ,    10.2, 
 1979,    -8.1, ,   -10.4, ,     2.3, ,     5.2, ,    12.2, ,    17.8, ,    19.7, ,    19.4, ,    16.5, ,     9.7, ,     4.1, ,    -0.3, ,     7.3, ,    -6.9, ,     6.6, ,    19.0, ,    10.1, 
 1980,    -4.7, ,    -6.5, ,    -1.5, ,     5.9, ,    12.9, ,    16.0, ,    20.7,E,    22.0,E,    16.1, ,     7.6,E,     2.6, ,    -4.7, ,     7.2,E,    -3.8, ,     5.8, ,    19.6,E,     8.8,E
 1981,    -7.5,E,    -2.5, ,     1.5, ,     8.2, ,    11.2, ,    18.3, ,    21.2, ,    19.8, ,    15.8, ,     7.7, ,     4.3, ,    -2.5, ,     8.0,E,    -4.9,E,     7.0, ,    19.8, ,     9.3, 
 1982,    -8.9, ,    -7.5, ,    -0.7, ,     5.0, ,    14.9, ,    15.2, ,    21.0, ,    18.4, ,    15.9, ,    10.9, ,     4.7, ,     2.0, ,     7.6, ,    -6.3, ,     6.4, ,    18.2, ,    10.5, 
