6135583,NEW_GLASGOW         ,ONT , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
6135583,NEW_GLASGOW         ,ONT , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1957, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    20.5, ,    19.1, ,    16.3, ,    10.0, ,     4.5, ,     0.1, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    10.3, 
 1958,    -3.7, ,    -6.3, ,     1.6, ,     7.4, ,    12.2, ,    16.0, ,    20.8, ,    19.3, ,    16.6, ,    11.5, ,     4.9, ,    -6.3, ,     7.8, ,    -3.3, ,     7.1, ,    18.7, ,    11.0, 
 1959,    -6.8, ,    -4.3, ,     0.0, ,     7.4, ,    13.7, ,    18.6, ,    20.9, ,    22.3, ,    18.4, ,    10.6, ,     2.2, ,     0.3, ,     8.6, ,    -5.8, ,     7.0, ,    20.6, ,    10.4, 
 1960,    -2.6, ,    -3.4, ,    -5.1, ,     7.3, ,    12.2, ,    17.2, ,    19.5, ,    20.3, ,    17.8, ,    10.2, ,     5.3, ,    -4.9, ,     7.8, ,    -1.9, ,     4.8, ,    19.0, ,    11.1, 
 1961,    -6.6, ,    -2.4, ,     1.7, ,     4.2, ,    10.8, ,    17.1, ,    20.7, ,    20.3, ,    19.6, ,    12.6, ,     4.8, ,    -1.9, ,     8.4, ,    -4.6, ,     5.6, ,    19.4, ,    12.3, 
 1962,    -6.2, ,    -5.5, ,     0.1, ,     7.1, ,    15.5, ,    18.6, ,    19.6, ,    19.9, ,    15.3, ,    11.2, ,     3.8, ,    -4.4, ,     7.9, ,    -4.5, ,     7.6, ,    19.4, ,    10.1, 
 1963,    -8.8, ,    -8.2, ,     1.2, ,     7.1, ,    11.7, ,    18.2, ,    20.9, ,    18.6, ,    14.9, ,    13.4, ,     6.5, ,    -5.5, ,     7.5, ,    -7.1, ,     6.7, ,    19.2, ,    11.6, 
 1964,    -2.9, ,    -3.4, ,     0.5, ,     6.4, ,    14.2, ,    18.2, ,    21.5, ,    18.4, ,    16.0, ,     9.2, ,     5.7, ,    -1.5, ,     8.5, ,    -3.9, ,     7.0, ,    19.4, ,    10.3, 
 1965,    -4.9, ,    -4.2, ,    -1.9, ,     4.7, ,    13.7, ,    17.3, ,    18.7, ,    19.0, ,    17.3, ,     9.4, ,     4.4, ,     1.0, ,     7.9, ,    -3.5, ,     5.5, ,    18.3, ,    10.4, 
 1966,    -6.5, ,    -4.0, ,     1.6, ,     5.4, ,    10.1, ,    18.9, ,    21.6, ,    19.6, ,    15.5, ,     9.7, ,     4.8, ,    -2.2, ,     7.9, ,    -3.2, ,     5.7, ,    20.0, ,    10.0, 
 1967,    -1.7, ,    -6.4, ,     0.0, ,     6.7, ,     9.4, ,    20.2, ,    19.5, ,    18.3, ,    14.6, ,    10.2, ,     2.0, ,    -0.5, ,     7.7, ,    -3.4, ,     5.4, ,    19.3, ,     8.9, 
 1968,    -6.5, ,    -6.5, ,     1.7, ,     7.9, ,    10.7, ,    17.4, ,    20.2, ,    20.4, ,    18.1, ,    11.6, ,     4.3, ,    -2.7, ,     8.1, ,    -4.5, ,     6.8, ,    19.3, ,    11.3, 
 1969,    -4.6, ,    -3.6, ,    -0.3, ,     7.1, ,    12.2, ,    16.0, ,    20.7, ,    21.5, ,    17.0, ,    10.3, ,     3.9, ,    -3.5, ,     8.1, ,    -3.6, ,     6.3, ,    19.4, ,    10.4, 
 1970,    -8.7, ,    -4.8, ,    -0.9, ,     7.3, ,    13.5, ,    18.2, ,    20.9, ,    21.0, ,    17.3, ,    12.4, ,     5.4, ,    -1.7, ,     8.3, ,    -5.7, ,     6.6, ,    20.0, ,    11.7, 
