6142286,ELORA_RCS           ,ONT , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
6142286,ELORA_RCS           ,ONT , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1969, -9999.9,M, -9999.9,M,    -4.1, ,     6.4, ,    11.4, ,    15.5, ,    19.3, ,    19.8, ,    14.9, ,     8.1, , -9999.9,M,    -6.8, , -9999.9,M, -9999.9,M,     4.6, ,    18.2, , -9999.9,M
 1970,   -11.7, ,    -8.4, ,    -4.9, ,     5.7, ,    12.3, ,    17.0, ,    19.8, ,    18.9, ,    14.7, ,     9.9, ,     2.9, ,    -6.0, ,     5.9, ,    -9.0, ,     4.4, ,    18.6, ,     9.2, 
 1971,   -10.1, ,    -6.3, ,    -5.3, ,     3.2, ,    11.2, ,    18.1, ,    18.0, ,    17.6, ,    16.5, ,    12.5, ,     1.6, ,    -2.3, ,     6.2, ,    -7.5, ,     3.0, ,    17.9, ,    10.2, 
 1972,    -7.4, ,    -9.1, ,    -5.4, ,     1.8, ,    13.6, ,    15.1, ,    19.0, ,    18.0, ,    15.0, ,     5.7, ,    -0.3, ,    -4.0, ,     5.2, ,    -6.3, ,     3.3, ,    17.4, ,     6.8, 
 1973,    -5.5, ,    -8.6, ,     2.4, ,     6.0, ,    10.2, ,    18.2, ,    20.1, ,    20.1, ,    14.7, ,    10.6, ,     2.7, ,    -5.0, ,     7.2, ,    -6.0, ,     6.2, ,    19.5, ,     9.3, 
 1974,    -6.7, ,    -9.1, ,    -2.5, ,     6.4, ,     9.7, ,    16.4, ,    19.2, ,    18.8, ,    12.7, ,     6.5, ,     2.0, ,    -3.0, ,     5.9, ,    -6.9, ,     4.5, ,    18.1, ,     7.1, 
 1975,    -5.2, ,    -5.6, ,    -4.6, ,     1.6, ,    15.2, ,    17.8, ,    19.5, ,    18.3, ,    12.1, ,     9.1, ,     5.4, ,    -6.2, ,     6.5, ,    -4.6, ,     4.1, ,    18.5, ,     8.9, 
 1976,   -10.9, ,    -4.5, ,    -0.8, ,     6.4, ,     9.7, ,    18.6, ,    18.3, ,    17.5, ,    13.4, ,     5.7, ,    -1.4, ,    -9.1, ,     5.2, ,    -7.2, ,     5.1, ,    18.1, ,     5.9, 
 1977,   -13.0, ,    -7.8, ,     1.3, ,     7.4, ,    14.5, ,    16.1, ,    19.9, ,    17.3, ,    14.4, ,     7.3, ,     2.9, ,    -5.6, ,     6.2, ,   -10.0, ,     7.7, ,    17.8, ,     8.2, 
 1978,   -10.3, ,   -12.0, ,    -5.9, ,     3.3, ,    13.0, ,    16.4, ,    19.3, ,    19.2, ,    14.2, ,     7.4, ,     1.8, ,    -4.7, ,     5.1, ,    -9.3, ,     3.5, ,    18.3, ,     7.8, 
 1979,    -9.5, ,   -12.8, ,     0.2, ,     3.9, ,    10.8, ,    16.7, ,    19.1,E,    17.5, ,    14.1, ,     7.4, ,     2.6, ,    -2.6, ,     5.6,E,    -9.0, ,     5.0, ,    17.8,E,     8.0, 
 1980,    -6.6, ,    -9.5, ,    -3.5, ,     5.6, ,    13.1, ,    14.3, ,    19.3, ,    19.9, ,    13.8, ,     5.5, ,     0.7, ,    -7.8, ,     5.4, ,    -6.2, ,     5.1, ,    17.8, ,     6.7, 
 1981,   -11.8, ,    -4.5, ,    -1.2, ,     6.3, ,    11.1, ,    16.8, ,    19.6, ,    18.4, ,    13.6, ,     5.9, ,     2.6, ,    -4.3, ,     6.0, ,    -8.0, ,     5.4, ,    18.3, ,     7.4, 
 1982,   -11.1, ,    -8.9, ,    -3.5, ,     3.9, ,    14.9, ,    14.9, ,    19.6, ,    16.5, ,    13.9, ,     9.1, ,     3.1, ,    -0.2, ,     6.0, ,    -8.1, ,     5.1, ,    17.0, ,     8.7, 
