6142420,FOLDENS             ,ONT , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
6142420,FOLDENS             ,ONT , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1963, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    18.4, ,    14.3, ,    14.1, ,     5.4, ,    -6.8, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    11.3, 
 1964,    -4.1, ,    -5.2, ,    -0.6, ,     6.1, ,    14.2, ,    17.9, ,    21.5, ,    17.2, ,    15.5, ,     8.4, ,     4.6, ,    -2.7, ,     7.7, ,    -5.4, ,     6.6, ,    18.9, ,     9.5, 
 1965,    -6.8, ,    -5.6, ,    -3.3, ,     3.6, ,    14.4, ,    16.9, ,    18.4, ,    18.6, ,    16.6, ,     8.1, ,     3.2, ,    -0.8, ,     6.9, ,    -5.0, ,     4.9, ,    18.0, ,     9.3, 
 1966,    -7.6, ,    -4.8, ,     0.9, ,     4.9, ,     9.9, ,    19.0, ,    22.0, ,    19.5, ,    14.4, ,     8.5, ,     3.7, ,    -3.5, ,     7.2, ,    -4.4, ,     5.2, ,    20.2, ,     8.9, 
 1967,    -2.9, ,    -8.1, ,    -1.5, ,     6.7, ,     8.8, ,    20.4, ,    19.1, ,    18.6, ,    14.6, ,     9.3, ,     0.6, ,    -1.8, ,     7.0, ,    -4.8, ,     4.7, ,    19.4, ,     8.2, 
 1968, -9999.9,M, -9999.9,M,     1.0, ,     8.2, ,    10.4, ,    17.4, ,    19.8, ,    19.8, ,    17.4, ,    10.5, ,     3.0, ,    -4.4, , -9999.9,M, -9999.9,M,     6.5, ,    19.0, ,    10.3, 
 1969,    -6.0, ,    -4.8, ,    -2.0, ,     7.5, ,    12.5, ,    16.4, ,    20.6, ,    21.4, ,    16.4, ,     9.0, ,     2.9, ,    -5.6, ,     7.4, ,    -5.1, ,     6.0, ,    19.5, ,     9.4, 
 1970,   -10.0, ,    -6.6, ,    -2.9, ,     7.3, ,    13.4, ,    18.1, ,    20.8, ,    20.8, ,    16.4, ,    11.1, ,     4.1, ,    -3.8, ,     7.4, ,    -7.4, ,     5.9, ,    19.9, ,    10.5, 
 1971,    -8.4, ,    -4.9, ,    -2.8, ,     4.8, ,    12.4, ,    19.5, ,    19.8, ,    19.8, ,    18.0, ,    13.6, ,     2.7, ,    -0.5, ,     7.8, ,    -5.7, ,     4.8, ,    19.7, ,    11.4, 
 1972,    -6.2, ,    -7.2, ,    -3.6, ,     4.2, ,    14.4, ,    16.0, ,    20.6, ,    19.3, ,    16.5, ,     7.3, ,     1.2, ,    -2.4, ,     6.7, ,    -4.6, ,     5.0, ,    18.6, ,     8.3, 
 1973,    -4.3, ,    -6.8, ,     3.7, ,     7.0, ,    11.4, ,    19.3, ,    21.0, ,    21.4, ,    16.6, ,    11.8, ,     3.6, ,    -4.0, ,     8.4, ,    -4.5, ,     7.4, ,    20.6, ,    10.7, 
 1974,    -5.1, ,    -7.0, ,    -0.9, ,     7.7, ,    11.0, ,    17.5, ,    20.3, ,    20.2, ,    14.2, ,     8.4, ,     3.4, ,    -1.8, ,     7.3, ,    -5.4, ,     5.9, ,    19.3, ,     8.7, 
 1975,    -3.4, ,    -4.0, ,    -2.7, ,     3.1, ,    16.4, ,    18.7, ,    20.9, ,    19.9, ,    13.8, ,    10.4, ,     7.1, ,    -4.0, ,     8.0, ,    -3.1, ,     5.6, ,    19.8, ,    10.4, 
 1976,    -8.9, ,    -2.5, ,     1.3, ,     7.5, ,    11.0, ,    19.6, ,    19.6, ,    18.7, ,    14.9, ,     6.8, ,    -0.5, ,    -8.0, ,     6.6, ,    -5.1, ,     6.6, ,    19.3, ,     7.1, 
 1977,   -12.1, ,    -6.3, ,     2.5, ,     8.2, ,    15.9, ,    17.3, ,    21.4, ,    18.8, ,    16.2, ,     8.7, ,     3.8, ,    -4.2, ,     7.5, ,    -8.8, ,     8.9, ,    19.2, ,     9.6, 
 1978,    -9.0, ,   -10.8, ,    -3.8, ,     5.0, ,    13.4, ,    17.6, ,    19.9, ,    20.3, ,    15.5, ,     8.4, ,     3.1, ,    -3.3, ,     6.4, ,    -8.0, ,     4.9, ,    19.3, ,     9.0, 
 1979,    -8.5, ,   -10.8, ,     1.4, ,     5.1, ,    12.1, ,    17.7, ,    20.1, ,    18.9, ,    15.6, ,     8.4, ,     3.7, ,    -1.6, ,     6.8, ,    -7.5, ,     6.2, ,    18.9, ,     9.2, 
 1980,    -5.5, ,    -7.7, ,    -2.3, ,     6.3, ,    14.1, ,    15.5, ,    20.4, ,    21.2, ,    15.6, ,     6.7, ,     1.6, ,    -6.0, ,     6.7, ,    -4.9, ,     6.0, ,    19.0, ,     8.0, 
 1981,    -9.6, ,    -3.2, ,    -0.1, ,     7.0, ,    12.4, ,    18.2, ,    20.7, ,    19.7, ,    14.7, ,     7.1, ,     3.4, ,    -3.1, ,     7.3, ,    -6.3, ,     6.4, ,    19.5, ,     8.4, 
 1982,    -9.3, ,    -7.8, ,    -2.1, ,     4.4, ,    15.9, ,    15.9, ,    20.7, ,    17.9, ,    15.3, ,    10.5, ,     4.1, ,     1.1, ,     7.2, ,    -6.7, ,     6.1, ,    18.2, ,    10.0, 
 1983,    -4.2, ,    -2.6, ,     1.1, ,     5.4, ,    10.2, ,    18.8, ,    21.7, ,    21.1, ,    16.7, ,     9.4, ,     3.1, ,    -7.2, ,     7.8, ,    -1.9, ,     5.6, ,    20.5, ,     9.7, 
 1984,    -9.2, ,    -1.6, ,    -4.4, ,     7.2, ,    10.3, ,    18.7, ,    19.6, ,    20.9,E,    14.5, ,    11.5, ,     3.1, ,    -0.5, ,     7.5,E,    -6.0, ,     4.4, ,    19.7,E,     9.7, 
 1985,    -7.7,E,    -6.2, ,     0.2, ,     9.0, ,    14.5, ,    16.0, ,    19.7, ,    19.4, ,    17.1, ,    10.0, ,     3.5, ,    -6.1, ,     7.5,E,    -4.8,E,     7.9, ,    18.4, ,    10.2, 
 1986,    -6.0, ,    -6.3, ,     0.2,E,     8.1, ,    14.7, ,    17.4, ,    20.7, ,    18.7, ,    15.4, ,     9.4, ,     1.4, ,    -2.3, ,     7.6,E,    -6.1, ,     7.7,E,    18.9, ,     8.7, 
 1987,    -5.0, ,    -5.3, ,     1.6,E,     8.7, ,    15.1, ,    20.0, ,    22.7, ,    19.4, ,    16.3, ,     7.3, ,     3.7, ,    -0.6, ,     8.7,E,    -4.2, ,     8.5,E,    20.7, ,     9.1, 
 1988,    -5.8, ,    -6.7, ,    -0.5,E,     6.3, ,    14.8, ,    18.6, ,    23.2, ,    21.5, ,    15.6, ,     6.6, ,     4.4, ,    -3.4, ,     7.9,E,    -4.4, ,     6.9,E,    21.1, ,     8.9, 
