6142803,GLEN_ALLAN          ,ONT , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
6142803,GLEN_ALLAN          ,ONT , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1958, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    18.5, ,    14.6, ,     8.7, ,     2.6, ,    -9.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     8.6, 
 1959,    -9.4, ,    -9.7, ,    -4.8, ,     5.2, ,    12.9, ,    17.5, ,    20.0, ,    21.4, ,    16.5, ,     8.2, ,    -0.2, ,    -3.2, ,     6.2, ,    -9.5, ,     4.4, ,    19.6, ,     8.2, 
 1960,    -6.5, ,    -6.8, ,    -9.2, ,     6.0, ,    12.2, ,    16.0, ,    18.4, ,    19.1, ,    16.3, ,     8.4, ,     3.5, ,    -7.5, ,     5.8, ,    -5.5, ,     3.0, ,    17.8, ,     9.4, 
 1961,   -10.6, ,    -5.6, ,    -1.2, ,     2.9, ,     9.8, ,    16.3, ,    19.3, ,    18.9, ,    18.0, ,    10.3, ,     2.0, ,    -4.8, ,     6.3, ,    -7.9, ,     3.8, ,    18.2, ,    10.1, 
 1962,    -9.6, ,    -9.9, ,    -3.2, ,     5.8, ,    14.4, ,    16.8, ,    18.0, ,    18.6, ,    13.4, ,     9.4, ,     1.5, ,    -6.5, ,     5.7, ,    -8.1, ,     5.7, ,    17.8, ,     8.1, 
 1963,   -11.3, ,   -11.6, ,    -2.2, ,     5.7, ,    10.3, ,    17.2, ,    19.6, ,    16.8, ,    13.0, ,    13.1, ,     4.4, ,    -8.9, ,     5.5, ,    -9.8, ,     4.6, ,    17.9, ,    10.2, 
 1964,    -5.9, ,    -7.3, ,    -2.5, ,     4.9, ,    13.2, ,    16.6, ,    20.6, ,    16.1, ,    14.1, ,     7.0, ,     3.0, ,    -4.3, ,     6.3, ,    -7.4, ,     5.2, ,    17.8, ,     8.0, 
 1965,    -8.5, ,    -7.5, ,    -4.9, ,     1.9, ,    13.6, ,    16.3, , -9999.9,M, -9999.9,M,    15.5, ,     6.9, ,     1.8, ,    -2.3, , -9999.9,M,    -6.8, ,     3.5, , -9999.9,M,     8.1, 
 1966,    -8.8, ,    -5.8, ,    -0.7, ,     3.6, ,     8.6, ,    17.5, ,    20.7, ,    18.6, ,    13.5, ,     7.4, ,     2.8, ,    -4.5, ,     6.1, ,    -5.6, ,     3.8, ,    18.9, ,     7.9, 
 1967,    -4.7, ,   -10.1, ,    -3.7, ,     5.2, ,     8.1, ,    19.3, ,    18.1, ,    17.1, ,    13.6, ,     8.1, ,    -0.5, ,    -3.6, ,     5.6, ,    -6.4, ,     3.2, ,    18.2, ,     7.1, 
 1968,    -9.5, ,    -9.6, ,    -0.5, ,     7.3, ,     9.9, ,    16.5, ,    18.7, ,    18.8, ,    16.6, ,     9.9, ,     1.9, ,    -5.7, ,     6.2, ,    -7.6, ,     5.6, ,    18.0, ,     9.5, 
 1969,    -7.1, ,    -7.2, ,    -4.6, ,     6.2, ,    11.0, ,    15.3, ,    19.5, ,    20.1, ,    15.4, ,     8.1, ,     1.9, ,    -7.0, ,     6.0, ,    -6.7, ,     4.2, ,    18.3, ,     8.5, 
 1970,   -11.5, ,    -8.5, ,    -5.2, ,     5.4, ,    12.3, ,    17.2, ,    20.1, ,    19.3, ,    14.7, ,     9.8, ,     3.0, ,    -5.7, ,     5.9, ,    -9.0, ,     4.2, ,    18.9, ,     9.2, 
 1971,    -9.9, ,    -6.5, ,    -5.6, ,     2.9, ,    11.1, ,    18.3, ,    18.3, ,    17.9, ,    17.0, ,    12.4, ,     1.6, ,    -2.3, ,     6.3, ,    -7.4, ,     2.8, ,    18.2, ,    10.3, 
 1972,    -7.7, ,    -9.1, ,    -5.7, ,     1.6, ,    13.8, ,    14.9, ,    19.2, ,    18.3, ,    15.3, ,     5.9, ,    -0.2, ,    -4.2, ,     5.2, ,    -6.4, ,     3.2, ,    17.5, ,     7.0, 
 1973,    -5.8, ,    -8.9, ,     2.2, ,     6.1, ,    10.3, ,    18.1, ,    20.2, ,    20.5, ,    15.0, ,    10.7, ,     2.2, ,    -5.0, ,     7.1, ,    -6.3, ,     6.2, ,    19.6, ,     9.3, 
 1974,    -6.3, ,    -9.2, ,    -2.9, ,     6.2, ,     9.6, ,    16.5, ,    19.4, ,    19.3, ,    13.2, ,     7.1, ,     2.1, ,    -3.0, ,     6.0, ,    -6.8, ,     4.3, ,    18.4, ,     7.5, 
 1975,    -5.5, ,    -5.5, ,    -4.5, ,     0.8, ,    15.4, ,    18.1, ,    20.1, ,    18.9, ,    12.6, ,     9.6, ,     5.9, ,    -5.7, ,     6.7, ,    -4.7, ,     3.9, ,    19.0, ,     9.4, 
