6143089,GUELPH              ,ONT , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
6143089,GUELPH              ,ONT , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1881, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    15.8, ,    14.6, ,    21.5, ,    21.3, ,    20.8, ,    10.0, ,     2.1, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    19.1, ,    11.0, 
 1882,    -5.4, ,    -1.8, ,    -0.8, ,     4.4, ,     9.2, ,    16.0, ,    19.5, ,    19.7, ,    16.1, ,    12.6, ,     2.6, ,    -4.1, ,     7.3, , -9999.9,M,     4.3, ,    18.4, ,    10.4, 
 1883,    -9.5, ,    -8.4, ,    -6.1, ,     4.6, ,    10.6, ,    19.0, ,    20.0, ,    18.2, ,    12.9, ,     7.0, ,     2.3, ,    -4.1, ,     5.5, ,    -7.3, ,     3.0, ,    19.1, ,     7.4, 
 1884,   -11.0, ,    -5.8, ,    -3.4, ,     4.6, ,    11.3, ,    19.5, ,    18.1, ,    19.3, ,    17.0, ,     9.2, ,     1.3, ,    -4.9, ,     6.3, ,    -7.0, ,     4.2, ,    19.0, ,     9.2, 
 1885,    -9.5, ,   -12.8, ,    -8.1, ,     3.7, ,    12.4, ,    16.4, ,    20.8, ,    17.1, , -9999.9,M,     6.2, ,     2.8, ,    -2.2, , -9999.9,M,    -9.1, ,     2.7, ,    18.1, , -9999.9,M
 1886,    -8.5, ,    -8.1, ,    -2.3, ,     7.7, ,    12.4, ,    16.5, ,    19.3, ,    18.9, ,    15.0, ,     9.2, ,     1.0, ,    -7.9, ,     6.1, ,    -6.3, ,     5.9, ,    18.2, ,     8.4, 
 1887,    -9.3, ,    -7.1, ,    -4.8, ,     4.4, ,    16.0, ,    18.2, ,    23.1, ,    18.4, ,    13.4, ,     6.4, ,     1.0, ,    -3.3, ,     6.4, ,    -8.1, ,     5.2, ,    19.9, ,     6.9, 
 1888,   -10.7, ,    -7.2, ,    -6.6, ,     4.0, ,    10.5, ,    18.3, ,    19.5, ,    18.8, ,    13.5, ,     5.8, ,     2.8, ,    -2.4, ,     5.5, ,    -7.1, ,     2.6, ,    18.9, ,     7.4, 
 1889,    -4.3, ,   -10.2, ,    -0.1, ,     6.3, ,    12.8, ,    15.8, ,    18.4, ,    18.3, ,    15.7, ,     5.1, ,     2.7, ,     0.4, ,     6.7, ,    -5.6, ,     6.3, ,    17.5, ,     7.8, 
 1890, -9999.9,M,    -3.2, , -9999.9,M,     6.1, ,     9.8, ,    19.4, ,    19.9, ,    18.0, ,    14.4, ,     9.5, ,     2.5, ,    -5.7, , -9999.9,M, -9999.9,M, -9999.9,M,    19.1, ,     8.8, 
