6155183,MILLGROVE           ,ONT , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
6155183,MILLGROVE           ,ONT , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1951, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    17.1, ,    20.1, ,    18.1, ,    14.9, ,     9.9, ,    -0.4, ,    -3.9, , -9999.9,M, -9999.9,M, -9999.9,M,    18.4, ,     8.1, 
 1952,    -4.4, ,    -4.0, ,    -1.1, , -9999.9,M, -9999.9,M,    18.6, ,    22.3, ,    19.2, ,    16.9, ,     6.3, , -9999.9,M, -9999.9,M, -9999.9,M,    -4.1, , -9999.9,M,    20.0, , -9999.9,M
 1953, -9999.9,M, -9999.9,M,    -0.3, ,     5.1, ,    12.6, ,    17.9, ,    20.6, ,    19.9, ,    15.6, ,    10.7, ,     4.7, ,    -0.1, , -9999.9,M, -9999.9,M,     5.8, ,    19.5, ,    10.3, 
 1954,    -8.0, ,    -2.0, ,    -1.3, ,     6.8, ,    10.7, ,    18.4, ,    19.4, ,    18.2, ,    15.1, ,    11.1, ,     3.8, ,    -3.8, ,     7.4, ,    -3.4, ,     5.4, ,    18.7, ,    10.0, 
 1955,    -6.1, ,    -4.8, ,    -0.9, ,     9.3, ,    14.4, ,    18.1, ,    23.5, ,    21.8, ,    14.9, ,    10.6, ,     2.1, ,    -5.3, ,     8.1, ,    -4.9, ,     7.6, ,    21.1, ,     9.2, 
 1956,    -5.0, ,    -4.2, ,    -2.3, ,     4.7, ,    10.1, ,    17.6, ,    18.8, ,    19.0, ,    13.3, ,    10.6, ,     3.6, ,    -0.6, ,     7.1, ,    -4.8, ,     4.2, ,    18.5, ,     9.2, 
 1957,    -8.9, ,    -3.6, , -9999.9,M,     7.3, ,    11.5, ,    18.6, ,    19.8, ,    18.5, ,    15.5, , -9999.9,M, -9999.9,M,    -0.8, , -9999.9,M,    -4.4, , -9999.9,M,    19.0, , -9999.9,M
 1958,    -5.0, ,    -8.5, ,     0.1, ,     7.6, ,    11.3, ,    14.9, ,    20.1, ,    18.8, ,    15.3, ,     9.0, ,     3.7, ,    -7.2, ,     6.7, ,    -4.8, ,     6.3, ,    17.9, ,     9.3, 
 1959,    -7.7, ,    -7.6, ,    -2.6, , -9999.9,M,    13.6, ,    18.7, ,    21.0, ,    22.8, ,    17.4, ,     9.5, ,     1.8, ,    -2.0, , -9999.9,M,    -7.5, , -9999.9,M,    20.8, ,     9.6, 
 1960,    -4.9, ,    -4.8, ,    -6.7, ,     7.3, ,    12.5, ,    16.7, ,    19.7, ,    18.5, ,    16.9, ,     8.9, ,     4.5, ,    -6.4, ,     6.9, ,    -3.9, ,     4.4, ,    18.3, ,    10.1, 
 1961,    -8.4, ,    -4.2, ,    -0.2, ,     3.8, ,    10.7, ,    16.7, ,    20.7, ,    19.5, ,    18.6, ,    11.2, ,     2.8, ,    -2.6, ,     7.4, ,    -6.3, ,     4.8, ,    19.0, ,    10.9, 
 1962,    -7.3, ,    -6.7, ,    -0.6, ,     7.0, ,    15.8, ,    17.2, ,    18.8, ,    19.4, ,    13.6, , -9999.9,M,     2.3, ,    -5.1, , -9999.9,M,    -5.5, ,     7.4, ,    18.5, , -9999.9,M
 1963,    -9.6, ,   -10.2, ,    -0.3, ,     6.6, ,    11.3, , -9999.9,M, -9999.9,M, -9999.9,M,    13.2, ,    13.2, ,     5.8, ,    -7.5, , -9999.9,M,    -8.3, ,     5.9, , -9999.9,M,    10.7, 
 1964,    -4.3, ,    -5.8, ,     0.0, ,     5.8, ,    14.1, ,    17.0, ,    21.1, ,    16.8, ,    14.6, ,     7.7, ,     4.2, ,    -3.1, ,     7.3, ,    -5.9, ,     6.6, ,    18.3, ,     8.8, 
 1965,    -7.4, ,    -5.8, ,    -3.2, ,     3.3, ,    13.6, ,    16.7, ,    17.3, ,    18.5, ,    15.9, ,     7.5, ,     2.8, ,    -0.6, ,     6.6, ,    -5.4, ,     4.6, ,    17.5, ,     8.7, 
 1966,    -7.4, ,    -5.2, ,     0.5, ,     4.6, ,     9.7, ,    18.4, ,    21.3, ,    19.3, ,    13.4, ,     8.0, ,     3.9, ,    -3.0, ,     7.0, ,    -4.4, ,     4.9, ,    19.7, ,     8.4, 
 1967,    -2.9, ,    -9.0, ,    -2.5, ,     6.2, ,     8.6, ,    19.7, ,    18.9, ,    18.4, ,    14.1, ,     8.6, ,     0.9, ,    -1.9, ,     6.6, ,    -5.0, ,     4.1, ,    19.0, ,     7.9, 
