6165195,MINDEN              ,ONT , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
6165195,MINDEN              ,ONT , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1956, -9999.9,M, -9999.9,M,    -6.1, ,     2.7, ,     8.8, ,    16.6, ,    17.2, ,    17.0, ,    11.2, ,     8.7, ,     1.5, ,    -4.9, , -9999.9,M, -9999.9,M,     1.8, ,    16.9, ,     7.1, 
 1957,   -13.1, ,    -6.6, ,    -1.8, ,     6.0, ,    10.1, ,    17.4, ,    18.8, ,    15.8, ,    13.2, ,     6.8, ,     1.6, ,    -4.6, ,     5.3, ,    -8.2, ,     4.8, ,    17.3, ,     7.2, 
 1958,    -9.3, ,   -11.7, ,    -0.4, ,     5.7, ,     9.0, ,    12.7, ,    17.4, ,    16.3, ,    13.6, ,     7.6, ,     1.3, ,   -12.9, ,     4.1, ,    -8.5, ,     4.8, ,    15.5, ,     7.5, 
 1959,   -12.0, ,   -13.0, ,    -5.5, ,     4.0, ,    12.1, ,    16.7, , -9999.9,M,    20.4, ,    15.4, ,     7.2, ,    -0.8, ,    -5.5, , -9999.9,M,   -12.6, ,     3.5, , -9999.9,M,     7.3, 
 1960,    -9.3, ,    -8.1, ,    -9.7, ,     5.2, ,    13.2, ,    15.4, ,    17.1, ,    17.1, ,    14.2, ,     7.0, ,     3.4, ,    -9.1, ,     4.7, ,    -7.6, ,     2.9, ,    16.5, ,     8.2, 
 1961,   -14.0, ,    -7.7, ,    -2.5, ,     3.4, ,     9.0, ,    14.9, ,    18.6, ,    18.2, ,    17.1, ,     9.3, ,     0.9, ,    -5.7, ,     5.1, ,   -10.3, ,     3.3, ,    17.2, ,     9.1, 
 1962,   -11.6, ,   -11.9, ,    -2.8, ,     4.5, ,    13.5, ,    15.8, ,    16.4, ,    17.5, ,    12.2, ,     8.1, ,     0.0, ,    -7.8, ,     4.5, ,    -9.7, ,     5.1, ,    16.6, ,     6.8, 
 1963,   -11.7, ,   -13.9, ,    -3.5, ,     4.1, ,     9.2, ,    16.4, ,    18.8, ,    15.5, ,    10.9, ,    10.3, ,     4.3, ,   -12.6, ,     4.0, ,   -11.1, ,     3.3, ,    16.9, ,     8.5, 
 1964,    -7.2, ,    -8.9, ,    -2.5, ,     4.5, ,    13.4, ,    15.3, ,    19.6, ,    14.7, ,    12.7, ,     5.8, ,     1.2, ,    -6.6, ,     5.2, ,    -9.6, ,     5.1, ,    16.5, ,     6.6, 
 1965,   -11.5, ,   -10.0, ,    -5.4, ,     2.6, ,    12.3, ,    14.6, ,    14.8, ,    16.6, ,    14.0, ,     6.5, ,     0.3, ,    -3.1, ,     4.3, ,    -9.4, ,     3.2, ,    15.3, ,     6.9, 
