7016675,RIVIERE_VERTE_OU    ,QUE , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
7016675,RIVIERE_VERTE_OU    ,QUE , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1966,   -10.2, ,    -9.5, ,    -3.4, ,     2.5, ,     8.5, ,    15.3, ,    17.3, ,    16.0, ,    10.2, ,     5.3, ,     1.4, ,    -7.9, ,     3.8, , -9999.9,M,     2.5, ,    16.2, ,     5.6, 
 1967,    -9.9, ,   -15.7, ,    -7.8, ,     0.8, ,     6.6, ,    16.5, ,    18.4, ,    16.9, ,    12.4, ,     5.8, ,    -2.2, ,    -8.0, ,     2.8, ,   -11.2, ,    -0.1, ,    17.3, ,     5.3, 
 1968,   -15.2, ,   -14.1, ,    -3.7, ,     5.0, ,     9.4, ,    13.9, ,    17.3, ,    14.2, ,    14.5, ,     7.9, ,    -2.5, ,    -9.6, ,     3.1, ,   -12.4, ,     3.6, ,    15.1, ,     6.6, 
 1969,    -9.3, ,    -7.9, ,    -4.8, ,     1.1, ,     8.5, ,    15.0, ,    17.0, ,    17.9, ,    10.8, ,     5.2, ,     1.0, ,    -7.8, ,     3.9, ,    -8.9, ,     1.6, ,    16.6, ,     5.7, 
 1970,   -17.8, ,   -12.6, ,    -4.8, ,     2.5, ,     9.3, ,    15.0, ,    19.2, ,    17.2, ,    11.1, ,     8.2, ,     0.5, ,   -11.6, ,     3.0, ,   -12.7, ,     2.3, ,    17.1, ,     6.6, 
 1971,   -15.7, ,   -11.0, ,    -4.8, ,     2.2, ,    10.3, ,    14.7, ,    16.8, ,    15.9, ,    13.8, ,     8.0, ,    -2.3, ,   -11.0, ,     3.1, ,   -12.8, ,     2.6, ,    15.8, ,     6.5, 
 1972,   -13.5, ,   -14.6, ,    -7.5, ,     0.6, ,     9.6, ,    15.1, ,    17.7, ,    15.2, ,    11.8, ,     2.8, ,    -2.8, ,   -11.2, ,     1.9, ,   -13.0, ,     0.9, ,    16.0, ,     3.9, 
 1973,   -11.7, ,   -12.6, ,    -0.8, ,     2.9, ,     9.4, ,    16.9, ,    18.8, ,    18.6, ,    11.2, ,     7.0, ,    -2.2, ,    -7.3, ,     4.2, ,   -11.8, ,     3.8, ,    18.1, ,     5.3, 
 1974,   -15.4, ,   -14.3, ,    -7.7, ,     0.9, ,     6.7, ,    15.7, ,    17.5, ,    16.4, ,     9.6, ,     2.6, ,    -0.9, ,    -6.5, ,     2.1, ,   -12.3, ,     0.0, ,    16.5, ,     3.8, 
 1975,   -12.1, , -9999.9,M,    -6.5, ,     0.6, ,    12.3, ,    16.6, ,    19.5, ,    17.4, ,    11.7, ,     6.0, ,     0.0, ,   -11.4, , -9999.9,M, -9999.9,M,     2.1, ,    17.8, ,     5.9, 
 1976,   -16.2, , -9999.9,M,    -6.1, ,     2.9, ,    10.1, ,    17.1, ,    17.2, ,    16.4, ,    10.6, ,     3.5, ,    -3.9, ,   -14.8, , -9999.9,M, -9999.9,M,     2.3, ,    16.9, ,     3.4, 
 1977,   -15.2, ,   -10.5, ,    -0.7, ,     2.0, ,    11.8, ,    14.9, ,    17.4, ,    15.6, ,    11.0, ,     5.9, ,     0.2, ,    -9.8, ,     3.6, ,   -13.5, ,     4.4, ,    16.0, ,     5.7, 
 1978,   -13.5, ,   -12.8, ,    -8.0, ,     1.4, ,    12.4, ,    15.4, ,    17.8, ,    16.1, ,     9.2, ,     4.4, ,    -2.9, ,   -10.2, ,     2.4, ,   -12.0, ,     1.9, ,    16.4, ,     3.6, 
 1979,   -10.6, ,   -14.5, ,    -1.3, ,     4.4, ,    11.3, ,    15.4, ,    18.5, ,    15.6, ,    10.7, ,     6.3, ,     1.2, ,    -7.9,E,     4.1,E,   -11.8, ,     4.8, ,    16.5, ,     6.1, 
 1980,   -12.2, ,   -11.5, ,    -4.8, ,     4.6, ,    10.4, ,    14.0, ,    17.3, ,    17.8, ,    10.5,E,     3.5, ,    -3.2, ,   -15.8, ,     2.6,E,   -10.5,E,     3.4, ,    16.4, ,     3.6,E
 1981,   -17.0, ,    -5.5, ,    -3.1, ,     3.0, ,    10.5, ,    14.9, ,    17.6, ,    16.2, ,    11.3, ,     4.1, ,    -1.0, ,    -6.9, ,     3.7, ,   -12.8, ,     3.5, ,    16.2, ,     4.8, 
 1982,   -18.8, ,   -13.2, ,    -6.3,E,     0.0, ,    11.0, ,    13.7, ,    17.0, ,    14.0, ,    11.9, ,     6.1, ,    -0.9, ,    -7.4, ,     2.3,E,   -13.0, ,     1.6,E,    14.9, ,     5.7, 
 1983,   -12.1, ,    -9.8, ,    -3.5, ,     2.9, ,     7.6, ,    15.7, ,    18.0, ,    17.3, ,    12.9, ,     5.4, ,    -0.2, ,   -11.4, ,     3.6, ,    -9.8, ,     2.3, ,    17.0, ,     6.0, 
 1984, -9999.9,M,    -5.0, ,    -8.4, ,     4.6, ,     8.6, ,    14.9,E,    17.9, ,    18.3,E,     9.8, ,     6.3, ,    -1.0, ,    -8.6, , -9999.9,M, -9999.9,M,     1.6, ,    17.0,E,     5.0, 
 1985,   -15.7, ,    -9.1, ,    -6.0,E,     1.3, ,     9.2, ,    14.1,E,    17.5,E,    16.3, ,    12.9, ,     6.2, ,    -1.8,E,   -11.5,E,     2.8,E,   -11.1, ,     1.5,E,    16.0,E,     5.8,E
 1986,   -12.7, ,   -12.0,E,    -5.4, ,     5.3, ,    11.0, ,    12.8,E,    16.8,E,    15.7, ,    10.3,E,     4.7, ,    -4.2,E,    -8.9,E,     2.8,E,   -12.1,E,     3.6, ,    15.1,E,     3.6,E
 1987,   -12.1,E,   -11.8,E,    -2.0, ,     6.8,E,     9.8, ,    16.1,E,    18.4,E,    15.4, ,    11.9, ,     5.0, ,    -2.2, ,    -6.9, ,     4.0,E,   -10.9,E,     4.9,E,    16.6,E,     4.9, 
 1988,   -12.1, ,   -12.4, ,    -6.4, ,     3.4, ,    12.3, ,    14.4,E,    19.6,E,    17.2,E,    11.2, ,     4.1, ,     0.6, ,   -11.4,E,     3.4,E,   -10.5, ,     3.1, ,    17.1,E,     5.3, 
 1989,   -12.3,E,   -14.4, ,    -8.3,E,     1.7,E,    12.8, ,    15.6, ,    18.0,E,    16.8, ,    12.6, ,     6.1, ,    -3.8, ,   -17.6,E,     2.3,E,   -12.7,E,     2.1,E,    16.8,E,     5.0, 
 1990,    -7.8, ,   -12.9, ,    -5.4,E,     2.7, ,     9.4, ,    15.2,E,    18.0, ,    17.8, ,    11.2, ,     6.1, ,    -1.3, ,    -8.3, ,     3.7,E,   -12.8,E,     2.2,E,    17.0,E,     5.3, 
 1991,   -15.1, ,   -10.1, ,    -3.3,E,     3.9, ,    11.4,E,    16.2, ,    17.7, ,    17.7, ,    10.0, ,     5.8,E,    -1.1, ,   -11.3, ,     3.5,E,   -11.2, ,     4.0,E,    17.2, ,     4.9,E
 1992,   -14.5,E,   -12.9,E,    -7.8, ,     1.2, ,    10.0, ,    14.8, ,    14.9,E,    16.1, ,    12.0, ,     3.9, ,    -1.3, ,    -7.7, ,     2.4,E,   -12.9,E,     1.1, ,    15.3,E,     4.9, 
 1993,   -13.6, ,   -16.2, ,    -6.0, ,     4.4,E,    10.5, ,    15.4,E,    18.3, ,    18.3,E,    10.7,E,     3.4, ,    -2.6, ,    -9.3, ,     2.8,E,   -12.5, ,     3.0,E,    17.3,E,     3.8,E
 1994,   -19.7, ,   -14.7, ,    -4.8, ,     1.1, ,     9.1, ,    16.9, ,    18.5,E,    15.2,E,    11.4, ,     7.3,E,     0.8, ,    -6.9, ,     2.9,E,   -14.6, ,     1.8, ,    16.9,E,     6.5,E
 1995,    -8.9, ,   -13.8, ,    -2.8, ,     0.8, ,    10.2,E,    16.7, ,    19.7,E,    17.6, ,    10.1, ,     7.7,E,    -3.2, ,   -10.5, ,     3.6,E,    -9.9, ,     2.7,E,    18.0,E,     4.9,E
