7016840,STE_ANNE_DELA_PERADE,QUE , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
7016840,STE_ANNE_DELA_PERADE,QUE , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1949, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    13.9, ,     9.1, ,    -1.8, ,    -6.5, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     7.1, 
 1950,    -9.2, ,   -13.1, ,    -7.6, ,     3.3, ,    12.4, ,    17.0, ,    19.7, ,    17.6, ,    11.3, ,     7.7, ,     2.4, ,    -7.2, ,     4.5, ,    -9.6, ,     2.7, ,    18.1, ,     7.1, 
 1951,   -11.3, ,    -9.8, ,    -3.4, ,     5.3, ,    12.5, ,    17.1, ,    19.4, ,    17.2, ,    13.3, ,     8.4, ,    -2.0, , -9999.9,M, -9999.9,M,    -9.4, ,     4.8, ,    17.9, ,     6.6, 
 1952, -9999.9,M,    -7.7, ,    -2.4, ,     4.7, ,    10.6, ,    18.2, ,    22.3, ,    18.8, ,    14.0, ,     5.8, ,     0.7, ,    -5.9, , -9999.9,M, -9999.9,M,     4.3, ,    19.8, ,     6.8, 
 1953,    -8.2, ,    -8.6, ,    -4.6, , -9999.9,M,    12.9, ,    17.3, ,    19.7, ,    18.2, ,    13.8, ,     8.0, ,     3.0, ,    -4.2, , -9999.9,M,    -7.6, , -9999.9,M,    18.4, ,     8.3, 
 1954,   -16.0, ,    -7.1, ,    -4.6, ,     3.3, ,    10.9, ,    17.2, ,    18.5, ,    17.5, ,    12.6, ,     8.1, ,     1.1, ,    -7.4, ,     4.5, ,    -9.1, ,     3.2, ,    17.7, ,     7.3, 
 1955,   -12.5, ,   -10.8, ,    -6.2, ,     4.4, ,    13.4, ,    18.3, ,    21.3, ,    20.5, ,    12.2, ,     8.0, ,    -0.1, ,   -12.4, ,     4.7, ,   -10.2, ,     3.9, ,    20.0, ,     6.7, 
 1956,    -7.2, ,    -9.8, ,    -7.8, ,     3.7, ,     8.0, , -9999.9,M, -9999.9,M,    17.1, ,    11.0, ,     7.4, ,     0.9, ,    -9.1, , -9999.9,M,    -9.8, ,     1.3, , -9999.9,M,     6.4, 
 1957,   -16.2, ,    -8.8, ,    -3.3, ,     4.7, ,    11.1, ,    17.4, ,    19.4, ,    16.2, ,    13.5, ,     8.0, ,     2.2, ,    -6.3, ,     4.8, ,   -11.4, ,     4.2, ,    17.7, ,     7.9, 
 1958,    -8.9, ,   -13.2, ,    -0.2, ,     5.1, ,     9.8, ,    13.7, ,    19.2, , -9999.9,M,    13.1, ,     6.1, ,     0.4, ,   -16.5, , -9999.9,M,    -9.5, ,     4.9, , -9999.9,M,     6.5, 
 1959,   -12.7, ,   -16.3, ,    -6.9, ,     4.0, ,    13.5, ,    15.9, ,    21.0, ,    18.9, ,    14.6, ,     6.1, ,    -1.0, ,    -8.0, ,     4.1, ,   -15.2, ,     3.5, ,    18.6, ,     6.6, 
 1960,   -11.9, ,    -6.6, ,    -5.7, ,     3.6, ,    14.4, ,    17.2, ,    18.4, ,    17.8, ,    13.1, ,     6.4, ,     2.3, ,    -9.8, ,     4.9, ,    -8.8, ,     4.1, ,    17.8, ,     7.3, 
 1961,   -16.4, ,   -11.1, ,    -5.7, ,     4.1, ,    10.5, ,    15.3, , -9999.9,M, -9999.9,M,    15.9, ,     8.2, , -9999.9,M,    -6.9, , -9999.9,M,   -12.4, ,     3.0, , -9999.9,M, -9999.9,M
