7016902,STE_BEATRIX         ,QUE , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
7016902,STE_BEATRIX         ,QUE , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1974, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -2.0, ,    -6.0, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1975, -9999.9,M,    -9.6, ,    -6.1, ,     1.7, ,    14.6, ,    17.8, ,    21.3, ,    19.2, ,    12.5, ,     7.3, ,     1.5, ,   -11.9, , -9999.9,M, -9999.9,M,     3.4, ,    19.4, ,     7.1, 
 1976,   -16.1, ,    -9.7, ,    -5.5, ,     4.8, ,    10.6, ,    18.7, ,    17.9, ,    17.4, ,    11.6, ,     3.7, ,    -2.8, ,   -14.8, ,     3.0, ,   -12.6, ,     3.3, ,    18.0, ,     4.2, 
 1977,   -15.1, ,    -9.6, ,    -0.5, ,     3.4, ,    13.5, ,    15.6, ,    18.3, ,    16.3, ,    12.1, ,     6.8, ,     0.4, ,    -9.1, ,     4.3, ,   -13.2, ,     5.5, ,    16.7, ,     6.4, 
 1978,   -12.6, ,   -11.8, ,    -5.9, ,     2.5, ,    14.3, ,    16.9, ,    19.1, ,    18.1, ,    11.0, ,     5.9, ,    -1.6, , -9999.9,M, -9999.9,M,   -11.2, ,     3.6, ,    18.0, ,     5.1, 
 1979,   -11.0, ,   -14.1, ,    -1.0, ,     5.1, ,    12.2, ,    16.7, ,    20.0, ,    17.1, ,    12.4, ,     6.7, ,     1.6, ,    -7.3, ,     4.9, , -9999.9,M,     5.4, ,    17.9, ,     6.9, 
 1980,   -11.0, ,   -10.4, ,    -4.0, ,     5.5, ,    11.6, ,    14.8, ,    18.6, ,    18.5, , -9999.9,M,     3.9, ,    -3.3,E,   -14.4, , -9999.9,M,    -9.6, ,     4.4, ,    17.3, , -9999.9,M
 1981,   -15.3, ,    -5.0, ,    -2.4, ,     5.6, ,    11.5, ,    16.4, ,    19.0, ,    17.4, ,    12.2, ,     4.4, ,     0.4, ,    -5.9, ,     4.9, ,   -11.6, ,     4.9, ,    17.6, ,     5.7, 
 1982,   -18.1,E,   -11.8, ,    -4.8, ,     1.6,E,    12.9, ,    14.9, ,    18.7, ,    15.3, ,    12.8, ,     7.0, ,     0.4, ,    -5.9, ,     3.6,E,   -11.9,E,     3.2,E,    16.3, ,     6.7, 
 1983,   -10.6, ,    -8.3, ,    -2.5, ,     3.5, ,     8.8, ,    17.3, ,    19.8, ,    19.3, ,    14.9, ,     6.2, ,    -0.5, ,   -11.1, ,     4.7, ,    -8.3, ,     3.3, ,    18.8, ,     6.9, 
