7017760,ST_TITE             ,QUE , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
7017760,ST_TITE             ,QUE , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1920, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    11.5, ,    15.5, ,    16.4, ,    18.1, ,    13.0, ,     8.0, ,    -4.0, ,    -9.3, , -9999.9,M, -9999.9,M, -9999.9,M,    16.7, ,     5.7, 
 1921,   -13.6, ,   -14.2, ,    -3.8, ,     5.3, ,    11.6, ,    15.5, ,    21.1, ,    15.7, ,    12.8, ,     5.6, ,    -5.0, ,   -12.3, ,     3.2, ,   -12.4, ,     4.4, ,    17.4, ,     4.5, 
 1922,   -16.5, ,   -14.3, ,    -5.0, ,     3.9, ,    12.5, ,    16.5, ,    17.8, ,    17.2, ,    12.8, ,     4.8, ,    -2.0, ,   -14.7, ,     2.8, ,   -14.4, ,     3.8, ,    17.2, ,     5.2, 
 1923,   -16.8, ,   -19.2, ,   -12.1, ,    -0.9, ,     9.7, ,    15.8, ,    17.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -4.1, , -9999.9,M,   -16.9, ,    -1.1, , -9999.9,M, -9999.9,M
 1924,   -16.5, ,   -15.3, ,    -2.5, ,     2.4, ,     8.4, ,    15.6, , -9999.9,M,    17.2, ,    12.3, ,     7.4, ,    -0.6, ,   -14.5, , -9999.9,M,   -12.0, ,     2.8, , -9999.9,M,     6.4, 
 1925,   -18.4, ,    -9.3, ,    -4.0, ,     3.1, ,     9.0, ,    15.9, ,    17.5, ,    18.5, ,    11.1, ,     1.5, ,    -3.3, ,   -11.0, ,     2.6, ,   -14.1, ,     2.7, ,    17.3, ,     3.1, 
 1926,   -15.1, ,   -14.2, ,    -9.9, ,    -2.3, ,     8.6, ,    13.9, ,    16.9, ,    16.4, , -9999.9,M,     4.8, ,    -3.1, ,   -13.7, , -9999.9,M,   -13.4, ,    -1.2, ,    15.7, , -9999.9,M
 1927,   -14.3, ,   -14.2, ,    -4.0, ,     2.9, ,     8.6, ,    14.0, ,    18.5, ,    15.9, ,    13.0, ,     7.0, ,    -0.7, ,   -11.2, ,     3.0, ,   -14.1, ,     2.5, ,    16.1, ,     6.4, 
 1928,   -16.0, ,   -17.4, ,    -8.0, ,    -0.6, ,     9.8, ,    14.9, , -9999.9,M,    18.7, ,    10.7, ,     5.9, ,    -2.4, ,    -8.8, , -9999.9,M,   -14.9, ,     0.4, , -9999.9,M,     4.7, 
 1929,   -15.0, ,   -13.8, ,    -6.0, ,     1.1, ,     9.8, ,    15.3, ,    17.4, ,    15.7, ,    12.7, ,     5.5, ,    -3.5, ,   -13.0, ,     2.2, ,   -12.5, ,     1.6, ,    16.1, ,     4.9, 
 1930,   -15.6, ,   -13.8, ,    -6.3, ,     0.7, ,    11.2, ,    18.7, ,    18.0, ,    17.1, ,    13.5, ,     6.8, ,     0.2, ,    -9.3, ,     3.4, ,   -14.1, ,     1.9, ,    17.9, ,     6.8, 
 1931,   -15.1, ,   -12.6, ,    -1.3, ,     5.4, ,    12.5, ,    16.3, ,    20.4, ,    17.6, ,    13.5, ,     7.9, ,     2.1, ,    -9.4, ,     4.8, ,   -12.3, ,     5.5, ,    18.1, ,     7.8, 
 1932,    -8.3, ,   -12.7, ,    -8.9, ,     1.9, ,    11.2, ,    15.9, ,    17.4, ,    18.8, ,    13.8, ,     6.7, ,    -5.3, ,   -10.2, ,     3.4, ,   -10.1, ,     1.4, ,    17.4, ,     5.1, 
