7022800,GRANBY              ,QUE , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
7022800,GRANBY              ,QUE , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1948, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    20.1,a,    20.3,a,    17.1,a,     7.3,a,     5.5,a,    -3.8,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    10.0,a
 1949,    -6.5,a,    -6.0,a,    -3.3,a,     5.9,a,    12.4,a,    20.6,a,    22.0,a,    20.7,a,    13.6,a,    10.9,a,    -0.5,a,    -3.3,a,     7.2,a,    -5.4,a,     5.0,a,    21.1,a,     8.0,a
 1950,    -4.1,a,   -10.1,a,    -6.8,a,     3.3,a,    13.1,a,    17.7,a,    19.8,a,    18.1,a,    11.8,a,     8.5,a,     3.6,a,    -5.6,a,     5.8,a,    -5.8,a,     3.2,a,    18.5,a,     8.0,a
 1951,    -7.6,a,    -6.8,a,    -1.6,a,     5.9,a,    12.6,a,    16.5,a,    19.8,a,    17.5,a,    13.8,a,     9.1,a,    -1.4,a,    -6.3,a,     6.0,a,    -6.7,a,     5.6,a,    17.9,a,     7.2,a
 1952,    -8.6,a,    -6.3,a,    -2.6,a,     6.7,a, -9999.9,M,    18.0,a,    21.3,a,    19.3,a,    14.9,a,     6.6,a,     3.2,a,    -4.4,a, -9999.9,M,    -7.1,a, -9999.9,M,    19.5,a,     8.2,a
 1953,    -6.8,a,    -6.3,a,     0.0,a,     5.4,a,    12.8,a,    17.8,a,    20.2,a,    18.6,a,    14.3,a,     9.2,a,     3.9,a,    -2.8,a,     7.2,a,    -5.8,a,     6.1,a,    18.9,a,     9.1,a
 1954,   -13.0,a,    -5.1,a,    -3.3,a,     5.0,a,    11.1,a,    17.2,a, -9999.9,M, -9999.9,M,    12.5,a,     9.4,a,     2.4,a,    -6.6,a, -9999.9,M,    -7.0,a,     4.3,a, -9999.9,M,     8.1,a
 1955,   -11.0,a,    -8.1,a,    -4.5,a,     6.5,a,    13.9,a,    18.2,a,    22.3,a,    20.7,a,    13.1,a,     9.2,a,    -0.3,a, -9999.9,M, -9999.9,M,    -8.6,a,     5.3,a,    20.4,a,     7.3,a
 1956, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1957, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
