7023075,HEMMINGFORD_FOUR    ,QUE , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
7023075,HEMMINGFORD_FOUR    ,QUE , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1960, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    19.6, ,    18.8, ,    14.9, ,     7.9, ,     4.3, ,    -7.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     9.0, 
 1961,   -13.8, ,    -7.6, ,    -3.0, ,     4.7, ,    10.8, ,    17.1, ,    19.7, ,    18.9, ,    17.8, ,     9.8, ,     2.5, ,    -4.8, ,     6.0, ,    -9.6, ,     4.2, ,    18.6, ,    10.0, 
 1962,   -10.2, ,   -11.5, ,    -2.1, ,     4.4, ,    12.9, ,    17.4, , -9999.9,M,    18.2, ,    12.6, ,     7.5, ,    -0.6, ,    -7.7, , -9999.9,M,    -8.8, ,     5.1, , -9999.9,M,     6.5, 
 1963,    -9.7, ,   -12.9, ,    -3.4, ,     5.5, ,    11.1, ,    18.0, , -9999.9,M,    16.5, ,    11.2, ,    11.6, ,     4.7, ,   -12.2, , -9999.9,M,   -10.1, ,     4.4, , -9999.9,M,     9.2, 
 1964,    -5.4, ,    -7.7, ,    -0.8, ,     6.0, ,    14.1, ,    17.5, , -9999.9,M,    17.0, ,    13.4, ,     7.8, ,     1.4, ,    -5.6, , -9999.9,M,    -8.4, ,     6.4, , -9999.9,M,     7.5, 
 1965,   -10.8, ,    -8.3, ,    -3.1, ,     4.3, ,    13.2, ,    17.2, , -9999.9,M,    18.4, ,    15.0, ,     7.2, ,     0.2, ,    -3.3, , -9999.9,M,    -8.2, ,     4.8, , -9999.9,M,     7.5, 
 1966,    -9.9, ,    -8.8, ,    -0.7, ,     4.9, ,    10.6, ,    18.1, ,    20.3, , -9999.9,M,    12.2, ,     8.4, ,     3.7, ,    -5.4, , -9999.9,M,    -7.3, ,     4.9, , -9999.9,M,     8.1, 
 1967,    -5.3, ,   -13.5, ,    -4.9, ,     4.7, ,     8.4, ,    19.0, ,    20.6, ,    19.0, ,    14.2, ,     9.0, ,    -0.1, ,    -4.1, ,     5.6, ,    -8.1, ,     2.7, ,    19.5, ,     7.7, 
 1968,   -14.7,E,   -12.8, ,    -1.1, ,     8.0, ,    10.9, ,    16.5, ,    21.1, ,    18.1, ,    16.2, ,    10.3, ,     0.0, ,    -8.1, ,     5.4,E,   -10.5,E,     5.9, ,    18.6, ,     8.8, 
 1969,    -8.9, ,    -6.6, ,    -3.8, ,     5.7, ,    10.9, ,    17.5, , -9999.9,M,    20.4, ,    13.8, ,     7.5, ,     1.8, ,    -7.2, , -9999.9,M,    -7.9, ,     4.3, , -9999.9,M,     7.7, 
 1970,   -15.6, ,    -9.5, ,    -3.6, ,     5.7, ,    12.0, ,    17.2, ,    21.0, ,    20.4, ,    15.4, ,    10.2, ,     3.1, ,    -9.8, ,     5.5, ,   -10.8, ,     4.7, ,    19.5, ,     9.6, 
 1971,   -12.4, ,    -7.1, ,    -5.4, ,     2.6, ,    12.9, ,    17.5, ,    19.9, , -9999.9,M,    16.6, ,    11.4, ,    -0.3, ,    -5.4, , -9999.9,M,    -9.8, ,     3.4, , -9999.9,M,     9.2, 
 1972,    -8.8, ,   -11.8, ,    -5.4, ,     2.9, ,    13.3, ,    17.1, ,    19.8, ,    17.9, ,    14.8, ,     5.5, ,     0.0, ,    -7.3, ,     4.8, ,    -8.7, ,     3.6, ,    18.3, ,     6.8, 
 1973,    -7.2, ,    -9.4, ,     2.9, ,     6.2, ,    11.5, ,    18.7, ,    21.0, ,    21.5, ,    14.1, ,     9.0, ,     1.9, ,    -4.4, ,     7.2, ,    -8.0, ,     6.9, ,    20.4, ,     8.3, 
 1974,    -8.9, ,   -10.4, ,    -2.6, ,     6.0, ,    10.1, ,    17.6, , -9999.9,M,    19.2, , -9999.9,M, -9999.9,M,     1.1, ,    -2.9, , -9999.9,M,    -7.9, ,     4.5, , -9999.9,M, -9999.9,M
 1975,    -6.6, ,    -7.8, ,    -3.2, ,     2.5, ,    15.7, ,    18.3, ,    22.5, ,    20.3, ,    13.7, ,     8.8, ,     4.1, ,    -8.5, ,     6.7, ,    -5.8, ,     5.0, ,    20.4, ,     8.9, 
 1976,   -13.8, ,    -5.5, ,    -1.3, ,     7.5, ,    11.8, ,    19.6, , -9999.9,M,    18.8, ,    13.6, ,     5.7, ,     0.2, ,    -9.6, , -9999.9,M,    -9.3, ,     6.0, , -9999.9,M,     6.5, 
 1977,   -12.1, ,    -6.6, ,     2.3, ,     6.7, ,    14.3, ,    17.2, ,    20.4, ,    18.9, , -9999.9,M,     8.0, ,     3.4, ,    -6.8, , -9999.9,M,    -9.4, ,     7.8, ,    18.8, , -9999.9,M
 1978,   -11.4, ,   -12.7, ,    -4.9, ,     3.5, ,    14.8, ,    17.8, ,    20.4, ,    19.0, ,    12.4, ,     7.6, ,     1.1, ,    -5.4, ,     5.2, ,   -10.3, ,     4.5, ,    19.1, ,     7.0, 
 1979,    -9.0, ,   -13.5, ,     1.1, ,     6.0, ,    13.4, ,    17.2, ,    21.4, ,    18.2, ,    14.0, ,     8.3, ,     4.5, ,    -3.6, ,     6.5, ,    -9.3, ,     6.8, ,    18.9, ,     8.9, 
 1980,    -7.4, ,    -9.1, ,    -1.9, ,     6.6, ,    12.7, ,    16.2, ,    20.5, ,    20.0, ,    14.1, ,     6.3, ,    -0.2, ,   -11.7,E,     5.5,E,    -6.7, ,     5.8, ,    18.9, ,     6.7, 
 1981,   -14.4, ,    -0.6, ,    -0.2, ,     7.5,E,    12.6, ,    18.2, ,    20.1, ,    18.2, ,    13.5, ,     5.7, ,     1.4, ,    -3.8, ,     6.5,E,    -8.9,E,     6.6,E,    18.8, ,     6.9, 
 1982,   -14.7, ,    -8.9, ,    -2.3, ,     3.8, ,    13.7, ,    15.8, ,    20.0, ,    17.2, ,    14.3, ,     8.5, ,     3.3, ,    -2.1,E,     5.7,E,    -9.1, ,     5.1, ,    17.7, ,     8.7, 
 1983,    -6.7, ,    -6.3, ,     0.0, ,     5.0, ,    11.2, ,    17.9, ,    21.1, ,    20.1, ,    16.6, ,     7.9, ,     1.8, ,    -7.2, ,     6.8, ,    -5.0,E,     5.4, ,    19.7, ,     8.8, 
 1984,   -11.3, ,    -2.8, ,    -6.6, ,     6.6, ,    11.2, ,    18.2, ,    20.8, ,    21.1, ,    13.2,E,     8.9, ,     2.1, ,    -2.9, ,     6.5,E,    -7.1, ,     3.7, ,    20.0, ,     8.1,E
 1985,   -12.4, ,    -6.6, ,    -1.3,E,     6.1, ,    12.5, ,    16.2, ,    19.8, ,    18.3, ,    15.6, ,     9.1, ,     1.2, , -9999.9,M, -9999.9,M,    -7.3, ,     5.8,E,    18.1, ,     8.6, 
 1986, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    16.9, ,    19.5,E,    17.8,E,    13.6,E,     8.0, ,     0.6,E,    -3.6, , -9999.9,M, -9999.9,M, -9999.9,M,    18.1,E,     7.4,E
 1987,    -9.2,E,   -10.2,E,     0.0, ,     9.1,E,    13.0,E,    18.8, ,    21.1,E, -9999.9,M,    15.0,E,     7.1,E,     1.3, ,    -2.7,E, -9999.9,M,    -7.7,E,     7.4,E, -9999.9,M,     7.8,E
 1988,    -6.6,E,    -8.3,E,    -1.9,E,     6.5, ,    14.5, ,    17.5, ,    22.0,E,    20.5, ,    14.2, ,     6.9,E,     3.3,E,    -6.2,E,     6.9,E,    -5.9,E,     6.4,E,    20.0,E,     8.1,E
 1989,    -6.0,E,    -8.3,E,    -4.8,E,     4.7,E,    14.2,E,    18.5,E,    21.1,E,    18.9,E,    15.4,E,     8.9, ,     0.9, ,   -15.4, ,     5.7,E,    -6.8,E,     4.7,E,    19.5,E,     8.4,E
 1990,    -3.2,E,    -7.0, ,    -0.8, ,     7.1, ,    11.4,E,    18.5, ,    20.6,E,    20.3, ,    14.5,E,     9.2, ,     3.9,E,    -3.4,E,     7.6,E,    -8.5,E,     5.9,E,    19.8,E,     9.2,E
 1991,    -9.2,E,    -4.4, ,     0.1, ,     8.7,E,    14.6, ,    19.3,E,    20.6,E,    21.1,E,    13.7,E,     9.8,E,     3.2, ,    -6.2,E,     7.6,E,    -5.7,E,     7.8,E,    20.3,E,     8.9,E
 1992,    -9.8, ,    -9.4, ,    -6.0, ,     5.3, ,    13.3, ,    17.1, ,    17.9,E,    18.8,E,    14.7,E,     6.9, ,     2.2, ,    -3.9,E,     5.6,E,    -8.5,E,     4.2, ,    17.9,E,     7.9,E
 1993,    -8.3, ,   -15.2, ,    -5.0, ,     5.9, ,    13.0, ,    17.3, ,    21.3,E,    20.3,E,    14.1, ,     6.6, ,     1.7, ,    -6.1,E,     5.5,E,    -9.1,E,     4.6, ,    19.6,E,     7.5, 
 1994,   -17.2, ,   -12.1,E,    -3.2, ,     5.7, ,    12.4,E,    18.9,E,    21.8, ,    17.7, ,    14.4, ,     8.6,E,     3.9, ,    -3.4, ,     5.6,E,   -11.8,E,     5.0,E,    19.5,E,     9.0,E
 1995,    -5.7, ,    -9.2, ,    -0.3, ,     3.8, ,    12.6, ,    19.6,E,    21.8, ,    19.8,E,    13.1,E,    11.0, ,    -0.4, ,    -8.8, ,     6.4,E,    -6.1, ,     5.4, ,    20.4,E,     7.9,E
 1996,   -10.1, ,    -7.2, ,    -2.6, ,     5.0,E,    11.8, , -9999.9,M,    20.1,E,    19.6,E,    15.8, ,     8.1, ,    -0.4,E,    -1.2, , -9999.9,M,    -8.7, ,     4.7,E, -9999.9,M,     7.8,E
 1997,    -9.2, ,    -5.7,E,    -4.0, ,     4.6, ,    10.7, ,    19.4, ,    20.5,E, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -5.4,E,     3.8, , -9999.9,M, -9999.9,M
 1998, -9999.9,M, -9999.9,M, -9999.9,M,     7.2,E,    16.1,E,    17.8,E,    20.1, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -1.2, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1999,    -9.2, ,    -4.4, ,    -1.4,E,     6.1,E,    14.8,E,    21.1, ,    21.4, ,    18.9, ,    16.7, ,     7.5, ,     4.9, ,    -2.8, ,     7.8,E,    -4.9, ,     6.5,E,    20.5, ,     9.7, 
 2000,    -9.1, ,    -7.0, ,     1.5, ,     5.2, ,    13.2, ,    16.9, ,    19.5, ,    19.3, ,    14.1, ,     9.1,E,     2.2,E,    -8.2, ,     6.4,E,    -6.3, ,     6.6, ,    18.6, ,     8.5,E
 2001,    -9.5, ,    -9.0, ,    -4.2, ,     6.2, ,    14.8,E,    19.5, ,    20.1, ,    21.8, ,    15.8, ,    10.3, ,     5.1, ,    -0.3, ,     7.6,E,    -8.9, ,     5.6,E,    20.5, ,    10.4, 
 2002,    -3.5, ,    -4.9, ,    -1.1, ,     7.5,E,    11.4, ,    17.1,E,    21.8,E,    20.7,E,    17.5,E,     7.0,E,     0.9, ,    -4.6, ,     7.5,E,    -2.9, ,     5.9,E,    19.9,E,     8.5,E
 2003,   -12.6,E,   -10.8, ,    -3.4, ,     4.5, ,    12.3,E,    17.7, ,    20.8, ,    20.6, ,    16.5, ,     7.7,E,     3.1, ,    -5.2, ,     5.9,E,    -9.3,E,     4.5,E,    19.7, ,     9.1,E
 2004,   -14.3, ,    -8.0,E,     0.1,E,     6.4, ,    13.6,E,    16.9, ,    20.7,E,    18.9,E,    15.9,E,     8.4, ,     2.6, ,    -6.8, ,     6.2,E,    -9.2,E,     6.7,E,    18.8,E,     9.0,E
 2005,   -10.9, ,    -7.5, ,    -3.7,E,     6.8, ,    11.1, ,    20.3, ,    21.0, ,    20.5,E,    16.7, ,     9.4, ,     3.0,E,    -5.8, ,     6.7,E,    -8.4, ,     4.7,E,    20.6,E,     9.7,E
 2006,    -4.5, ,    -7.0, ,    -0.4,E,     7.0, ,    13.8, ,    18.3, ,    22.0, ,    18.8, ,    14.5, ,     7.4, ,     4.6, ,    -0.7, ,     7.8,E,    -5.8, ,     6.8,E,    19.7, ,     8.8, 
 2007,    -7.6,E,   -11.4, ,    -2.6,E,     4.7, ,    12.7, ,    19.0,E,    19.5,E,    18.9, ,    15.9, ,    11.4, ,     0.9, ,    -6.2, ,     6.3,E,    -6.6,E,     4.9,E,    19.1,E,     9.4, 
 2008,    -5.9,E,    -6.8, ,    -4.3, ,     8.1, ,    11.5, ,    18.9,E,    20.4, ,    18.7, ,    15.6, ,     7.7, ,     2.1, ,    -5.9, ,     6.7,E,    -6.3,E,     5.1, ,    19.3,E,     8.5, 
 2009,   -12.9, ,    -6.5, ,    -0.7, ,     6.9, ,    12.1, ,    17.0, ,    19.1, ,    20.1, ,    14.3, ,     6.7, ,     4.1, ,    -5.0, ,     6.3, ,    -8.4, ,     6.1, ,    18.7, ,     8.4, 
 2010,    -6.5, ,    -4.9, ,     2.8, ,     9.0, ,    14.8, ,    17.8, ,    22.7, ,    20.1, ,    16.0,E,     8.0, ,     2.7, ,    -6.0,E,     8.0,E,    -5.5, ,     8.9, ,    20.2, ,     8.9,E
 2011,    -9.3,E,    -8.0,E,    -1.7,E,     6.6, ,    13.3,E,    18.4, ,    22.1,E,    20.1, ,    16.8,E,     9.6, ,     5.9, , -9999.9,M, -9999.9,M,    -7.8,E,     6.1,E,    20.2,E,    10.8,E
 2012, -9999.9,M,    -3.3, , -9999.9,M, -9999.9,M,    15.7, , -9999.9,M,    20.8, ,    20.8, ,    14.8, ,    10.4, ,    -0.1, ,    -3.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     8.4, 
 2013, -9999.9,M,    -5.8, ,    -0.7, ,     5.8, ,    14.4, ,    17.8, ,    21.3, ,    19.8, ,    14.6, ,    10.1, ,     0.6, ,    -7.7, , -9999.9,M, -9999.9,M,     6.5, ,    19.6, ,     8.4, 
 2014, -9999.9,M,    -7.6, ,    -7.7, ,     6.5, ,    13.3, ,    18.4, ,    20.1, , -9999.9,M,    15.4, ,    10.5, ,     2.3, ,    -2.8, , -9999.9,M, -9999.9,M,     4.0, , -9999.9,M,     9.4, 
 2015,   -11.4, , -9999.9,M,    -4.6, ,     5.5, ,    16.7, ,    16.9, , -9999.9,M,    20.1, ,    17.9, ,     7.6, ,     4.7, ,     2.0, , -9999.9,M, -9999.9,M,     5.9, , -9999.9,M,    10.1, 
 2016, -9999.9,M, -9999.9,M,     0.0, ,     3.7, ,    13.7, ,    18.4, ,    21.1, ,    21.2, ,    16.1, ,     9.3, ,     3.9, ,    -3.9, , -9999.9,M, -9999.9,M,     5.8, ,    20.2, ,     9.8, 
 2017,    -3.7, ,    -3.4, ,    -4.9, ,     8.1, ,    12.5, ,    18.0, ,    19.5, ,    18.8, ,    17.1, ,    12.9, ,     1.1, ,    -8.7, ,     7.3, ,    -3.7, ,     5.2, ,    18.8, ,    10.4, 
 2018,    -9.3, ,    -3.5, ,    -1.8, ,     3.3, ,    14.9, ,    17.2, ,    22.7, ,    21.7, ,    17.0, ,     7.3, ,    -0.4, ,    -4.7, ,     7.0, ,    -7.2, ,     5.5, ,    20.5, ,     8.0, 
 2019,   -10.1, ,    -7.8, ,    -2.7, ,     5.7, , -9999.9,M,    17.5, ,    22.5, ,    19.4, , -9999.9,M,     9.4, , -9999.9,M, -9999.9,M, -9999.9,M,    -7.5, , -9999.9,M,    19.8, , -9999.9,M
