7026465,RICHMOND            ,QUE , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
7026465,RICHMOND            ,QUE , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1973, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    20.6, , -9999.9,M,    13.4, ,     8.5, ,     0.1, ,    -4.8, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     7.3, 
 1974,    -9.3, ,   -10.7, ,    -4.4, ,     4.8, ,     9.1, ,    17.5, ,    19.5, ,    18.7, ,    13.0, ,     4.0, ,     0.7, ,    -4.1, ,     4.9, ,    -8.3, ,     3.2, ,    18.6, ,     5.9, 
 1975,    -8.9, ,    -9.5, ,    -4.7, ,     2.0, ,    14.5, ,    17.2, ,    21.2, ,    18.1, , -9999.9,M,     7.9, ,     3.2, ,    -9.0, , -9999.9,M,    -7.5, ,     3.9, ,    18.8, , -9999.9,M
 1976,   -15.1, ,    -8.2, ,    -3.1, ,     6.4, ,    11.5, ,    18.8, ,    18.4, ,    17.7, ,    12.3, ,     5.4, ,    -1.7, ,   -11.5, ,     4.2, ,   -10.8, ,     4.9, ,    18.3, ,     5.3, 
 1977,   -13.4, ,    -7.9, ,     1.2, ,     4.4, ,    12.5, ,    15.7, ,    18.5, , -9999.9,M,    12.2, ,     6.6, ,     1.9, ,    -7.5, , -9999.9,M,   -10.9, ,     6.0, , -9999.9,M,     6.9, 
 1978,   -11.3, ,   -13.9, ,    -5.9, ,     2.6, ,    13.6, ,    16.5, ,    19.3, ,    18.1, ,     9.8, ,     6.3, ,    -0.5, ,    -7.0, ,     4.0, ,   -10.9, ,     3.4, ,    18.0, ,     5.2, 
 1979, -9999.9,M,   -15.3, ,     0.2, ,     5.6, ,    12.3, ,    16.2, ,    19.9, ,    17.2, ,    13.1, ,     7.2, ,     4.0, ,    -4.6, , -9999.9,M, -9999.9,M,     6.0, ,    17.8, ,     8.1, 
 1980,    -9.3, ,    -9.9,E,    -3.0,E,     6.3,E,    11.9, ,    15.7, ,    19.2, ,    19.2, ,    12.7, ,     5.8, ,    -1.3,E,   -11.9, ,     4.6,E,    -7.9,E,     5.1,E,    18.0, ,     5.7,E
 1981,   -17.2,E,    -1.7,E,    -1.4, ,     6.3, ,    12.2, ,    18.0, ,    20.7,E,    17.2, ,    12.8,E,     5.4, ,     0.5, ,    -5.3, ,     5.6,E,   -10.3,E,     5.7, ,    18.6,E,     6.2,E
 1982, -9999.9,M,   -11.1, ,    -3.0, ,     2.6, ,    12.9, ,    15.7, ,    19.0,E,    16.4, ,    14.2,E,     8.1,E,     3.1,E,    -2.4, , -9999.9,M, -9999.9,M,     4.2, ,    17.0,E,     8.5,E
 1983, -9999.9,M,    -6.9, ,    -0.7, ,     5.2,E,    10.1, ,    17.2, ,    20.1, , -9999.9,M,    15.1,E, -9999.9,M,     1.5, ,    -8.2, , -9999.9,M, -9999.9,M,     4.9,E, -9999.9,M, -9999.9,M
 1984,   -12.9,E,    -3.9, ,    -7.1, ,     6.5,E,    10.4,E,    16.9,E,    19.7,E,    20.3, ,    11.9,E,     8.4, ,     1.4,E,    -4.2,E,     5.6,E,    -8.3,E,     3.3,E,    19.0,E,     7.2,E
 1985,   -14.2,E,    -7.5,E,    -3.1,E,     4.3,E,    11.7,E,    15.0, , -9999.9,M, -9999.9,M,    14.9,E,     7.9,E,     0.4,E,    -8.7,E, -9999.9,M,    -8.6,E,     4.3,E, -9999.9,M,     7.7,E
 1986,   -10.0, ,   -11.0,E, -9999.9,M,     7.6,E, -9999.9,M,    14.5,E, -9999.9,M,    17.3,E,    12.1,E,     7.0,E,    -1.3,E, -9999.9,M, -9999.9,M,    -9.9,E, -9999.9,M, -9999.9,M,     5.9,E
 1987,   -10.4, ,   -12.8,E,    -1.7, ,     7.6,E,    11.7,E,    17.2,E, -9999.9,M,    17.0,E,    13.5,E,     6.2,E,    -0.4,E, -9999.9,M, -9999.9,M, -9999.9,M,     5.9,E, -9999.9,M,     6.4,E
 1988,    -9.4,E, -9999.9,M,    -4.2,E,     5.2, ,    13.3,E,    15.8,E,    21.3,E,    20.0, ,    12.7,E,     5.4,E, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     4.8,E,    19.0,E, -9999.9,M
 1989,    -8.5, ,   -10.8,E,    -5.2,E, -9999.9,M,    13.6, ,    17.4,E,    19.6,E,    17.8,E,    14.2,E,     7.9, , -9999.9,M,   -17.4,E, -9999.9,M, -9999.9,M, -9999.9,M,    18.3,E, -9999.9,M
 1990,    -4.7,E,    -7.9,E,    -2.3, ,     6.5,E,    10.2,E,    16.9,E,    19.6,E,    19.1,E,    13.5,E,     7.8,E, -9999.9,M,    -3.8,E, -9999.9,M,   -10.0,E,     4.8,E,    18.5,E, -9999.9,M
 1991,   -10.4,E,    -5.5,E,    -0.9,E,     7.4,E,    13.1, ,    17.1,E,    18.9,E, -9999.9,M,    12.1,E, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -6.6,E,     6.5,E, -9999.9,M, -9999.9,M
 1992,   -11.3,E,    -9.9, ,    -5.8, ,     4.0, ,    12.0, ,    16.5, ,    16.7,E,    17.8, ,    14.1, ,     5.5,E,     0.7, ,    -5.2, ,     4.6,E, -9999.9,M,     3.4, ,    17.0,E,     6.8,E
 1993,    -9.9, ,   -15.2, ,    -4.5, ,     5.2, ,    12.1, ,    16.2, , -9999.9,M,    19.5,E,    13.3, ,     5.5, ,     0.4, ,    -7.4, , -9999.9,M,   -10.1, ,     4.3, , -9999.9,M,     6.4, 
 1994,   -17.6,E,   -12.5, ,    -3.4, ,     4.1, ,    10.7, ,    18.4, ,    21.0, ,    17.3, ,    13.5, ,     8.1, ,     2.7, ,    -4.3, ,     4.8,E,   -12.5,E,     3.8, ,    18.9, ,     8.1, 
 1995,    -5.9, ,   -10.6, ,    -0.7, ,     2.7, ,    11.5, ,    18.5, ,    21.1, ,    18.9, ,    11.7, ,    10.0, ,    -1.2, ,    -9.0, ,     5.6, ,    -6.9, ,     4.5, ,    19.5, ,     6.8, 
