7026612,RIVIERE_DES_PRAIRIE ,QUE , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
7026612,RIVIERE_DES_PRAIRIE ,QUE , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1973,    -9.5, ,   -10.5, ,     0.7, ,     5.9, ,    12.1, ,    18.9, ,    21.9, ,    21.9, ,    14.3, ,     9.7, ,     0.8, ,    -4.9, ,     6.8, , -9999.9,M,     6.2, ,    20.9, ,     8.3, 
 1974, -9999.9,M,   -10.8, ,    -4.9, ,     4.7, ,    10.1, ,    17.8, ,    20.5, ,    19.5, ,    13.8, ,     5.7, ,     1.3, ,    -4.0, , -9999.9,M, -9999.9,M,     3.3, ,    19.3, ,     6.9, 
 1975,    -8.3, ,    -8.3, ,    -4.3, ,     2.9, , -9999.9,M,    19.1, ,    22.8, ,    20.1, ,    14.1, ,     9.1, ,     3.9, ,    -9.4, , -9999.9,M,    -6.9, , -9999.9,M,    20.7, ,     9.0, 
 1976,   -14.9, ,    -7.4, ,    -3.6, ,     6.8, ,    12.1, ,    19.7, ,    19.8, ,    19.3, ,    13.6, ,     6.2, ,    -0.1, ,   -11.8, ,     5.0, ,   -10.6, ,     5.1, ,    19.6, ,     6.6, 
 1977,   -13.4, ,    -8.0, ,     0.7, ,     6.4, ,    15.6, ,    18.1, ,    20.9, ,    19.0, ,    14.0, ,     8.1, ,     3.7, ,    -7.3, ,     6.5, ,   -11.1, ,     7.6, ,    19.3, ,     8.6, 
 1978,   -11.5, ,   -12.4, ,    -5.0, ,     4.1, ,    15.6, ,    18.2, ,    21.5, ,    20.2, ,    12.8, ,     7.9, ,     0.6, ,    -7.6, ,     5.4, ,   -10.4, ,     4.9, ,    20.0, ,     7.1, 
 1979,    -9.2, ,   -14.1, ,     0.9, ,     7.4, ,    14.6, ,    18.4, ,    22.2, ,    19.0, ,    14.5, ,     8.5, ,     4.0, , -9999.9,M, -9999.9,M,   -10.3, ,     7.6, ,    19.9, ,     9.0, 
 1980,    -7.8, ,    -8.2, ,    -1.6, ,     7.1, ,    13.7, ,    17.1, ,    20.7, ,    20.5, ,    14.0, ,     6.3, ,     0.4, ,   -11.4, ,     5.9, , -9999.9,M,     6.4, ,    19.4, ,     6.9, 
 1981,   -14.8, ,    -1.6, ,     0.3, ,     7.6, ,    13.5, ,    18.1, ,    21.2, ,    19.1, ,    14.4, ,     6.2, ,     1.6, ,    -3.7, ,     6.8, ,    -9.3, ,     7.1, ,    19.5, ,     7.4, 
 1982,   -16.0, ,   -10.7,E,    -3.8, ,     4.2, ,    14.3, ,    17.0, ,    21.0, ,    17.5, ,    14.7, ,     9.1, ,     3.1, ,    -3.4, ,     5.6,E,   -10.1,E,     4.9, ,    18.5, ,     9.0, 
