7027083,ST_COME_DE_LINIERE  ,QUE , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
7027083,ST_COME_DE_LINIERE  ,QUE , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1965, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    12.8, ,     5.6, ,    -2.8, ,    -6.8, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     5.2, 
 1966,   -10.7, ,   -10.8, ,    -4.0, , -9999.9,M,     8.8, ,    16.0, ,    17.5, ,    16.7, ,    11.1, ,     6.1, ,     2.5, ,    -7.0, , -9999.9,M,    -9.4, , -9999.9,M,    16.7, ,     6.6, 
 1967,    -8.5, ,   -15.5, , -9999.9,M,     1.9, ,     6.1, , -9999.9,M,    19.4, ,    17.9, ,    12.7, ,     7.5, ,    -1.7, ,    -7.6, , -9999.9,M,   -10.3, , -9999.9,M, -9999.9,M,     6.2, 
 1968,   -14.8, ,   -14.2, ,    -2.3, ,     5.5, ,     9.3, ,    14.0, ,    18.6, ,    14.8, ,    14.4, ,     8.5, ,    -2.0, ,    -9.5, ,     3.5, ,   -12.2, ,     4.2, ,    15.8, ,     7.0, 
 1969,   -10.0, ,    -8.7, ,    -5.4, ,     1.3, , -9999.9,M,    15.8, ,    17.1, ,    18.3, ,    12.1, ,     5.9, ,     1.3, ,    -8.5, , -9999.9,M,    -9.4, , -9999.9,M,    17.1, ,     6.4, 
 1970,   -16.6, ,   -10.3, ,    -5.3, ,     3.1, ,    10.3, ,    15.7, ,    19.8, ,    17.7, ,    12.5, ,     8.3, ,     0.6, ,   -13.6, ,     3.5, ,   -11.8, ,     2.7, ,    17.7, ,     7.1, 
 1971,   -16.3, ,   -10.3, ,    -5.9, ,     1.7, ,    10.6, ,    14.7, ,    17.5, ,    16.6, ,    14.3, ,     8.7, ,    -2.5, ,   -11.3, ,     3.2, ,   -13.4, ,     2.1, ,    16.3, ,     6.8, 
 1972,   -11.5, ,   -13.0, ,    -7.4, ,     0.1, ,    10.3, ,    16.1, ,    17.7, ,    15.6, ,    12.8, ,     4.0, ,    -1.9, ,   -10.0, ,     2.7, ,   -11.9, ,     1.0, ,    16.5, ,     5.0, 
 1973,   -10.1, ,   -11.5, ,    -0.1, ,     3.3, ,     9.6, ,    17.2, ,    19.8, ,    19.5, ,    11.5, ,     6.9, ,    -0.8, ,    -5.0, ,     5.0, ,   -10.5, ,     4.3, ,    18.8, ,     5.9, 
 1974,   -11.6, ,   -11.8, ,    -5.7, ,     2.5, ,     7.8, ,    16.0, ,    17.9, ,    17.1, ,    11.6, ,     3.7, ,    -0.6, ,    -6.1, ,     3.4, ,    -9.5, ,     1.5, ,    17.0, ,     4.9, 
 1975,   -10.7, ,   -10.1, , -9999.9,M,     0.1, ,    12.6, ,    16.0, ,    20.2, ,    17.2, ,    12.2, ,     6.9, ,     1.6, ,    -9.7, , -9999.9,M,    -9.0, , -9999.9,M,    17.8, ,     6.9, 
 1976,   -14.9, ,    -9.3, ,    -4.3, ,     4.0, ,    10.3, ,    17.1, ,    17.6, ,    17.1, ,    11.7, ,     4.8, ,    -2.7, ,   -13.4, ,     3.2, ,   -11.3, ,     3.3, ,    17.3, ,     4.6, 
 1977,   -14.5, ,   -10.3, ,     0.0, ,     2.4, ,    11.0,E,    14.6, ,    17.4, ,    16.5, ,    10.9, ,     6.0, ,     0.9, ,    -9.6, ,     3.8,E,   -12.7, ,     4.5,E,    16.2, ,     5.9, 
 1978,   -12.4, ,   -14.5, ,    -7.0, ,     0.9, ,    12.2, ,    15.9, ,    17.9, ,    17.0, ,     9.3, ,     5.3, ,    -1.5, ,    -9.1, ,     2.8, ,   -12.2, ,     2.0, ,    16.9, ,     4.4, 
 1979,    -9.9, ,   -15.2, ,    -0.7, ,     4.2, ,    11.8, ,    16.2, ,    19.2, ,    16.1, ,    12.0, ,     6.8, ,     2.4, ,    -6.7, ,     4.7, ,   -11.4, ,     5.1, ,    17.2, ,     7.1, 
