7027259,ST_FLAVIEN          ,QUE , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
7027259,ST_FLAVIEN          ,QUE , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1963,   -11.2, ,   -14.6, ,    -6.5, ,     3.5, ,    10.2, ,    17.1, ,    19.6, ,    15.3, ,    11.0, ,    10.0, ,     2.2, ,   -12.6, ,     3.7, , -9999.9,M,     2.4, ,    17.3, ,     7.7, 
 1964,   -10.4, ,   -11.2, ,    -4.5, ,     3.5, ,    12.0, ,    15.5, ,    18.8, ,    15.9, ,    11.3, ,     5.3, ,    -1.2, ,    -8.0, ,     3.9, ,   -11.4, ,     3.7, ,    16.7, ,     5.1, 
 1965,   -13.4, ,   -11.8, ,    -4.2, ,     3.0, ,    10.2, ,    15.7, ,    16.0, ,    16.3, ,    13.0, ,     5.1, ,    -3.2, ,    -7.8, ,     3.2, ,   -11.1, ,     3.0, ,    16.0, ,     5.0, 
 1966,   -11.7, ,    -9.7, ,    -3.7, ,     2.9, ,     8.8, ,    15.7, ,    17.8, ,    16.6, ,    11.0, ,     6.7, ,     1.4, ,    -7.7, ,     4.0, ,    -9.7, ,     2.7, ,    16.7, ,     6.4, 
 1967,    -9.4, ,   -15.5, ,    -8.4, ,     1.7, ,     6.8, ,    16.7, ,    19.7, ,    18.2, ,    12.5, ,     6.3, ,    -1.9, ,    -8.3, ,     3.2, ,   -10.9, ,     0.0, ,    18.2, ,     5.6, 
 1968,   -15.6, ,   -14.1, ,    -4.0, ,     5.1, ,     9.4, ,    14.3, ,    18.6, ,    14.9, ,    14.3, ,     8.7, ,    -2.6, ,    -9.9, ,     3.3, ,   -12.7, ,     3.5, ,    15.9, ,     6.8, 
 1969,    -9.8, ,    -8.2, ,    -5.1, ,     1.6, ,     9.4, ,    15.6, ,    17.7, ,    18.8, ,    11.4, ,     5.8, ,     1.0, ,    -8.4, ,     4.2, ,    -9.3, ,     2.0, ,    17.4, ,     6.1, 
 1970,   -16.2, ,   -11.3, ,    -5.2, ,     2.9, ,    10.5, ,    16.0, , -9999.9,M,    18.1, ,    11.7, ,     8.4, ,     0.7, ,   -12.2, , -9999.9,M,   -12.0, ,     2.7, , -9999.9,M,     6.9, 
 1971,   -15.6, ,   -10.6, ,    -5.6, ,     1.6, ,    11.1, ,    15.7, ,    18.3, ,    16.7, ,    14.3, ,     8.9, ,    -2.0, ,   -10.4, ,     3.5, ,   -12.8, ,     2.4, ,    16.9, ,     7.1, 
 1972,   -11.8, ,   -13.1, ,    -7.6, ,     0.4, ,    10.1, ,    13.9, ,    16.7, ,    14.6, ,    12.4, ,     3.7, ,    -2.3, , -9999.9,M, -9999.9,M,   -11.8, ,     1.0, ,    15.1, ,     4.6, 
