7027725,ST_SEBASTIEN        ,QUE , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
7027725,ST_SEBASTIEN        ,QUE , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1972, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -9.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1973,   -10.1, ,   -11.3, ,    -0.1, ,     2.6, , -9999.9,M,    16.4, ,    19.0, ,    18.7, ,    11.2, ,     6.4, ,    -2.3, ,    -6.6, , -9999.9,M,   -10.2, , -9999.9,M,    18.0, ,     5.1, 
 1974,   -12.1, ,   -12.1, ,    -7.3, ,     2.4, ,     6.6, ,    15.6, , -9999.9,M,    16.9, ,    11.2, , -9999.9,M,    -1.3, ,    -7.0, , -9999.9,M,   -10.3, ,     0.6, , -9999.9,M, -9999.9,M
 1975, -9999.9,M,   -11.3, ,    -7.7, ,    -1.4, ,    12.1, , -9999.9,M,    19.4, ,    16.2, ,    11.8, ,     6.8, ,     1.1, ,    -9.8, , -9999.9,M, -9999.9,M,     1.0, , -9999.9,M,     6.6, 
 1976,   -13.8, ,    -8.8, ,    -4.6, ,     4.1, ,    10.2, ,    17.6, , -9999.9,M,    16.3, ,    10.9, ,     3.8, ,    -4.0, ,   -13.5, , -9999.9,M,   -10.8, ,     3.2, , -9999.9,M,     3.6, 
 1977,   -15.1, , -9999.9,M,    -0.7, ,     2.2, ,    11.1, ,    14.0, ,    17.6, ,    16.3, ,    10.7, ,     5.5, ,     0.8, ,   -10.0, , -9999.9,M, -9999.9,M,     4.2, ,    16.0, ,     5.7, 
 1978,   -13.2, ,   -14.3, ,    -7.6, , -9999.9,M,    12.4, ,    15.5, ,    17.8, ,    16.5, ,     9.1, ,     5.0, ,    -1.5, ,    -8.9, , -9999.9,M,   -12.5, , -9999.9,M,    16.6, ,     4.2, 
 1979,   -10.6, ,   -15.9, ,    -0.8, ,     3.3, ,    11.3, ,    15.7, ,    18.9, ,    15.1, ,    11.7, ,     6.0, ,     2.3, ,    -6.8, ,     4.2, ,   -11.8, ,     4.6, ,    16.6, ,     6.7, 
 1980,   -11.6, ,   -12.4, ,    -5.1, ,     3.9, ,    10.0, ,    13.5, ,    17.1, ,    17.3, ,    10.6, ,     3.8, ,    -2.9, ,   -13.3, ,     2.6, ,   -10.3, ,     2.9, ,    16.0, ,     3.8, 
 1981,   -16.1, ,    -3.5, ,    -4.2, ,     3.8, ,    10.9, ,    15.2, ,    17.9, ,    16.0, ,    11.1, ,     4.3, ,    -1.0, ,    -6.4, ,     4.0, ,   -11.0, ,     3.5, ,    16.4, ,     4.8, 
 1982,   -17.4, ,   -11.9, ,    -5.0, ,     0.1, ,    10.0, ,    13.3, ,    16.6, ,    14.4, ,    13.0, ,     6.4, ,     1.7, ,    -4.6, ,     3.1, ,   -11.9, ,     1.7, ,    14.8, ,     7.0, 
