7033160,HUBERDEAU           ,QUE , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
7033160,HUBERDEAU           ,QUE , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1913, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -5.8, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1914,   -12.3, ,   -16.2, ,    -4.1, ,     1.9, ,    13.2, ,    14.8, ,    18.0, ,    16.5, ,    12.9, ,     8.3, ,    -2.4, ,   -10.2, ,     3.4, ,   -11.4, ,     3.7, ,    16.4, ,     6.3, 
 1915,    -9.4, ,    -6.9, ,    -4.1, ,     8.6, ,     9.4, ,    16.7, ,    18.4, ,    16.8, ,    14.1, ,     7.8, ,     0.6, ,    -6.9, ,     5.4, ,    -8.8, ,     4.6, ,    17.3, ,     7.5, 
 1916,    -8.9, ,   -12.0, ,    -8.1, , -9999.9,M, -9999.9,M,    15.1, ,    20.9, ,    18.7, ,    13.2, ,     6.8, ,    -1.6, ,    -8.9, , -9999.9,M,    -9.3, , -9999.9,M,    18.2, ,     6.1, 
 1917,   -13.5, ,   -15.5, ,    -4.6, ,     3.6, ,     7.9, ,    15.7, ,    19.7, ,    17.0, ,    12.0, ,     4.7, ,    -3.5, ,   -15.3, ,     2.4, ,   -12.6, ,     2.3, ,    17.5, ,     4.4, 
 1918,   -16.2, ,   -12.5, ,    -5.0, ,     5.1, ,    13.0, ,    14.6, ,    19.6, ,    17.9, ,    10.4, ,     6.8, ,     0.3, ,    -7.9, ,     3.8, ,   -14.7, ,     4.4, ,    17.4, ,     5.8, 
 1919,    -8.8, ,    -9.1, ,    -3.7, ,     2.3, ,    11.6, ,    19.6, ,    19.6, , -9999.9,M, -9999.9,M,     6.6, ,    -2.0, ,   -12.8, , -9999.9,M,    -8.6, ,     3.4, , -9999.9,M, -9999.9,M
 1920,   -19.5, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    18.1, ,    19.6, ,    14.8, ,     9.6, , -9999.9,M,    -6.6, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1921,    -9.8, ,    -9.1, ,    -0.2, ,     7.7, , -9999.9,M, -9999.9,M,    22.9, ,    17.9, ,    15.1, ,     6.9, ,    -2.5, , -9999.9,M, -9999.9,M,    -8.5, , -9999.9,M, -9999.9,M,     6.5, 
 1922,   -10.9, ,    -8.6, ,    -2.1, ,     5.5, ,    13.4, ,    17.1, ,    18.1, ,    16.9, ,    14.4, ,     6.3, ,     0.5, ,    -9.1, ,     5.1, , -9999.9,M,     5.6, ,    17.4, ,     7.1, 
