7033650,LACHUTE             ,QUE , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
7033650,LACHUTE             ,QUE , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1963,   -11.7, ,   -14.4, ,    -4.5, , -9999.9,M,    11.4, ,    18.1, ,    20.3, ,    16.0, ,    11.3, ,    10.9, ,     3.6, ,   -12.9, , -9999.9,M, -9999.9,M, -9999.9,M,    18.1, ,     8.6, 
 1964,    -7.4, ,    -9.4, ,    -3.0, ,     4.8, ,    13.6, ,    17.1, ,    20.2, ,    16.1, ,    12.6, ,     6.3, ,     0.3, ,    -7.2, ,     5.3, ,    -9.9, ,     5.1, ,    17.8, ,     6.4, 
 1965,   -12.4, ,   -11.4, ,    -3.9, ,     3.5, ,    12.5, ,    16.4, ,    17.4, ,    17.6, ,    14.2, ,     6.7, ,    -1.3, ,    -5.4, ,     4.5, ,   -10.3, ,     4.0, ,    17.1, ,     6.5, 
 1966,   -11.0, ,    -9.0, ,    -2.2, ,     4.5, ,     9.8, ,    17.5, ,    19.8, ,    18.0, ,    12.4, ,     7.0, ,     2.5, ,    -7.2, ,     5.2, ,    -8.5, ,     4.0, ,    18.4, ,     7.3, 
 1967,    -8.3, ,   -14.3, ,    -5.8, ,     3.5, ,     8.3, ,    18.5, ,    19.8, ,    18.6, ,    14.2, ,     7.4, ,    -1.2, ,    -6.1, ,     4.6, ,    -9.9, ,     2.0, ,    19.0, ,     6.8, 
 1968,   -14.5, ,   -12.5, ,    -2.1, ,     7.7, ,    11.2, ,    15.8, ,    19.6, ,    16.8, ,    16.2, ,     9.6, ,    -0.9, ,    -9.6, ,     4.8, ,   -11.0, ,     5.6, ,    17.4, ,     8.3, 
 1969,    -9.6, ,    -6.7, ,    -3.9, ,     4.0, ,    10.2, ,    16.6, ,    19.2, ,    19.9, ,    13.6, ,     7.0, ,     1.5, ,    -8.6, ,     5.3, ,    -8.6, ,     3.4, ,    18.6, ,     7.4, 
 1970,   -15.7, ,   -11.0, ,    -4.2, ,     4.8, ,    11.9, ,    17.3, ,    20.7, ,    19.3, ,    13.7, ,     9.7, ,     2.2, ,   -10.8, ,     4.8, ,   -11.8, ,     4.2, ,    19.1, ,     8.5, 
 1971,   -14.4, ,    -9.4, ,    -5.8, ,     2.5, ,    12.1, ,    17.5, ,    19.1, ,    18.0, ,    16.5, ,    10.3, ,    -0.9, ,    -8.0, ,     4.8, ,   -11.5, ,     2.9, ,    18.2, ,     8.6, 
 1972,   -10.0, ,   -12.8, ,    -5.9, ,     1.7, ,    13.2, ,    16.9, ,    19.8, ,    17.5, ,    14.1, ,     4.8, ,    -0.9, ,    -9.4, ,     4.1, ,   -10.3, ,     3.0, ,    18.1, ,     6.0, 
 1973,    -9.3, ,   -11.0, ,     0.8, ,     5.6, ,    11.6, ,    18.1, ,    21.0, ,    20.9, ,    13.2, ,     8.6, ,    -0.3, ,    -6.7, ,     6.0, ,    -9.9, ,     6.0, ,    20.0, ,     7.2, 
 1974,   -11.1, ,   -12.2, ,    -5.2, ,     4.6, ,     9.5, ,    17.3, ,    19.7, ,    18.6, ,    12.5, ,     4.8, ,     0.1, ,    -4.6, ,     4.5, ,   -10.0, ,     3.0, ,    18.5, ,     5.8, 
 1975,    -9.8, ,    -9.4, ,    -5.4, ,     2.0, ,    15.8, ,    18.1, ,    21.6, ,    19.7, ,    13.3, ,     8.1, ,     2.9, ,   -10.0, ,     5.6, ,    -7.9, ,     4.1, ,    19.8, ,     8.1, 
 1976,   -15.3, ,    -8.2, ,    -4.1, ,     6.2, ,    11.0, ,    19.3, ,    18.7, ,    18.1, ,    12.7, ,     5.2, ,    -1.4, ,   -13.2, ,     4.1, ,   -11.2, ,     4.4, ,    18.7, ,     5.5, 
 1977,   -14.3, ,    -8.9, ,     0.5, ,     5.6, ,    14.2, ,    16.8, ,    19.8, ,    17.6, ,    13.1, ,     7.1, ,     1.6, ,    -8.1, ,     5.4, ,   -12.1, ,     6.8, ,    18.1, ,     7.3, 
 1978,   -12.7, ,   -12.4, ,    -5.6, ,     3.1, ,    14.7, , -9999.9,M,    20.0, ,    19.4, ,    11.8, ,     6.7, ,    -0.3, ,    -8.2, , -9999.9,M,   -11.1, ,     4.1, , -9999.9,M,     6.1, 
 1979,   -10.1, ,   -14.3, ,    -0.1, ,     5.9, ,    13.3, ,    17.2, ,    20.7, ,    17.9, ,    13.2, ,     7.5, ,     2.7, ,    -6.2, ,     5.6, ,   -10.9, ,     6.4, ,    18.6, ,     7.8, 
 1980,    -9.8, ,   -10.2, ,    -3.2, ,     6.3, ,    12.5, ,    15.5, ,    19.8, ,    20.1, ,    12.8, ,     5.2, ,    -1.5, ,   -13.5, ,     4.5, ,    -8.7, ,     5.2, ,    18.5, ,     5.5, 
 1981,   -15.8, ,    -3.7, ,    -0.9, ,     6.9, ,    12.4, ,    17.4, ,    20.5, ,    18.7, ,    13.4, ,     5.4, ,     1.0, ,    -4.6, ,     5.9, ,   -11.0, ,     6.1, ,    18.9, ,     6.6, 
