7036855,STE_ANNE_DU_LAC     ,QUE , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
7036855,STE_ANNE_DU_LAC     ,QUE , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1963, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    16.4, ,    18.8, ,    14.5, ,     9.5, ,     9.0, ,     0.9, ,   -17.0, , -9999.9,M, -9999.9,M, -9999.9,M,    16.6, ,     6.5, 
 1964,   -10.1, ,   -12.4, ,    -5.3, ,     2.7, ,    11.5, ,    14.0, ,    18.7, ,    13.6, , -9999.9,M,     4.3, ,    -2.4, ,    -9.0, , -9999.9,M,   -13.2, ,     3.0, ,    15.4, , -9999.9,M
 1965,   -15.5, ,   -14.3, ,    -6.5, ,     1.1, ,    10.1, ,    14.7, ,    14.4, ,    14.7, ,    11.3, ,     4.9, ,    -3.9, ,    -8.4, ,     1.9, ,   -12.9, ,     1.6, ,    14.6, ,     4.1, 
 1966,   -13.4, ,   -11.3, ,    -2.6, ,     2.4, ,     7.2, ,    15.8, ,    17.0, ,    15.9, ,    10.1, ,     5.8, ,     0.6, ,   -10.1, ,     3.1, ,   -11.0, ,     2.3, ,    16.2, ,     5.5, 
 1967,   -10.7, ,   -18.6, ,    -9.6, ,     1.3, ,     6.2, ,    16.1, ,    18.0, ,    16.1, ,    11.5, ,     5.0, ,    -3.6, ,   -10.4, ,     1.8, ,   -13.1, ,    -0.7, ,    16.7, ,     4.3, 
 1968,   -18.0, ,   -15.2, ,    -3.8, ,     5.0, ,     9.4, ,    13.9, ,    17.3, ,    14.7, ,    14.4, ,     8.5, ,    -3.1, ,   -11.5, ,     2.6, ,   -14.5, ,     3.5, ,    15.3, ,     6.6, 
 1969,   -10.1, ,    -8.7, ,    -5.7, ,     1.9, ,     7.1, ,    14.5, , -9999.9,M, -9999.9,M,    10.2, ,     4.5, ,     0.1, , -9999.9,M, -9999.9,M,   -10.1, ,     1.1, , -9999.9,M,     4.9, 
 1970,   -20.7, ,   -15.6, ,    -7.5, ,     1.5, ,     8.6, ,    14.1, ,    18.1, ,    16.3, ,    11.0, ,     6.6, ,    -0.7, ,   -14.2, ,     1.5, , -9999.9,M,     0.9, ,    16.2, ,     5.6, 
 1971,   -18.4, ,   -12.8, ,    -7.9, ,     0.7, ,     9.7, ,    14.3, ,    15.8, ,    15.7, ,    14.9, ,     8.1, ,    -3.3, ,   -11.7, ,     2.1, ,   -15.1, ,     0.8, ,    15.3, ,     6.6, 
 1972,   -14.1, ,   -16.1, ,    -9.6, ,    -1.4, ,    10.2, ,    14.4, ,    16.9, ,    15.0, ,    10.8, ,     2.9, ,    -3.3, ,   -12.6, ,     1.1, ,   -14.0, ,    -0.3, ,    15.4, ,     3.5, 
 1973,   -12.0, ,   -15.2, ,    -0.9, ,     3.5, ,     9.5, ,    16.0, ,    17.6, ,    18.8, ,    10.1, ,     6.6, ,    -2.8, ,    -9.8, ,     3.5, ,   -13.3, ,     4.0, ,    17.5, ,     4.6, 
 1974,   -15.1, ,   -15.9, ,    -8.5, ,     1.9, ,     7.6, ,    15.1, ,    17.2, ,    16.2, ,     9.8, ,     2.4, ,    -1.6, ,    -7.0, ,     1.8, ,   -13.6, ,     0.3, ,    16.2, ,     3.5, 
 1975,   -13.0, ,   -13.2, ,    -7.9, ,    -0.2, ,    12.9, ,    16.3, ,    19.2, ,    16.6, ,    10.9, ,     6.2, ,     0.5, ,   -13.8, ,     2.9, ,   -11.1, ,     1.6, ,    17.4, ,     5.9, 
 1976,   -18.5, ,   -11.0, ,    -7.1, ,     4.0, ,     8.9, ,    17.1, ,    16.4, ,    15.5, ,    10.2, ,     2.8, ,    -4.0, ,   -17.1, ,     1.4, ,   -14.4, ,     1.9, ,    16.3, ,     3.0, 
 1977,   -17.2, ,   -11.4, ,    -1.6, ,     2.4, ,    11.9, ,    13.7, ,    17.2, ,    15.4, ,    10.7, ,     4.7, ,    -0.8, ,   -11.4, ,     2.8, ,   -15.2, ,     4.2, ,    15.4, ,     4.9, 
 1978,   -16.2, ,   -17.1, ,    -9.7, ,     0.8, ,    12.6, ,    15.2, ,    17.0, ,    15.9, ,     9.2, ,     4.4, ,    -3.2, ,   -11.6, ,     1.4, ,   -14.9, ,     1.2, ,    16.0, ,     3.5, 
 1979,   -14.2, ,   -17.4, ,    -2.3, ,     3.3, ,    10.5, ,    14.7, ,    17.9, ,    15.3, ,    10.9, ,     5.5, ,     0.2, ,    -9.1, ,     2.9, ,   -14.4, ,     3.8, ,    16.0, ,     5.5, 
 1980,   -13.7, ,   -14.5, ,    -5.5, ,     4.8, ,    10.1, ,    13.1,E,    16.9, ,    17.1, ,     9.6, ,     3.0,E,    -4.4, ,   -18.7, ,     1.5,E,   -12.4, ,     3.1, ,    15.7,E,     2.7,E
 1981,   -19.2, ,    -6.6, ,    -4.5, ,     3.4, ,     9.8, ,    14.9, ,    17.4, ,    16.3, ,    11.1, ,     2.8, ,    -1.4, ,    -7.7, ,     3.0, ,   -14.8, ,     2.9, ,    16.2, ,     4.2, 
 1982,   -20.4, ,   -15.1, ,    -6.2, ,     0.1, ,    12.2, ,    13.6, ,    16.9, ,    13.3, ,    12.7, ,     6.4, ,    -0.9, ,    -7.7, ,     2.1, ,   -14.4, ,     2.0, ,    14.6, ,     6.1, 
 1983,   -12.3, ,   -10.1, ,    -3.8, ,     3.0, ,     7.7, ,    15.9, ,    18.0, ,    17.5, ,    13.6, ,     5.6, ,    -0.6, ,   -13.0, ,     3.5, ,   -10.0, ,     2.3, ,    17.1, ,     6.2, 
 1984,   -17.0, ,    -6.1, ,    -9.7, ,     5.3, ,     8.1, ,    14.9, ,    17.5, ,    17.9, ,    10.2, ,     6.6, ,    -1.6, ,    -8.9, ,     3.1, ,   -12.0, ,     1.2, ,    16.8, ,     5.1, 
 1985,   -18.1, ,   -11.2,E, -9999.9,M,     1.7, ,     9.6, ,    13.9, ,    16.7, ,    15.1, ,    12.5, ,     6.3, ,    -2.5, ,   -13.5,E, -9999.9,M,   -12.7,E, -9999.9,M,    15.2, ,     5.4, 
 1986,   -14.8, ,   -13.3, ,    -4.7, ,     6.1, ,    11.0,E,    12.6, ,    16.8, ,    15.2, ,    10.7, ,     4.4,E,    -3.9, ,    -8.9, ,     2.6,E,   -13.9,E,     4.1,E,    14.9, ,     3.7,E
 1987,   -12.8, ,   -13.8, ,    -2.9, ,     6.8, ,    10.0,E,    15.3, ,    18.2, ,    15.0, ,    12.0, ,     3.7, ,    -2.2, ,    -6.4, ,     3.6,E,   -11.8, ,     4.6,E,    16.2, ,     4.5, 
 1988,   -12.3,E,   -13.3,E,    -7.4, ,     3.5, ,    11.9, ,    14.0, ,    19.1,E,    16.9, ,    11.0, ,     3.4, ,     0.0, ,   -12.4, ,     2.9,E,   -10.7,E,     2.7, ,    16.7,E,     4.8, 
 1989,   -12.8, ,   -15.9, ,    -8.9, ,     1.1, ,    11.3, ,    15.6, ,    17.7, ,    16.4, ,    12.0, ,     6.3, ,    -4.5, ,   -21.7, ,     1.4, ,   -13.7, ,     1.2, ,    16.6, ,     4.6, 
 1990,    -8.4,E,   -12.1,E,    -6.2, ,     4.6, ,     9.4, ,    15.6, ,    17.7, ,    16.8, ,    11.1, ,     5.4, ,    -0.5, ,    -9.5, ,     3.7,E,   -14.1,E,     2.6, ,    16.7, ,     5.3, 
 1991,   -15.5, ,   -10.1, ,    -4.6, ,     5.1, ,    12.7, ,    15.8, ,    17.7, ,    17.6, ,     9.7, ,     6.2, ,    -0.4, ,   -12.0, ,     3.5, ,   -11.7, ,     4.4, ,    17.0, ,     5.2, 
 1992,   -15.5, ,   -14.2,E,    -9.9, ,     1.3, ,    10.1, ,    14.0, ,    15.4, ,    16.0, ,    11.7, ,     3.6, ,    -2.1, ,    -8.6, ,     1.8,E,   -13.9,E,     0.5, ,    15.1, ,     4.4, 
 1993,   -14.7, ,   -18.2, ,    -6.8, ,     3.7, ,    10.7,E,    14.7, ,    18.7, ,    18.0, ,    10.5, ,     3.6, ,    -2.8, ,   -10.4, ,     2.3,E,   -13.8, ,     2.5,E,    17.1, ,     3.8, 
 1994,   -22.5, ,   -15.9, ,    -5.1, ,     2.5, ,     9.5, ,    16.2,E,    18.7, ,    15.7, ,    11.9, ,     7.3, ,     0.3, ,    -8.1, ,     2.5,E,   -16.3, ,     2.3, ,    16.9,E,     6.5, 
 1995,    -9.4,E,   -14.4, ,    -2.3, ,     0.3, ,     9.9, ,    16.7, ,    19.1, ,    16.8, ,     9.8, ,     8.1, ,    -6.0, ,   -12.7, ,     3.0,E,   -10.6,E,     2.6, ,    17.5, ,     4.0, 
 1996,   -16.1, ,   -14.2, ,    -7.3, ,     1.8, ,     8.6, ,    16.5, ,    17.2, ,    16.8, ,    13.4, ,     5.3, ,    -4.7, ,    -5.1, ,     2.7, ,   -14.3, ,     1.0, ,    16.8, ,     4.7, 
 1997,   -15.3, ,   -12.8,E,   -10.0, ,     1.6, ,     7.4, ,    16.7, ,    17.6, ,    14.6, ,    11.2, ,     4.0, ,    -3.8, ,   -10.8, ,     1.7,E,   -11.1,E,    -0.3, ,    16.3, ,     3.8, 
 1998,   -11.4,E,    -6.9,E,    -4.1, ,     4.8, ,    13.7,E,    16.6, ,    17.7, ,    17.0, ,    13.0,E,     6.5, ,    -0.1, ,    -7.3, ,     5.0,E,    -9.7,E,     4.8,E,    17.1, ,     6.5,E
