7044288,LES_BUISSONS        ,QUE , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
7044288,LES_BUISSONS        ,QUE , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1963, -9999.9,M, -9999.9,M, -9999.9,M,     0.3, ,     5.1, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -15.9, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1964,   -14.4, , -9999.9,M, -9999.9,M, -9999.9,M,     5.7, ,    10.8, ,    14.7, ,    12.8, ,     9.0, ,     1.9, ,    -3.8, ,   -12.2, , -9999.9,M, -9999.9,M, -9999.9,M,    12.8, ,     2.4, 
 1965,   -15.5, ,   -12.5, ,    -5.0, ,     0.7, ,     6.1, ,    13.2, ,    13.8, ,    13.4, ,     8.8, ,     2.4, ,    -5.2, ,   -10.1, ,     0.8, ,   -13.4, ,     0.6, ,    13.5, ,     2.0, 
 1966,    -8.7, ,    -8.9, ,    -2.7, ,     1.2, ,     6.4, ,    13.9, ,    15.9, ,    14.7, ,     9.5, ,     4.1, ,    -0.3, ,    -7.5, ,     3.1, ,    -9.2, ,     1.6, ,    14.8, ,     4.4, 
 1967,   -11.9, ,   -15.2, ,    -9.6, ,    -1.2, ,     5.5, ,    14.1, ,    18.0, ,    16.1, ,    10.9, ,     5.0, ,    -1.4, ,    -8.4, ,     1.8, ,   -11.5, ,    -1.8, ,    16.1, ,     4.8, 
 1968,   -15.8, ,   -13.2, ,    -6.4, ,     2.5, ,     8.4, ,    12.8, ,    16.6, ,    12.5, ,    13.2, ,     6.9, ,    -3.0, ,    -8.0, ,     2.2, ,   -12.5, ,     1.5, ,    14.0, ,     5.7, 
 1969,    -9.0, ,    -8.1, ,    -4.2, ,    -1.1, ,     5.6, ,    13.0, ,    15.4, ,    15.9, ,     9.1, ,     3.3, ,     0.7, ,    -6.8, ,     2.8, ,    -8.4, ,     0.1, ,    14.8, ,     4.4, 
 1970, -9999.9,M,   -12.5, ,    -4.1, ,     1.1, ,     7.5, ,    13.2, ,    17.7, , -9999.9,M,     9.5, ,     6.7, ,    -0.1, ,   -12.3, , -9999.9,M, -9999.9,M,     1.5, , -9999.9,M,     5.4, 
 1971,   -14.4, ,   -11.4, ,    -3.2, ,     1.8, ,     8.5, ,    13.4, ,    16.5, ,    14.7, ,    11.3, ,     5.6, ,    -2.3, ,   -12.7, ,     2.3, ,   -12.7, ,     2.4, ,    14.9, ,     4.9, 
 1972,   -15.6, ,   -15.2, ,    -8.7, ,     0.8, ,     6.8, ,    12.2, ,    15.8, ,    13.9, ,    10.5, ,     2.7, ,    -3.4, ,   -14.9, ,     0.4, ,   -14.5, ,    -0.4, ,    14.0, ,     3.3, 
