7053649,LAC_HUMQUI          ,QUE , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
7053649,LAC_HUMQUI          ,QUE , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1972, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -15.9,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1973,   -13.8,a,   -13.0,a,    -4.0,a,     0.0,a,     6.6,a,    16.2,a,    19.4,a,    17.3,a,     9.7,a,     5.0,a,    -3.9,a,    -6.9,a,     2.7,a,   -14.2,a,     0.9,a,    17.6,a,     3.6,a
 1974,   -17.2,a,   -14.6,a,    -8.8,a,    -1.2,a,     4.4,a,    15.2,a,    16.5,a,    15.9,a,     9.2,a,     1.5,a,    -2.1,a,    -8.4,a,     0.9,a,   -12.9,a,    -1.9,a,    15.9,a,     2.9,a
 1975,   -14.6,a,   -13.6,a,    -7.0,a,    -1.0,a,     9.0,a,    15.3,a,    19.3,a,    16.3,a,    11.2,a,     5.0,a,    -1.2,a,   -13.1,a,     2.1,a,   -12.2,a,     0.3,a,    17.0,a,     5.0,a
 1976,   -16.0,a,   -12.6,a,    -7.8,a,     0.1,a,     8.5,a,    16.3,a,    16.7,a,    16.3,a,     9.7,a,     2.7,a,    -4.6,a,   -15.4,a,     1.2,a,   -13.9,a,     0.3,a,    16.4,a,     2.6,a
 1977,   -15.9,a,   -12.2,a,    -3.4,a,    -0.5,a,     8.4,a,    13.2,a,    16.4,a,    15.9,a,     9.2,a,     5.1,a,     0.4,a,   -10.0,a,     2.2,a,   -14.5,a,     1.5,a,    15.2,a,     4.9,a
 1978,   -14.4,a,   -11.6,a,    -9.7,a,    -0.8,a,     9.9,a,    14.6,a,    17.3,a,    16.0,a,     8.4,a,     3.5,a,    -4.0,a,   -10.5,a,     1.6,a,   -12.0,a,    -0.2,a,    16.0,a,     2.6,a
 1979,   -11.8,a,   -14.8,a,    -2.6,a,     2.3,a,    10.2,a,    15.4,a,    18.2,a,    14.8,a,    10.4,a,     5.7,a,    -0.6,a,    -9.3,a,     3.2,a,   -12.4,a,     3.3,a,    16.1,a,     5.2,a
 1980,   -13.3, ,   -13.3, ,    -7.5,E,     1.7, ,     7.8, ,    12.7, ,    15.6, ,    16.9, ,     8.9, ,     3.2, ,    -2.4, ,   -14.5, ,     1.3,E,   -12.0,a,     0.7,E,    15.1, ,     3.2, 
 1981,   -15.7, ,    -5.2, ,    -3.0, ,     1.2, ,     9.0, ,    13.5, ,    16.9, ,    15.4, ,    10.8, ,     3.7, ,    -1.0, ,    -6.0, ,     3.3, ,   -11.8, ,     2.4, ,    15.3, ,     4.5, 
 1982,   -17.4, ,   -14.6, ,    -6.9, ,    -0.8, ,     8.3, ,    12.6, ,    16.6, ,    12.6, ,    11.1, ,     5.6, ,    -1.6, ,    -9.1, ,     1.4, ,   -12.7, ,     0.2, ,    13.9, ,     5.0, 
 1983,   -12.1, ,   -13.0, ,    -4.7, ,     2.4, ,     7.3, ,    15.0, ,    16.5, ,    16.3, ,    12.3, ,     5.0, ,    -1.6, ,   -11.7, ,     2.6, ,   -11.4, ,     1.7, ,    15.9, ,     5.2, 
 1984,   -17.0, ,    -7.8, ,    -9.5, ,     1.0, ,     7.1, ,    13.5, ,    17.8, ,    17.3, ,     9.5,E,     4.8, ,    -1.1, ,   -10.0, ,     2.1,E,   -12.2, ,    -0.5, ,    16.2, ,     4.4,E
 1985,   -15.7, ,   -10.8, ,    -7.2,E,    -0.9, ,     7.0,E,    12.8, ,    17.2, ,    14.9, ,    11.6,E,     4.7, ,    -3.7, ,   -13.8, ,     1.3,E,   -12.2, ,    -0.4,E,    15.0, ,     4.2,E
 1986,   -13.3, ,   -12.9, ,    -7.3, ,     3.3, ,     9.4, ,    11.3, ,    15.6, ,    14.7, ,     8.1, ,     3.0, ,    -5.3, ,   -10.8, ,     1.3, ,   -13.3, ,     1.8, ,    13.9, ,     1.9, 
 1987,   -14.1, ,   -12.5,E,    -4.3, ,     4.9, ,     8.8, ,    13.5, ,    17.8, ,    14.4,E,    11.6, ,     5.5, ,    -3.0, ,    -9.5,E,     2.8,E,   -12.5,E,     3.1, ,    15.2,E,     4.7, 
