7056930,ST_CAMILLE_         ,QUE , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
7056930,ST_CAMILLE_         ,QUE , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1963, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    18.2, ,    13.6, ,     9.0, ,     8.1, ,     0.5, ,   -14.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     5.9, 
 1964,   -10.3, ,   -10.8, ,    -5.9, ,     1.2, ,    10.3, ,    13.7, ,    17.6, ,    13.8, ,     9.9, ,     4.3, ,    -2.4, ,    -8.8, ,     2.7, ,   -11.8, ,     1.9, ,    15.0, ,     3.9, 
 1965,   -14.5, ,   -13.0, ,    -5.7, ,     1.2, ,     9.5, ,    14.5, ,    14.8, ,    15.4, ,    11.8, ,     4.4, ,    -4.5, ,    -8.5, ,     2.1, ,   -12.1, ,     1.7, ,    14.9, ,     3.9, 
 1966,   -11.4, ,    -9.8, ,    -4.5, ,     1.1, ,     7.8, ,    15.0, ,    16.7, ,    15.5, ,     9.6, ,     4.9, ,     0.8, ,    -7.8, ,     3.2, ,    -9.9, ,     1.5, ,    15.7, ,     5.1, 
 1967,   -10.4, ,   -16.1, ,    -9.1, ,     0.3, ,     5.0, ,    15.8, ,    17.9, ,    16.3, ,    11.7, ,     6.1, ,    -2.6, ,    -9.3, ,     2.1, ,   -11.4, ,    -1.3, ,    16.7, ,     5.1, 
 1968,   -15.4, ,   -14.4, ,    -4.0, ,     3.7, ,     8.0, ,    13.2, ,    17.1, ,    13.6, ,    13.1, ,     7.6, ,    -3.9, ,   -10.6, ,     2.3, ,   -13.0, ,     2.6, ,    14.6, ,     5.6, 
 1969,   -10.2, ,    -8.7, ,    -5.8, ,     0.4, ,     8.0, ,    14.4, ,    16.0, ,    16.9, ,    10.5, ,     4.7, ,    -0.1, ,    -8.8, ,     3.1, ,    -9.8, ,     0.9, ,    15.8, ,     5.0, 
 1970,   -17.2, ,   -11.8, ,    -6.3, ,     1.2, ,     8.9, ,    14.7, ,    18.6, ,    16.4, ,    10.8, ,     7.2, ,    -0.8, ,   -13.9, ,     2.3, ,   -12.6, ,     1.3, ,    16.6, ,     5.7, 
 1971,   -16.1, ,   -11.2, ,    -6.3, ,     1.1, ,     9.4, ,    13.6, ,    16.4, ,    15.3, ,    13.3, ,     7.6, ,    -3.4, ,   -11.7, ,     2.3, ,   -13.7, ,     1.4, ,    15.1, ,     5.8, 
 1972,   -12.7, ,   -14.1, ,    -8.5, ,     0.3, ,     9.7, ,    15.1, ,    16.9, ,    14.6, ,    11.8, ,     2.7, ,    -3.7, ,   -12.1, ,     1.7, ,   -12.8, ,     0.5, ,    15.5, ,     3.6, 
 1973,   -11.2, ,   -11.8, ,    -1.2, ,     2.0, ,     8.1, ,    16.2, ,    18.7, ,    18.5, ,    10.6, ,     5.9, ,    -2.5, ,    -6.6, ,     3.9, ,   -11.7, ,     3.0, ,    17.8, ,     4.7, 
 1974,   -13.3, ,   -13.4, ,    -7.4, ,     1.3, ,     6.0, ,    15.0, ,    17.3, ,    15.9, ,     9.7, ,     2.9, ,    -1.1, ,    -7.1, ,     2.2, ,   -11.1, ,     0.0, ,    16.1, ,     3.8, 
 1975,   -11.7, ,   -11.1, ,    -6.1, ,    -0.6, ,    11.2, ,    15.0, ,    19.2, ,    16.4, ,    11.3, ,     5.6, ,     0.4, ,   -11.9, ,     3.1, ,   -10.0, ,     1.5, ,    16.9, ,     5.8, 
 1976,   -15.5, ,   -10.9, ,    -6.0, ,     2.4, ,     9.3, ,    16.3, ,    16.3, ,    16.3, ,    10.5, ,     3.2, ,    -4.2, ,   -15.0, ,     1.9, ,   -12.8, ,     1.9, ,    16.3, ,     3.2, 
 1977,   -15.1, ,   -10.8, ,    -1.4, ,     0.9, ,    10.4, ,    13.7, ,    16.7, ,    15.7,E,     9.8, ,     5.1, ,    -0.5, ,    -9.4, ,     2.9,E,   -13.6, ,     3.3, ,    15.4,E,     4.8, 
 1978,   -13.6, ,   -13.3, ,    -8.2, ,     0.0, ,    11.4, ,    15.1, ,    16.7, ,    16.3, ,     8.5, ,     4.3, ,    -2.7, ,   -10.0,E,     2.0,E,   -12.1, ,     1.1, ,    16.0, ,     3.4, 
