7057600,ST_PAMPHILE         ,QUE , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
7057600,ST_PAMPHILE         ,QUE , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1950, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     2.2, ,    -4.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1951,    -7.0, ,    -8.5, ,    -3.5, ,     5.0, ,    13.0, ,    15.4, ,    17.0, ,    14.5, , -9999.9,M,     6.7, ,    -3.6, ,   -10.5, , -9999.9,M,    -6.6, ,     4.8, ,    15.6, , -9999.9,M
 1952,   -12.1, ,   -10.1, ,    -5.7, ,     2.6, ,     8.3, ,    15.0, ,    19.9, ,    16.8, ,    11.3, ,     3.0, ,    -1.2, ,    -7.5, ,     3.4, ,   -10.9, ,     1.7, ,    17.2, ,     4.4, 
 1953,   -10.0, ,    -9.5, ,    -4.6, ,     2.7, ,     9.4, ,    15.4, ,    16.9, ,    15.8, ,    11.9, ,     6.0, ,     1.4, ,    -5.8, ,     4.1, ,    -9.0, ,     2.5, ,    16.0, ,     6.4, 
 1954,   -15.6, ,    -6.7, ,    -6.5, ,     0.3, ,     7.5, ,    14.5, ,    15.5, ,    14.5, ,    10.1, ,     5.9, ,    -1.4, , -9999.9,M, -9999.9,M,    -9.4, ,     0.4, ,    14.8, ,     4.9, 
 1955, -9999.9,M, -9999.9,M,    -8.2, ,     2.3, ,    10.0, ,    15.9, ,    18.5, ,    16.2, ,     9.8, ,     4.8, ,    -3.2, , -9999.9,M, -9999.9,M, -9999.9,M,     1.4, ,    16.9, ,     3.8, 
 1956,    -9.0, ,   -11.8, ,    -8.5, ,     2.6, ,     6.3, ,    14.2, ,    15.4, ,    13.9, ,     8.9, ,     5.7, ,    -2.8, ,   -10.1, ,     2.1, , -9999.9,M,     0.1, ,    14.5, ,     3.9, 
 1957,   -18.1, ,   -10.4, ,    -4.8, ,     0.2, ,     8.6, , -9999.9,M,    15.4, ,    13.0, ,    10.6, ,     5.5, , -9999.9,M, -9999.9,M, -9999.9,M,   -12.9, ,     1.3, , -9999.9,M, -9999.9,M
 1958, -9999.9,M,   -14.3, ,    -2.8, ,     3.1, ,     6.9, , -9999.9,M,    16.0, , -9999.9,M,    10.3, ,     2.7, ,    -2.0, ,   -15.4, , -9999.9,M, -9999.9,M,     2.4, , -9999.9,M,     3.7, 
 1959,   -13.3, ,   -15.3, ,    -7.9, ,     2.5, ,    12.0, ,    13.9, ,    20.2, ,    16.9, ,    13.2, ,     4.6, ,    -3.3, ,    -8.5, ,     2.9, ,   -14.7, ,     2.2, ,    17.0, ,     4.8, 
