7063560,LAC_BOUCHETTE       ,QUE , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
7063560,LAC_BOUCHETTE       ,QUE , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1949, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    11.3,a,     6.8,a,    -5.2,a,    -8.5,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     4.3,a
 1950,   -13.1,a,   -17.6,a,    -9.7,a,     1.2,a,    10.6,a,    14.4,a,    17.8,a,    14.0,a, -9999.9,M,     3.3,a,    -3.4,a,    -8.7,a, -9999.9,M,   -13.1,a,     0.7,a,    15.4,a, -9999.9,M
 1951, -9999.9,M, -9999.9,M, -9999.9,M,     4.3,a,    10.7,a,    14.1,a,    16.6,a,    15.5,a,    11.7,a,     6.3,a,    -1.9,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    15.4,a,     5.4,a
 1952, -9999.9,M, -9999.9,M, -9999.9,M,     3.2,a,     9.7,a,    15.3,a,    20.0,a,    16.5,a,    11.8,a,     3.0,a,    -2.0,a,    -7.8,a, -9999.9,M, -9999.9,M, -9999.9,M,    17.3,a,     4.3,a
 1953,   -14.2,a,   -11.4,a,    -5.5,a,     2.7,a,     9.0,a,    15.2,a,    17.3,a,    15.6,a,    11.6,a,     5.7,a,     1.6,a,    -8.3,a,     3.3,a,   -11.1,a,     2.1,a,    16.0,a,     6.3,a
 1954,   -21.0,a,    -9.6,a,    -8.2,a,    -0.1,a,     7.9,a,    14.9,a,    15.7,a,    14.8,a,    10.6,a,     5.0,a,    -2.5,a,   -10.9,a,     1.4,a,   -13.0,a,    -0.1,a,    15.1,a,     4.4,a
 1955,   -16.3,a,   -15.5,a,    -9.7,a,     1.3,a,    10.3,a,    16.8,a,    18.2,a,    17.3,a,     9.9,a,     4.9,a,    -2.1,a,   -14.0,a,     1.8,a,   -14.2,a,     0.6,a,    17.4,a,     4.2,a
 1956,   -10.3,a,   -12.8,a,   -11.2,a,     0.5,a,     4.7,a,    14.1,a,    14.5,a,    14.4,a,     8.7,a,     6.2,a,    -3.2,a,   -14.8,a,     0.9,a,   -12.4,a,    -2.0,a,    14.3,a,     3.9,a
 1957,   -20.5,a,   -13.1,a,    -7.9,a,     0.0,a,     7.8,a,    14.8,a,    16.2,a,    12.9,a,    10.9,a,     5.1,a,    -1.2,a,    -9.5,a,     1.3,a,   -16.1,a,     0.0,a,    14.6,a,     4.9,a
 1958,   -13.4,a,   -14.3,a,    -2.1,a,     1.9,a,     6.6,a,    10.5,a,    16.2,a,    14.8,a,    10.6,a,     3.5,a,    -2.5,a,   -18.8,a,     1.1,a,   -12.4,a,     2.1,a,    13.8,a,     3.9,a
 1959,   -15.5,a,   -19.9,a,   -11.5,a,     0.4,a,    10.0,a,    13.9,a,    18.9,a,    16.1,a,    12.4,a,     3.6,a,    -3.9,a,   -12.2,a,     1.0,a,   -18.1,a,    -0.4,a,    16.3,a,     4.0,a
 1960, -9999.9,M,   -10.5,a,    -9.5,a,     0.2,a,    10.5,a,    13.2,a,    16.3,a,    15.6,a,    10.6,a,     3.6,a,    -1.1,a,   -13.5,a, -9999.9,M, -9999.9,M,     0.4,a,    15.0,a,     4.4,a
 1961,   -21.5, ,   -15.7, ,    -9.3, ,     1.6, ,     6.0, ,    12.0, ,    15.9, ,    15.6, ,    13.2, ,     5.3, ,    -0.7, ,   -11.0, ,     1.0, ,   -16.9,a,    -0.6, ,    14.5, ,     5.9, 
 1962,   -19.6, ,   -20.5, ,    -5.2, , -9999.9,M, -9999.9,M,    13.8, ,    13.6, , -9999.9,M, -9999.9,M, -9999.9,M,    -4.8, ,   -13.7, , -9999.9,M,   -17.0, , -9999.9,M, -9999.9,M, -9999.9,M
 1963,   -16.3, ,   -18.4, ,   -10.4, ,     1.0, ,     7.7, ,    15.3, ,    18.0, ,    13.2, ,     8.9, ,     7.3, ,    -1.4, , -9999.9,M, -9999.9,M,   -16.1, ,    -0.6, ,    15.5, ,     4.9, 
 1964,   -12.5, ,   -13.2, ,    -8.4, ,    -0.8, ,     7.7, ,    11.7, ,    17.5, ,    13.6, ,     8.4, , -9999.9,M,    -6.1, ,   -13.3, , -9999.9,M, -9999.9,M,    -0.5, ,    14.3, , -9999.9,M
 1965,   -18.3, ,   -15.4, ,    -8.4, ,     0.9, ,     8.2, ,    14.8, ,    13.9, ,    14.0, ,    10.0, ,     3.3, ,    -6.2, ,   -11.6, ,     0.4, ,   -15.7, ,     0.2, ,    14.2, ,     2.4, 
 1966,   -13.5, ,   -11.5, ,    -5.3, ,     0.8, ,     7.0, ,    14.7, ,    16.6, ,    15.0, ,     9.6, ,     4.4, ,    -0.9, ,   -11.2, ,     2.1, ,   -12.2, ,     0.8, ,    15.4, ,     4.4, 
 1967,   -15.0, ,   -18.7, ,   -11.7, ,    -1.7, ,     4.8, ,    15.1, ,    17.7, ,    16.4, ,    11.0, ,     4.4, ,    -4.0, ,   -11.4, ,     0.6, ,   -15.0, ,    -2.9, ,    16.4, ,     3.8, 
 1968,   -20.8, ,   -17.9, ,    -6.6, ,     3.0, ,     8.4, ,    13.8, ,    16.4, ,    12.8, ,    13.9, ,     7.3, ,    -4.8, ,   -13.0, ,     1.0, ,   -16.7, ,     1.6, ,    14.3, ,     5.5, 
 1969,   -11.7, ,   -12.0, ,    -7.6, ,    -1.2, ,     6.2, ,    13.6, ,    16.0, ,    16.8, ,     9.3, ,     3.5, ,    -1.0, ,   -13.1, ,     1.6, ,   -12.2, ,    -0.9, ,    15.5, ,     3.9, 
 1970,   -20.7, ,   -16.1, ,    -7.8, ,    -0.1, ,     8.4, ,    14.6, ,    19.0, ,    17.3, ,    10.5, ,     6.9, ,    -1.3, ,   -17.6, ,     1.1, ,   -16.6, ,     0.2, ,    17.0, ,     5.4, 
