7070454,BARRAGE_GOUIN       ,QUE , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
7070454,BARRAGE_GOUIN       ,QUE , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1914, -9999.9,M, -9999.9,M,    -9.3,a,    -3.8,a,     8.4,a,     9.9,a,    15.4,a, -9999.9,M,    10.5,a,     3.1,a,    -7.8,a,   -16.3,a, -9999.9,M, -9999.9,M,    -1.6,a, -9999.9,M,     1.9,a
 1915,   -15.7,a,   -11.4,a,   -10.6,a,     2.3,a,     5.5,a,    13.4,a,    15.3,a,    14.4,a,    10.3,a,     5.3,a,    -2.9,a,   -11.7,a,     1.2,a,   -14.5,a,    -0.9,a,    14.4,a,     4.2,a
 1916,   -17.1,a,   -19.2,a,   -15.0,a,     1.1,a,     5.6,a,    12.8,a,    18.7,a,    16.3,a,     9.1,a,     2.6,a,    -5.3,a,   -12.8,a,    -0.3,a,   -16.0,a,    -2.8,a,    15.9,a,     2.1,a
 1917,   -18.8,a,   -20.2,a,    -8.0,a,    -0.5,a,     4.4,a,    12.6,a,    18.4,a,    15.9,a,     9.8,a,     1.1,a,    -6.8,a,   -17.3,a,    -0.8,a,   -17.3,a,    -1.4,a,    15.6,a,     1.4,a
 1918, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    17.4,a,    14.8,a, -9999.9,M, -9999.9,M,    -2.9,a,   -12.0,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1919, -9999.9,M,   -12.3,a,    -8.2,a,    -0.6,a,     8.0,a,    18.0,a,    17.0,a,    14.5,a,     9.0,a,     2.3,a,    -5.3,a,   -18.0,a, -9999.9,M, -9999.9,M,    -0.3,a,    16.5,a,     2.0,a
 1920, -9999.9,M, -9999.9,M,    -7.0,a,     0.3,a,     9.2,a,    15.0,a,    14.7,a,    16.8,a,    11.8,a,     7.1,a,    -6.3,a,   -10.9,a, -9999.9,M, -9999.9,M,     0.8,a,    15.5,a,     4.2,a
 1921,   -15.4,a,   -15.5,a,    -6.3,a,     2.1,a,    10.5,a,    14.3,a,    20.3,a,    14.6,a,    11.4,a,     3.5,a,    -5.8,a,   -12.9,a,     1.7,a,   -13.9,a,     2.1,a,    16.4,a,     3.0,a
 1922,   -16.8,a,   -16.5,a,    -5.6,a,     1.6,a,    10.0,a,    14.7,a,    16.7,a,    16.1,a,    13.5,a,     4.0,a,    -3.1,a,   -14.4,a,     1.7,a,   -15.4,a,     2.0,a,    15.8,a,     4.8,a
 1923,   -19.0, ,   -19.1, ,   -13.8, ,    -2.4, ,     5.3, ,    11.0, ,    14.9, ,    13.1, ,    10.9, ,     5.7, ,    -2.7, ,    -8.2, ,    -0.4, ,   -17.5,a,    -3.6, ,    13.0, ,     4.6, 
 1924,   -18.9, ,   -18.0, ,    -5.2, ,    -0.4, ,     4.3, ,    11.9, ,    15.6, ,    15.0, ,     9.8, ,     5.7, ,    -3.1, ,   -16.7, ,     0.0, ,   -15.0, ,    -0.4, ,    14.2, ,     4.1, 
 1925,   -20.2, ,   -12.4, ,    -6.6, ,    -0.5, ,     5.5, ,    13.6, ,    14.8, ,    16.1, ,     8.5, ,    -0.3, ,    -5.0, ,   -13.0, ,     0.0, ,   -16.4, ,    -0.5, ,    14.8, ,     1.1, 
 1926,   -17.4, ,   -16.4, ,   -11.5, ,    -5.6, ,     4.9, ,    10.1, ,    14.9, ,    13.8, ,     9.6, ,     3.2, ,    -5.5, ,   -13.7, ,    -1.1, ,   -15.6, ,    -4.1, ,    12.9, ,     2.4, 
 1927,   -15.8, ,   -14.6, ,    -4.1, ,    -0.6, ,     6.7, ,    11.2, ,    16.3, ,    14.3, ,    10.8, ,     5.4, ,    -4.3, ,   -12.8, ,     1.0, ,   -14.7, ,     0.7, ,    13.9, ,     4.0, 
 1928,   -17.7, ,   -16.5, ,    -9.5, ,    -2.3, ,     7.9, ,    11.5, ,    16.2, ,    16.7, ,     9.3, ,     4.5, ,    -4.0, ,    -8.9, ,     0.6, ,   -15.7, ,    -1.3, ,    14.8, ,     3.3, 
 1929,   -19.5, ,   -15.2, ,    -8.2, ,    -0.5, ,     6.7, ,    14.0, ,    15.4, ,    13.7, ,    10.6, ,     3.7, ,    -6.2, ,   -16.4, ,    -0.2, ,   -14.5, ,    -0.7, ,    14.4, ,     2.7, 
 1930,   -16.5, ,   -15.2, ,   -10.4, ,    -1.4, ,     8.1, ,    17.0, ,    15.6, ,    14.7, ,    10.2, ,     5.7, ,    -1.2, ,   -10.7, ,     1.3, ,   -16.0, ,    -1.2, ,    15.8, ,     4.9, 
 1931,   -18.0, ,   -14.7, ,    -3.8, ,     1.2, ,     9.1, ,    14.2, ,    18.3, ,    15.0, ,    11.0, ,     6.8, ,     0.5, ,   -11.2, ,     2.4, ,   -14.5, ,     2.2, ,    15.8, ,     6.1, 
 1932,   -10.1, ,   -16.4, ,   -11.0, ,    -1.5, ,     7.6, ,    13.4, ,    14.4, ,    16.4, ,    11.1, ,     4.0, ,    -6.3, ,   -11.6, ,     0.8, ,   -12.6, ,    -1.6, ,    14.7, ,     2.9, 
 1933,   -12.5, ,   -13.2, ,    -8.6, ,     0.8, ,     7.1, ,    13.7, ,    16.0, ,    15.1, ,    11.3, ,     3.5, ,   -10.9, ,   -20.7, ,     0.1, ,   -12.4, ,    -0.2, ,    14.9, ,     1.3, 
 1934,   -17.7, ,   -22.4, ,   -11.0, ,     0.2, ,     7.7, ,    14.0, ,    16.1, ,    12.7, ,    12.6, ,     2.2, ,    -2.8, ,   -16.4, ,    -0.4, ,   -20.3, ,    -1.0, ,    14.3, ,     4.0, 
 1935,   -21.8, ,   -16.7, ,   -10.9, ,     0.3, ,     5.8, ,    14.0, ,    16.9, ,    16.3, ,     8.2, ,     4.0, ,    -3.4, ,   -14.6, ,    -0.2, ,   -18.3, ,    -1.6, ,    15.7, ,     2.9, 
 1936,   -16.0, ,   -16.2, ,    -3.2, ,    -0.3, ,     6.0, ,    12.9, ,    15.5, ,    13.6, ,    10.1, ,     1.3, ,    -9.0, ,   -14.2, ,     0.0, ,   -15.6, ,     0.8, ,    14.0, ,     0.8, 
 1937,   -16.7, ,   -10.9, ,   -12.1, ,     1.2, ,     9.7, ,    14.5, ,    17.8, ,    18.4, ,    10.4, ,     3.5, ,    -5.3, ,   -13.6, ,     1.4, ,   -13.9, ,    -0.4, ,    16.9, ,     2.9, 
 1938,   -17.6, ,   -16.0, ,    -7.7, ,     0.1, ,     9.1, ,    14.6, ,    16.7, ,    16.2, ,     9.6, ,     5.6, ,    -3.3, ,   -10.6, ,     1.4, ,   -15.7, ,     0.5, ,    15.8, ,     4.0, 
 1939,   -17.5, ,   -16.8, ,   -13.4, ,    -0.9, ,     6.7, ,    14.2, ,    17.3, ,    17.1, ,     9.7, ,     2.3, ,    -6.2, ,   -11.5, ,     0.1, ,   -15.0, ,    -2.5, ,    16.2, ,     1.9, 
