8102300,KEDGWICK            ,NB  , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
8102300,KEDGWICK            ,NB  , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1931, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    13.4, ,    18.5, ,    15.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    15.8, , -9999.9,M
 1932, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     9.5, ,    13.3, ,    15.2, ,    17.0, ,     9.7, , -9999.9,M,    -4.5, ,    -9.7, , -9999.9,M, -9999.9,M, -9999.9,M,    15.2, , -9999.9,M
 1933,   -10.4, ,   -10.1, ,    -9.1, ,     1.6, ,     7.2, ,    13.9, ,    16.2, ,    15.4, ,    10.6, ,     4.8, ,    -8.8, ,   -19.6, ,     1.0, ,   -10.1, ,    -0.1, ,    15.2, ,     2.2, 
 1934,   -18.8, ,   -17.9, ,    -8.6, ,     1.4, ,     9.1, ,    13.1, ,    15.6, ,    12.5, ,    14.2, ,     3.6, ,    -1.7, ,   -14.5, ,     0.7, ,   -18.8, ,     0.6, ,    13.7, ,     5.4, 
 1935,   -17.2, ,   -15.6, ,    -8.5, ,     1.1, ,     7.3, ,    15.2, ,    17.0, ,    17.0, ,     9.3, ,     5.3, ,    -2.4, ,   -10.1, ,     1.5, ,   -15.8, ,     0.0, ,    16.4, ,     4.1, 
 1936,   -13.4, ,   -15.3, ,    -1.9, ,     1.4, ,     6.9, ,    14.6, ,    14.5, ,    13.9, ,     9.8, ,     3.1, ,    -6.3, ,   -10.4, ,     1.4, ,   -12.9, ,     2.1, ,    14.3, ,     2.2, 
 1937,   -13.3, ,    -9.9, ,    -8.3, ,     2.1, ,    10.6, ,    14.2, ,    17.9, ,    18.0, ,    11.4, ,     5.1, ,    -1.9, ,   -11.7, ,     2.9, ,   -11.2, ,     1.5, ,    16.7, ,     4.9, 
 1938,   -14.6, ,   -14.5, ,    -8.4, ,     1.3, ,     7.2, ,    15.5, ,    17.1, ,    16.1, ,    10.4, ,     5.4, ,    -2.7, ,    -8.9, ,     2.0, ,   -13.6, ,     0.0, ,    16.2, ,     4.4, 
 1939,   -15.3, ,   -15.3, ,   -12.4, ,    -0.7, ,     7.6, ,    12.7, ,    17.7, ,    17.2, ,     9.6, ,     4.0, ,    -3.6, ,    -8.6, ,     1.1, ,   -13.2, ,    -1.8, ,    15.9, ,     3.3, 
 1940,   -14.1, ,   -13.1, ,    -6.8, ,     0.0, ,     9.9, ,    12.8, ,    16.5, ,    15.1, ,    10.7, ,     2.2, ,    -3.5, ,   -13.7, ,     1.3, ,   -11.9, ,     1.0, ,    14.8, ,     3.1, 
 1941,   -15.9, ,   -10.4, ,    -7.7, ,     1.8, ,     8.4, ,    13.0, ,    17.3, ,    13.1, ,    10.1, ,     3.2, ,    -2.8, ,    -8.4, ,     1.8, ,   -13.3, ,     0.8, ,    14.5, ,     3.5, 
