8104501,SACKVILLE           ,NB  , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
8104501,SACKVILLE           ,NB  , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1935,    -9.7, ,    -8.9, ,    -3.9, ,     2.8, ,     9.2, ,    16.1, ,    18.5, ,    19.1, ,    12.5, ,     8.1, ,     4.4, ,    -6.1, ,     5.2, , -9999.9,M,     2.7, ,    17.9, ,     8.3, 
 1936,    -7.0, ,    -8.9, ,     2.3, ,     3.7, ,     8.8, ,    15.9, ,    17.0, ,    16.8, ,    12.8, ,     7.5, ,     0.3, ,    -3.0, ,     5.5, ,    -7.3, ,     4.9, ,    16.6, ,     6.9, 
 1937,    -4.7, ,    -5.4, ,    -3.2, ,     3.9, ,    11.3, ,    15.7, ,    18.8, ,    19.8, ,    14.6, ,     8.2, ,     2.3, ,    -5.0, ,     6.4, ,    -4.4, ,     4.0, ,    18.1, ,     8.4, 
 1938,    -7.3, ,    -8.1, ,    -3.8, ,     3.8, ,     8.6, ,    15.3, ,    17.5, ,    18.6, ,    13.3, ,     8.8, ,     2.2, ,    -3.7, ,     5.4, ,    -6.8, ,     2.9, ,    17.1, ,     8.1, 
 1939,    -7.9, ,    -8.2, ,    -5.8, ,     1.7, ,     8.2, ,    13.3, ,    18.5, ,    19.9, ,    13.8, ,     7.7, ,     0.4, ,    -4.2, ,     4.8, ,    -6.6, ,     1.4, ,    17.2, ,     7.3, 
 1940,    -9.6, ,    -7.1, ,    -2.9, ,     2.0, ,     9.7, ,    13.2, ,    18.0, ,    16.7, ,    13.8, ,     6.1, ,     2.5, ,    -5.3, ,     4.8, ,    -7.0, ,     2.9, ,    16.0, ,     7.5, 
 1941,    -9.4, ,    -5.8, ,    -4.0, ,     3.5, ,     9.3, ,    13.6, ,    18.2, ,    15.6, ,    12.6, ,     7.2, ,     2.5, ,    -3.9, ,     5.0, ,    -6.8, ,     2.9, ,    15.8, ,     7.4, 
 1942,    -7.9, ,    -7.6, ,    -0.2, ,     4.3, ,    11.6, ,    15.2, ,    18.2, ,    17.7, ,    15.0, ,     9.6, ,     1.5, ,    -7.5, ,     5.8, ,    -6.5, ,     5.2, ,    17.0, ,     8.7, 
 1943,   -10.6, ,    -4.8, ,    -3.3, ,     1.8, ,     8.8, ,    13.0, ,    18.0, ,    16.8, ,    14.0, ,     9.1, ,     2.4, ,    -8.2, ,     4.8, ,    -7.6, ,     2.4, ,    15.9, ,     8.5, 
 1944,    -6.7, ,    -8.6, ,    -4.4, ,     2.3, ,    11.1, ,    14.0, ,    18.6, ,    18.9, ,    15.1, ,     8.1, ,     3.9, ,    -5.9, ,     5.5, ,    -7.8, ,     3.0, ,    17.2, ,     9.0, 
 1945,    -7.3, ,    -6.8, ,    -0.3, ,     5.6, ,     8.7, ,    13.7, ,    18.4, ,    18.6, ,    14.7, ,     8.2, ,     2.3, ,    -4.9, ,     5.9, ,    -6.7, ,     4.7, ,    16.9, ,     8.4, 
 1946,    -7.8, ,    -8.2, ,     0.5, ,     2.3, ,     9.7, ,    14.5, ,    17.1, ,    17.2, ,    15.4, ,     9.3, ,     1.9, ,    -4.9, ,     5.6, ,    -7.0, ,     4.2, ,    16.3, ,     8.9, 
 1947,    -7.5, ,    -5.2, ,    -1.9, ,     2.1, ,     9.9, ,    13.4, ,    20.1, ,    18.4, ,    13.8, ,     9.9, ,     2.5, ,    -6.2, ,     5.8, ,    -5.9, ,     3.4, ,    17.3, ,     8.7, 
 1948,    -8.7, ,   -10.3, ,    -5.2, ,     2.3, ,     9.8, ,    13.6, ,    17.6, ,    17.8, ,    14.0, ,     8.8, ,     4.4, ,    -2.7, ,     5.1, ,    -8.4, ,     2.3, ,    16.3, ,     9.1, 
 1949,    -5.8, ,    -6.9, ,    -1.7, ,     5.0, ,     8.8, ,    14.9, ,    18.9, ,    18.0, ,    13.7, ,     9.4, ,     1.2, ,    -1.7, ,     6.2, ,    -5.1, ,     4.0, ,    17.3, ,     8.1, 
 1950,    -5.5, ,    -9.8, ,    -4.1, ,     3.9, ,    10.2, ,    14.5, ,    17.5, ,    17.1, ,    11.6, ,     7.6, ,     5.1, ,    -1.3, ,     5.6, ,    -5.7, ,     3.3, ,    16.4, ,     8.1, 
 1951,    -5.1, ,    -3.8, ,    -0.6, ,     5.5, ,     9.7, ,    14.0, ,    18.5, ,    17.6, ,    14.4, ,     9.1, ,     2.8, ,    -4.8, ,     6.4, ,    -3.4, ,     4.9, ,    16.7, ,     8.8, 
 1952,    -6.0, ,    -4.5, ,    -1.7, ,     5.0, ,     8.8, ,    15.2, ,    20.0, ,    18.9, ,    14.3, ,     8.3, ,     2.0, ,    -3.0, ,     6.4, ,    -5.1, ,     4.0, ,    18.0, ,     8.2, 
 1953,    -3.6, ,    -3.9, ,    -0.8, ,     5.8, ,     9.7, ,    15.4, ,    18.5, ,    16.9, ,    15.0, ,     8.6, ,     5.2, ,     0.0, ,     7.2, ,    -3.5, ,     4.9, ,    16.9, ,     9.6, 
 1954,    -7.1, ,    -2.5, ,    -1.3, ,     4.0, ,     9.2, ,    15.6, ,    17.5, ,    16.5, ,    13.2, ,     9.2, ,     3.3, ,    -1.2, ,     6.4, ,    -3.2, ,     4.0, ,    16.5, ,     8.6, 
 1955,    -5.1, ,    -4.7, ,    -2.6, ,     3.8, ,     9.0, ,    14.3, ,    18.7, ,    18.1, ,    12.9, ,     8.0, ,     1.7, ,    -7.3, ,     5.6, ,    -3.7, ,     3.4, ,    17.0, ,     7.5, 
 1956,    -2.0, ,    -6.4, ,    -4.9, ,     2.8, ,     7.2, ,    14.3, ,    16.3, ,    16.1, ,    11.8, ,     8.6, ,     3.2, ,    -4.1, ,     5.2, ,    -5.2, ,     1.7, ,    15.6, ,     7.9, 
 1957,   -11.7, ,    -5.7, ,    -1.8, ,     3.7, ,     9.7, ,    15.2, ,    17.1, ,    16.7, ,    14.4, ,     9.0, ,     4.1, ,     0.0, ,     5.9, ,    -7.2, ,     3.9, ,    16.3, ,     9.2, 
 1958,    -2.7, ,    -6.0, ,    -0.1, ,     5.6, ,     9.7, ,    13.3, ,    17.8, ,    17.7, ,    13.2, ,     7.1, ,     2.0, ,    -9.7, ,     5.7, ,    -2.9, ,     5.1, ,    16.3, ,     7.4, 
 1959,    -7.1, ,    -9.9, ,    -2.6, ,     4.8, ,     9.9, ,    13.2, ,    18.8, ,    17.8, , -9999.9,M, -9999.9,M,     4.2, ,    -2.2, , -9999.9,M,    -8.9, ,     4.0, ,    16.6, , -9999.9,M
 1960,    -6.2, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    15.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1961,   -10.1, ,    -7.5, ,    -3.9, ,     1.7, ,     9.4, ,    14.9, ,    17.5, ,    18.0, ,    16.3, ,    10.3, ,     4.4, ,    -1.9, ,     5.8, , -9999.9,M,     2.4, ,    16.8, ,    10.3, 
 1962,    -7.6, ,   -10.7, ,    -1.3, ,     3.8, , -9999.9,M,    14.2, ,    14.7, , -9999.9,M,    12.4, ,     8.6, ,     3.3, , -9999.9,M, -9999.9,M,    -6.7, , -9999.9,M, -9999.9,M,     8.1, 
 1963,    -4.5, , -9999.9,M, -9999.9,M, -9999.9,M,     8.9, ,    14.3, ,    18.9, ,    16.3, ,    11.8, ,    10.2, ,     4.3, ,    -8.9, , -9999.9,M, -9999.9,M, -9999.9,M,    16.5, ,     8.8, 
 1964,    -7.4, ,    -6.4, ,    -2.8, ,     3.3, ,     9.8, ,    14.0, , -9999.9,M, -9999.9,M,    11.8, ,     7.9, ,     1.6, ,    -3.7, , -9999.9,M,    -7.6, ,     3.4, , -9999.9,M,     7.1, 
 1965,    -9.1, ,    -9.0, ,    -3.1, ,     2.7, , -9999.9,M,    14.0, ,    17.3, ,    16.4, ,    12.5, ,     7.0, ,     0.1, ,    -5.6, , -9999.9,M,    -7.3, , -9999.9,M,    15.9, ,     6.5, 
 1966,    -5.0, ,    -6.2, ,     0.4, , -9999.9,M,     8.7, ,    14.1, , -9999.9,M, -9999.9,M,    12.6, ,     8.1, ,     3.7, , -9999.9,M, -9999.9,M,    -5.6, , -9999.9,M, -9999.9,M,     8.1, 
 1967,    -5.7, ,   -10.0, ,    -5.9, ,     0.1, ,     6.7, , -9999.9,M, -9999.9,M,    18.4, ,    14.5, ,     9.6, ,     3.0, ,    -4.2, , -9999.9,M, -9999.9,M,     0.3, , -9999.9,M,     9.0, 
 1968,   -10.1, ,    -9.2, ,    -1.2, ,     4.8, ,     8.7, ,    13.2, ,    18.1, ,    16.3, ,    15.4, ,    10.2, ,     1.3, ,    -2.9, ,     5.4, ,    -7.8, ,     4.1, ,    15.9, ,     9.0, 
 1969,    -4.5, ,    -3.5, ,    -2.0, ,     2.9, ,     8.6, ,    15.8, ,    17.1, ,    17.3, ,    14.0, ,     7.4, ,     4.6, ,    -0.9, ,     6.4, ,    -3.6, ,     3.2, ,    16.7, ,     8.7, 
 1970,   -10.5, ,    -5.8, ,    -1.6, ,     3.2, ,     9.9, ,    14.3, ,    18.3, ,    18.2, ,    12.8, ,     9.6, ,     3.2, ,    -8.3, ,     5.3, ,    -5.7, ,     3.8, ,    16.9, ,     8.5, 
 1971,    -9.6, ,    -5.8, ,    -1.1, ,     4.2, ,    11.0, ,    13.6, ,    17.7, ,    17.4, ,    14.4, ,     9.7, ,     1.8, ,    -6.1, ,     5.6, ,    -7.9, ,     4.7, ,    16.2, ,     8.6, 
 1972,    -6.7, ,    -8.6, ,    -4.9, ,     1.1, ,     9.0, ,    15.7, ,    17.4, ,    17.2, ,    14.2, ,     6.6, ,     0.7, ,    -6.6, ,     4.6, ,    -7.1, ,     1.7, ,    16.8, ,     7.2, 
 1973,    -6.8, ,    -7.2, ,     0.3, ,     3.9, ,     8.8, ,    16.2, , -9999.9,M, -9999.9,M,    13.0, ,     8.1, ,     1.2, ,     0.5, , -9999.9,M,    -6.9, ,     4.3, , -9999.9,M,     7.4, 
 1974,    -7.8, ,    -7.3, ,    -2.2, ,     3.5, ,     7.2, ,    15.3, ,    17.2, ,    17.7, ,    13.5, ,     5.7, ,     2.9, ,    -2.3, ,     5.3, ,    -4.9, ,     2.8, ,    16.7, ,     7.4, 
 1975,    -6.9, ,    -8.2, ,    -2.8, ,     2.0, ,     9.5, ,    14.9, ,    18.9, , -9999.9,M,    14.2, ,     8.2, ,     4.5, ,    -5.2, , -9999.9,M,    -5.8, ,     2.9, , -9999.9,M,     9.0, 
 1976,    -8.4, ,    -4.6, ,    -1.9, ,     4.7, ,    10.5, ,    15.8, ,    17.5, , -9999.9,M,    14.0, ,     7.5, ,     1.2, ,    -6.8, , -9999.9,M,    -6.1, ,     4.4, , -9999.9,M,     7.6, 
 1977,    -8.8, ,    -6.1, ,     0.3, ,     3.2, ,     9.5, ,    14.3, ,    18.2, ,    18.0, ,    12.9, ,     9.1, ,     4.2, ,    -3.4, ,     6.0, ,    -7.2, ,     4.3, ,    16.8, ,     8.7, 
 1978,    -6.5, ,    -7.5, ,    -2.9, ,     2.7, ,    10.4, ,    14.6, ,    17.7, ,    18.2, ,    11.3, ,     7.6, ,     0.4, ,    -4.7, ,     5.1, ,    -5.8, ,     3.4, ,    16.8, ,     6.4, 
 1979,    -4.9, ,    -8.9, ,     0.3, ,     4.2, ,    12.0, ,    15.0, ,    18.4, ,    16.7, ,    13.6, ,     8.5, ,     5.1, ,    -3.6, ,     6.4, ,    -6.2, ,     5.5, ,    16.7, ,     9.1, 
 1980,    -6.9, ,    -7.9, ,    -3.6,E,     5.0, ,     8.7, ,    13.6, ,    17.2, ,    18.0, ,    12.4, ,     7.2, ,     1.5, ,    -7.4, ,     4.8,E,    -6.1, ,     3.4,E,    16.3, ,     7.0, 
 1981,   -10.1, ,    -1.5, ,    -0.2, ,     4.5, ,    10.5, ,    14.2, ,    17.5, ,    17.2, ,    13.5, ,     7.9, ,     2.8, ,    -0.6, ,     6.3, ,    -6.3, ,     4.9, ,    16.3, ,     8.1, 
 1982,   -10.2, ,    -7.5, ,    -2.6, ,     2.8, ,     8.6, ,    13.5, ,    17.7, ,    15.7, ,    13.9, ,     7.8, ,     3.7, ,    -2.5, ,     5.1, ,    -6.1, ,     2.9, ,    15.6, ,     8.5, 
 1983,    -5.5, ,    -6.3, ,    -1.1, ,     4.9, ,     9.3, ,    14.5, ,    16.9, ,    16.9, ,    14.9, ,     8.1, ,     3.0, ,    -4.8, ,     5.9, ,    -4.8, ,     4.4, ,    16.1, ,     8.7, 
 1984,    -8.6, ,    -3.6, ,    -4.5, ,     1.9, ,     8.8, ,    13.0, ,    17.3, ,    18.5, ,    11.7, ,     7.1, ,     2.5, ,    -3.3, ,     5.1, ,    -5.7, ,     2.1, ,    16.3, ,     7.1, 
 1985,   -10.9, ,    -6.9, ,    -3.5, ,     1.7, ,     7.8, ,    12.5, ,    16.7, ,    16.5, ,    14.0, ,     8.6, ,     1.5, ,    -6.6, ,     4.3, ,    -7.0, ,     2.0, ,    15.2, ,     8.0, 
 1986,    -5.5, ,    -7.1, ,    -2.4, ,     4.8, ,     9.7, ,    13.3, ,    16.2, ,    16.7, ,    11.7, ,     7.2, ,     0.1, ,    -4.3, ,     5.0, ,    -6.4, ,     4.0, ,    15.4, ,     6.3, 
 1987,    -7.5, ,    -7.8, ,    -3.0, ,     5.2, ,     9.4, ,    14.2, ,    18.0, ,    17.1, ,    14.0, ,     9.0, ,     1.4, ,    -4.5, ,     5.5, ,    -6.5, ,     3.9, ,    16.4, ,     8.1, 
 1988,    -7.1, ,    -6.6, ,    -1.6, ,     2.6, ,     9.9, ,    12.6, ,    17.7, ,    17.4, ,    12.5, ,     7.0, ,     3.6, ,    -5.7, ,     5.2, ,    -6.1, ,     3.6, ,    15.9, ,     7.7, 
 1989,    -6.6, ,    -8.3, ,    -4.4, ,     3.4, ,    12.2, ,    14.6, ,    16.6, ,    17.4, ,    13.6, ,     7.6, ,     0.4, ,   -12.0, ,     4.5, ,    -6.9, ,     3.7, ,    16.2, ,     7.2, 
 1990,    -5.0, ,    -8.1, ,    -2.5, ,     3.1, ,     7.3, ,    14.4, ,    17.7, ,    18.9, ,    12.7, ,     9.3, ,     2.0, ,    -2.2, ,     5.6, ,    -8.4, ,     2.6, ,    17.0, ,     8.0, 
 1991,   -10.0, ,    -6.3, ,    -1.1, ,     2.9, ,     9.6, ,    13.7, ,    17.6, ,    17.2, ,    12.2, ,     9.0, ,     3.6, ,    -5.7, ,     5.2, ,    -6.2, ,     3.8, ,    16.2, ,     8.3, 
 1992,    -8.1, ,    -8.4, ,    -4.8, ,     1.4, ,     8.8, ,    14.1, ,    15.6, ,    17.6, ,    14.5, ,     8.0, ,     1.1, ,    -3.6, ,     4.7, ,    -7.4, ,     1.8, ,    15.8, ,     7.9, 
 1993,    -8.1, ,   -10.8, ,    -3.3, ,     3.8, ,     9.0, ,    13.3, ,    16.8, ,    18.2, ,    14.0, ,     6.2, ,     2.3, ,    -3.1, ,     4.9, ,    -7.5, ,     3.2, ,    16.1, ,     7.5, 
 1994,   -11.5, ,    -9.0, ,    -1.8, ,     4.9, ,     8.5, ,    15.5, ,    19.5, ,    17.9, ,    13.7, ,     9.4, ,     4.4, ,    -3.7, ,     5.7, ,    -7.9, ,     3.9, ,    17.6, ,     9.2, 
 1995,    -5.3, ,    -8.4, ,    -2.3, ,     2.8, ,     8.4, ,    14.5, ,    18.4, ,    17.2, ,    12.9, ,    10.9, ,     2.3, ,    -4.9, ,     5.5, ,    -5.8, ,     3.0, ,    16.7, ,     8.7, 
 1996,    -7.1, ,    -5.5, ,    -2.4, ,     4.7, ,     8.6, ,    14.9, ,    16.8, ,    17.7, ,    14.2, ,     7.1, ,     2.0, ,    -0.3, ,     5.9, ,    -5.8, ,     3.6, ,    16.5, ,     7.8, 
 1997,    -7.2, ,    -6.6, ,    -4.3, ,     2.0, ,     8.6, ,    13.8, ,    18.1, ,    17.6, ,    14.4, ,     6.5, ,     1.3, ,    -3.9, ,     5.0, ,    -4.7, ,     2.1, ,    16.5, ,     7.4, 
 1998,    -5.1, ,    -3.8, ,    -0.5, ,     4.7, ,    12.2, ,    14.3, ,    18.7, ,    18.1, ,    14.4, ,     8.5, ,     2.2, ,    -1.9, ,     6.8, ,    -4.3, ,     5.5, ,    17.0, ,     8.4, 
