8104700,ST_GEORGE           ,NB  , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
8104700,ST_GEORGE           ,NB  , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1919, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    16.0, ,    13.5, ,    11.5, , -9999.9,M, -9999.9,M,    -9.6, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1920,   -15.3, , -9999.9,M,    -1.0, ,     3.3, ,     8.7, ,    13.5, ,    16.6, ,    17.4, , -9999.9,M,     9.6, ,    -0.2, ,    -4.3, , -9999.9,M, -9999.9,M,     3.7, ,    15.8, , -9999.9,M
 1921,    -7.0, ,    -6.7, ,     1.2, ,     6.5, ,    10.5, ,    14.4, ,    17.8, ,    15.6, ,    14.4, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -6.0, ,     6.1, ,    15.9, , -9999.9,M
 1922, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    16.8, ,    12.4, ,     7.6, ,     0.8, ,    -7.5, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     6.9, 
 1923,   -10.8, ,   -14.5, ,    -7.0, ,     1.6, ,     8.4, , -9999.9,M,    15.6, ,    14.7, ,    12.7, ,     7.7, ,     3.7, ,    -1.4, , -9999.9,M,   -10.9, ,     1.0, , -9999.9,M,     8.0, 
 1924,    -7.0, ,   -10.1, ,    -1.1, ,     2.3, ,     8.4, ,    13.3, ,    16.3, ,    15.9, ,    11.5, ,     7.6, ,     2.1, ,    -7.0, ,     4.4, ,    -6.2, ,     3.2, ,    15.2, ,     7.1, 
 1925,   -10.3, ,    -3.8, ,    -0.3, ,     3.7, ,     7.1, ,    13.6, ,    15.6, ,    15.7, ,    11.2, ,     4.5, ,     0.1, ,    -6.3, ,     4.2, ,    -7.0, ,     3.5, ,    15.0, ,     5.3, 
 1926,    -9.7, ,    -9.8, ,    -6.7, ,     0.5, ,     7.8, ,    11.7, ,    16.0, ,    15.0, ,    10.9, ,     6.6, ,     2.0, ,    -7.9, ,     3.0, ,    -8.6, ,     0.5, ,    14.2, ,     6.5, 
 1927,    -6.5, ,    -9.2, ,    -1.2, ,     2.6, ,     7.8, ,    12.2, ,    16.8, ,    15.4, ,    12.9, ,     9.4, ,     3.5, ,    -2.9, ,     5.1, ,    -7.9, ,     3.1, ,    14.8, ,     8.6, 
 1928,    -6.9, ,    -8.6, ,    -2.3, ,     3.4, ,     9.7, ,    13.0, ,    17.0, ,    17.2, ,    12.0, ,     7.3, ,     1.2, ,    -2.2, ,     5.1, ,    -6.1, ,     3.6, ,    15.7, ,     6.8, 
