8104928,ST_LEONARD          ,NB  , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
8104928,ST_LEONARD          ,NB  , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1985, -9999.9,M, -9999.9,M, -9999.9,M,     0.5, ,     8.6, ,    13.9, ,    18.2, ,    15.9, ,    12.6, ,     5.4, ,    -3.0, ,   -11.7, , -9999.9,M, -9999.9,M, -9999.9,M,    16.0, ,     5.0, 
 1986,   -12.1, ,   -11.4, ,    -5.6, ,     4.8, ,    10.2, ,    12.7, ,    16.2, ,    15.1, ,     9.2, ,     4.2, ,    -4.5, ,    -9.4, ,     2.5, ,   -11.7, ,     3.1, ,    14.7, ,     3.0, 
 1987,   -12.5, ,   -11.7, ,    -2.6, ,     5.9, ,     9.8, ,    14.9, ,    17.9, ,    15.3, ,    11.5, ,     5.9, ,    -2.4, ,    -8.1, ,     3.7, ,   -11.2, ,     4.4, ,    16.0, ,     5.0, 
 1988,   -11.8, ,   -11.6, ,    -5.6, ,     3.2, ,    11.5, ,    13.8, ,    18.9, ,    17.0, ,    10.5, ,     4.0, ,     0.2, ,   -11.4, ,     3.2, ,   -10.5, ,     3.0, ,    16.6, ,     4.9, 
 1989,   -12.3, ,   -13.1, ,    -7.9, ,     1.8, ,    12.9, ,    14.9, ,    17.2, ,    16.7, ,    12.0, ,     6.1, ,    -3.4, ,   -16.6, ,     2.4, ,   -12.3, ,     2.3, ,    16.3, ,     4.9, 
 1990,    -9.2, ,   -12.7, ,    -5.3, ,     3.3, ,     8.5, ,    16.4, ,    18.0, ,    18.3, ,    10.8, ,     5.8, ,    -1.7, ,    -7.7, ,     3.7, ,   -12.8, ,     2.2, ,    17.6, ,     5.0, 
 1991,   -15.5, ,   -11.1, ,    -3.9, ,     2.9, ,    10.0, ,    14.9, ,    17.6, ,    17.2, ,     9.8, ,     6.1, ,    -1.0, ,   -11.4, ,     3.0, ,   -11.4, ,     3.0, ,    16.6, ,     5.0, 
 1992,   -13.3, ,   -12.9, ,    -7.5, ,     1.3, ,    10.9, ,    14.8, ,    14.7, ,    16.7, ,    12.1, ,     4.2, ,    -2.4, ,    -7.8, ,     2.6, ,   -12.5, ,     1.6, ,    15.4, ,     4.6, 
 1993,   -14.1, ,   -16.4, ,    -5.8, ,     3.7, ,     9.7, ,    14.5, ,    17.3, ,    17.9, ,    11.5, ,     3.2, ,    -2.5, ,    -7.7, ,     2.6, ,   -12.8, ,     2.5, ,    16.6, ,     4.1, 
 1994,   -18.8, ,   -14.2, ,    -4.2, ,     1.7, ,     8.3, ,    16.7, ,    19.2, ,    15.5, ,    11.0, ,     6.9, ,    -0.1, ,    -7.4, ,     2.9, ,   -13.6, ,     1.9, ,    17.1, ,     5.9, 
 1995,   -10.1, ,   -13.6, ,    -4.3, ,     0.2, ,     9.3, ,    16.0, ,    19.4, ,    17.3, ,    10.0, ,     7.9, ,    -3.1, ,   -10.6, ,     3.2, ,   -10.4, ,     1.7, ,    17.6, ,     4.9, 
 1996,   -12.5, ,   -11.2, ,    -5.5, ,     3.0, ,     8.3, ,    15.8, ,    17.7, ,    16.9, ,    11.8, ,     5.1, ,    -2.4, ,    -3.7, ,     3.6, ,   -11.4, ,     1.9, ,    16.8, ,     4.8, 
