830P001,HARRINGTON_CDA_RCS  ,PEI , station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
830P001,HARRINGTON_CDA_RCS  ,PEI , station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 2000, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    17.7, ,    18.3, ,    14.0, ,     9.2, ,     3.6, ,    -5.0, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     8.9, 
 2001,    -7.5, , -9999.9,M,    -2.6, ,     1.3, ,    10.5, ,    16.3, ,    18.2, ,    20.2, ,    16.2, ,    10.8, ,     3.9, , -9999.9,M, -9999.9,M, -9999.9,M,     3.1, ,    18.2, ,    10.3, 
 2002, -9999.9,M,    -6.2, ,    -2.3, ,     2.9, ,     9.7, ,    13.1, ,    18.0, ,    19.2, ,    14.8, ,     7.3, ,     1.8, ,    -3.6, , -9999.9,M, -9999.9,M,     3.4, ,    16.8, ,     8.0, 
 2003,    -9.7, , -9999.9,M,    -4.3, ,     1.9, ,     8.0, ,    15.5, ,    19.7, ,    18.5, ,    16.7, ,     9.8, ,     3.7, ,    -1.6, , -9999.9,M, -9999.9,M,     1.9, ,    17.9, ,    10.1, 
 2004,   -11.4, ,    -7.4, ,    -3.4, ,     2.9, ,     9.0, ,    13.0, ,    18.6, ,    19.2, ,    13.7, ,     9.8, ,     2.5, ,    -3.1, ,     5.3, ,    -6.8, ,     2.8, ,    16.9, ,     8.7, 
 2005,    -9.7, ,    -6.8, ,    -3.3, ,     4.5, ,     7.3, ,    14.9, ,    18.0, ,    18.9, , -9999.9,M, -9999.9,M,     4.7, ,    -2.1, , -9999.9,M,    -6.5, ,     2.8, ,    17.3, , -9999.9,M
 2006,    -2.2, ,    -5.7, ,    -1.1, ,     4.5, ,    11.7, ,    17.4, ,    20.3, , -9999.9,M,    14.5, ,     8.7, ,     5.3, ,    -1.7, , -9999.9,M,    -3.3, ,     5.0, , -9999.9,M,     9.5, 
 2007,    -5.8, ,    -9.4, ,    -2.7, ,     1.4, ,     8.0, ,    13.7, ,    18.9, ,    17.7, ,    14.1, ,    10.0, ,     3.2, ,    -5.6,E,     5.3,E,    -5.6, ,     2.2, ,    16.8, ,     9.1, 
 2008,    -5.7, ,    -6.1, ,    -5.0, ,     3.6, ,     8.2, ,    14.4, ,    19.5, ,    17.2, ,    14.3, ,     8.7, ,     4.1, ,    -1.8, ,     6.0, ,    -5.8,E,     2.3, ,    17.0, ,     9.0, 
 2009,    -9.9, ,    -5.4, ,    -3.5, ,     3.9, , -9999.9,M,    15.5, ,    18.4, ,    19.4, , -9999.9,M,     6.8, ,     5.2, ,    -3.0, , -9999.9,M,    -5.7, , -9999.9,M,    17.8, , -9999.9,M
 2010,    -4.2, ,    -3.9, ,    -0.1, ,     5.6, ,     9.0, ,    14.2,E,    19.8, ,    18.9, ,    15.3, ,     8.7, ,     3.4, ,     1.4, ,     7.3,E,    -3.7, ,     4.8, ,    17.6,E,     9.1, 
 2011,    -5.9, ,    -7.1, ,    -2.3, ,     4.0, ,     9.5, ,    12.9, ,    18.0, ,    18.7, ,    15.6, ,     9.8, ,     4.6, ,    -0.5, ,     6.4, ,    -3.9, ,     3.7, ,    16.5, ,    10.0, 
 2012,    -5.3, ,    -6.3, ,    -0.4, ,     5.3, ,    10.8, ,    14.3, ,    19.4, ,    20.7, ,    15.7, ,    10.3, ,     3.4, ,    -1.0, ,     7.2, ,    -4.0, ,     5.2, ,    18.1, ,     9.8, 
