8400698,BUCHANS             ,NFLD, station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
8400698,BUCHANS             ,NFLD, station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1943, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     1.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1944,    -9.4, ,   -10.0, ,    -6.6, ,    -2.1, ,     4.4, ,    11.7, ,    15.2, ,    16.5, ,    12.7, ,     5.4, ,     1.9, ,    -4.7, ,     2.9, , -9999.9,M,    -1.4, ,    14.5, ,     6.7, 
 1945,    -5.8, ,   -11.1, ,    -7.1, ,    -0.3, ,     6.1, ,    10.0, ,    16.1, ,    16.5, ,    11.0, ,     5.5, ,    -0.4, ,    -5.6, ,     2.9, ,    -7.2, ,    -0.4, ,    14.2, ,     5.4, 
 1946,    -9.9, ,    -8.4, ,    -4.3, ,    -0.4, , -9999.9,M,    10.5, ,    14.8, ,    16.0, ,    12.5, ,     5.7, ,    -1.8, ,    -6.9, , -9999.9,M,    -8.0, , -9999.9,M,    13.8, ,     5.5, 
 1947,   -10.9, ,    -5.5, ,    -5.0, ,    -4.7, ,     3.6, ,    10.6, ,    19.0, ,    14.1, ,    10.2, ,     5.2, ,     0.0, ,    -6.3, ,     2.5, ,    -7.8, ,    -2.0, ,    14.6, ,     5.1, 
 1948,    -7.7, ,   -13.1, ,   -10.5, ,    -2.2, ,     6.1, ,    10.4, ,    14.8, , -9999.9,M,    10.4, ,     5.6, ,     0.5, ,    -6.3, , -9999.9,M,    -9.0, ,    -2.2, , -9999.9,M,     5.5, 
 1949,    -8.3, ,   -11.9, ,    -3.1, ,    -0.1, ,     4.7, ,    11.0, ,    15.4, ,    13.6, ,    10.4, ,     4.7, ,    -0.7, ,    -4.1, ,     2.6, ,    -8.8, ,     0.5, ,    13.3, ,     4.8, 
 1950,   -10.1, ,   -13.6, ,    -8.9, ,    -0.3, ,     7.1, ,    11.8, ,    15.0, ,    14.9, ,     9.3, ,     4.7, ,     1.8, ,    -2.6, ,     2.4, ,    -9.3, ,    -0.7, ,    13.9, ,     5.3, 
 1951,    -6.6, ,    -5.7, ,    -2.7, ,     3.9, ,     6.2, ,    12.2, ,    16.0, ,    15.7, ,    11.2, ,     5.1, ,     0.7, ,    -6.9, ,     4.1, ,    -5.0, ,     2.5, ,    14.6, ,     5.7, 
 1952,    -7.4, ,    -7.3, ,    -3.8, ,    -0.6, ,     6.0, ,    12.1, ,    17.6, ,    16.8, ,    11.3, ,     4.7, ,     0.4, ,    -4.7, ,     3.8, ,    -7.2, ,     0.5, ,    15.5, ,     5.5, 
 1953,    -6.4, ,    -6.2, ,    -5.4, ,     3.8, ,     5.4, ,    12.3, ,    16.2, ,    13.9, ,    11.7, ,     4.9, ,     1.5, ,    -5.0, ,     3.9, ,    -5.8, ,     1.3, ,    14.1, ,     6.0, 
 1954,    -9.6, ,    -5.0, ,    -4.9, ,    -2.1, ,     5.8, ,    13.3, ,    15.4, ,    13.2, ,    10.7, ,     4.4, ,     0.4, ,    -2.8, ,     3.2, ,    -6.5, ,    -0.4, ,    14.0, ,     5.2, 
 1955,    -3.6, ,    -6.5, ,    -5.3, ,    -1.8, ,     5.2, ,    12.1, ,    14.5, ,    14.5, ,    10.0, ,     5.6, ,     0.3, ,    -7.0, ,     3.2, ,    -4.3, ,    -0.6, ,    13.7, ,     5.3, 
 1956,    -2.3, ,    -8.3, ,    -8.9, ,     0.1, ,     3.1, ,    10.6, ,    14.6, ,    13.7, ,     9.5, ,     6.0, ,     1.7, ,    -8.0, ,     2.7, ,    -5.9, ,    -1.9, ,    13.0, ,     5.7, 
 1957,   -14.7, ,   -10.6, ,    -4.8, ,    -2.2, ,     3.5, ,     9.7, ,    14.9, ,    14.7, ,    10.5, ,     5.7, ,    -0.2, ,    -2.5, ,     2.0, ,   -11.1, ,    -1.2, ,    13.1, ,     5.3, 
 1958,    -3.3, ,    -4.3, ,    -2.4, ,     2.3, ,     7.8, ,     9.8, ,    14.1, ,    14.9, ,    10.1, ,     4.1, ,    -0.2, ,    -9.2, ,     3.6, ,    -3.4, ,     2.6, ,    12.9, ,     4.7, 
 1959,    -8.2, ,   -14.0, ,    -9.5, ,     0.4, ,     5.6, ,    10.0, ,    17.2, ,    14.6, ,    10.6, ,     4.2, ,     0.7, ,    -4.4, ,     2.3, ,   -10.5, ,    -1.2, ,    13.9, ,     5.2, 
 1960,    -6.8, ,    -3.2, ,    -6.5, ,    -1.1, ,     7.8, ,    12.6, ,    15.6, ,    15.9, ,    11.3, ,     5.3, ,     0.2, ,    -5.1, ,     3.8, ,    -4.8, ,     0.1, ,    14.7, ,     5.6, 
 1961,   -11.4, ,   -15.2, ,    -7.6, ,    -0.8, ,     5.4, ,    12.4, ,    15.2, ,    15.3, ,    12.4, ,     6.5, ,     2.8, ,    -3.6, ,     2.6, ,   -10.6, ,    -1.0, ,    14.3, ,     7.2, 
 1962,    -9.6, ,   -12.0, ,    -2.4, ,    -1.7, ,     4.2, ,    10.4, ,    12.6, ,    14.4, ,     9.0, ,     4.4, ,     1.5, ,    -6.9, ,     2.0, ,    -8.4, ,     0.0, ,    12.5, ,     5.0, 
 1963,    -5.5, ,   -10.6, ,    -7.9, ,    -1.4, ,     6.0, ,     8.5, ,    15.0, ,    13.2, ,     9.7, ,     5.9, ,     1.1, ,    -6.4, ,     2.3, ,    -7.7, ,    -1.1, ,    12.2, ,     5.6, 
