8403851,TERRA_NOVA_NAT_PARK_,NFLD, station not joined, Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2019
8403851,TERRA_NOVA_NAT_PARK_,NFLD, station non jointe, Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2019
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1962, -9999.9,M, -9999.9,M,    -1.2,a,     1.1,a,     4.5,a, -9999.9,M,    12.8,a,    15.5,a,    10.5,a,     6.4,a, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     1.5,a, -9999.9,M, -9999.9,M
 1963, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
 1964, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     4.5,a,     8.9,a,    14.4,a,    12.9,a,    10.7,a,     6.2,a,     0.7,a,    -4.0,a, -9999.9,M, -9999.9,M, -9999.9,M,    12.1,a,     5.9,a
 1965,    -5.0,a, -9999.9,M,    -2.4,a,     0.6,a,     4.6,a,    11.0,a,    16.9,a,    16.0,a,    11.2,a,     5.8,a,     0.4,a,    -3.8,a, -9999.9,M, -9999.9,M,     0.9,a,    14.6,a,     5.8,a
 1966,    -4.4,a,    -5.5,a,    -1.1,a,     1.0,a,     6.8,a,    12.4,a,    17.1,a,    15.1,a,    11.0,a,     7.5,a,     5.1,a,    -0.4,a,     5.4,a,    -4.6,a,     2.2,a,    14.9,a,     7.9,a
 1967,    -5.6,a,    -7.4,a,    -5.7,a,    -2.2,a,     5.6,a,    13.3,a,    18.5,a,    18.7,a,    12.8,a,     8.5,a, -9999.9,M,    -1.3,a, -9999.9,M,    -4.5,a,    -0.8,a,    16.8,a, -9999.9,M
 1968, -9999.9,M,    -5.6,a,    -1.7,a,     2.2,a,     5.3,a,     8.8,a,    15.2,a,    11.9,a,    12.4,a,     7.3,a,     0.5,a,    -1.8,a, -9999.9,M, -9999.9,M,     1.9,a,    12.0,a,     6.7,a
 1969,    -2.9,a,    -2.1,a,    -1.2,a,     0.8,a,     6.5,a,    13.1,a,    14.6,a,    15.7,a,    10.7,a,     4.8,a,     3.7,a,     2.2,a,     5.5,a,    -2.3,a,     2.0,a,    14.5,a,     6.4,a
 1970, -9999.9,M, -9999.9,M,    -0.4,a,     1.2,a,     7.8,a,    12.4,a,    16.2,a,    16.8,a,    10.4,a,     7.2,a,     4.2,a, -9999.9,M, -9999.9,M, -9999.9,M,     2.9,a,    15.1,a,     7.3,a
 1971, -9999.9,M,    -7.3,a,    -0.9,a,     4.4,a,    10.0,a,    11.5,a,    15.7,a,    17.3,a,    11.7,a,     6.2,a,     4.1,a, -9999.9,M, -9999.9,M, -9999.9,M,     4.5,a,    14.8,a,     7.3,a
 1972, -9999.9,M,    -9.7,a,    -3.8,a,     0.2,a,     5.5,a,    13.3,a,    15.0,a,    15.4,a,    11.4,a,     6.3,a,    -1.0,a,    -8.6,a, -9999.9,M, -9999.9,M,     0.6,a,    14.6,a,     5.6,a
