6078286,TIMMINS        ,ON, station joined    , Monthly mean of homogenized daily mean temperature                     , Deg Celcius,          Updated to December 2017
6078286,TIMMINS        ,ON, station jointe    , Moyenne mensuelle des temperatures quotidiennes moyennes homogeneisees , Deg Celsius, Mise a jour jusqu a decembre 2017
 Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Annee,    Janv, ,     Fev, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Aout, ,    Sept, ,     Oct, ,     Nov, ,     Dec, ,  Annuel, ,   Hiver, ,Printemp, ,     Ete, , Automne
 1955, -9999.9,M, -9999.9,M, -9999.9,M,     5.7, ,    10.9, ,    17.9, ,    20.2, ,    17.7, ,    10.6, ,     6.3, ,    -4.2, ,   -15.0, , -9999.9,M, -9999.9,M, -9999.9,M,    18.6, ,     4.2, 
 1956,   -14.8, ,   -11.9, ,   -11.4, ,    -0.6, ,     4.8, ,    15.2, ,    15.3, ,    14.8, ,     8.0, ,     7.9, ,    -2.6, ,   -14.9, ,     0.8, ,   -13.9, ,    -2.4, ,    15.1, ,     4.4, 
 1957,   -21.8, ,   -11.9, ,    -7.1, ,     1.3, ,     8.4, ,    15.0, ,    17.3, ,    14.9, ,    10.2, ,     5.0, ,    -2.9, ,   -10.6, ,     1.5, ,   -16.2, ,     0.9, ,    15.7, ,     4.1, 
 1958,   -13.8, ,   -17.2, ,    -3.5, ,     3.5, ,     6.2, ,    12.0, ,    16.7, ,    14.9, ,    11.6, ,     4.8, ,    -1.9, ,   -17.5, ,     1.3, ,   -13.9, ,     2.1, ,    14.5, ,     4.8, 
 1959,   -17.6, ,   -17.0, ,    -8.9, ,     0.0, ,    10.3, ,    15.8, ,    19.1, ,    17.1, ,    12.6, ,     2.0, ,    -8.6, ,   -11.3, ,     1.1, ,   -17.4, ,     0.5, ,    17.3, ,     2.0, 
 1960,   -14.1, ,   -13.8, ,   -13.7, ,     0.7, ,    11.0, ,    14.5, ,    16.1, ,    16.9, ,    10.9, ,     4.8, ,    -1.1, ,   -15.0, ,     1.4, ,   -13.1, ,    -0.7, ,    15.8, ,     4.9, 
 1961,   -19.4, ,   -12.3, ,    -6.7, ,     1.6, ,     6.5, ,    12.9, ,    17.6, ,    15.5, ,    13.0, ,     5.3, ,    -1.8, ,   -11.5, ,     1.7, ,   -15.6, ,     0.5, ,    15.3, ,     5.5, 
 1962,   -20.2, ,   -19.5, ,    -5.6, ,    -0.1, ,    11.7, ,    14.3, ,    16.4, ,    14.9, ,     9.6, ,     5.8, ,    -2.6, ,   -13.5, ,     0.9, ,   -17.1, ,     2.0, ,    15.2, ,     4.3, 
 1963,   -20.0, ,   -18.5, ,    -9.4, ,     1.0, ,     7.9, ,    16.1, ,    18.6, ,    14.1, ,     9.3, ,     9.3, ,    -0.1, ,   -16.7, ,     1.0, ,   -17.3, ,    -0.2, ,    16.3, ,     6.2, 
 1964,   -12.1, ,   -13.2, ,   -11.3, ,     1.2, ,    11.7, ,    13.3, ,    18.2, ,    13.4, ,     9.9, ,     3.8, ,    -4.2, ,   -16.2, ,     1.2, ,   -14.0, ,     0.5, ,    15.0, ,     3.2, 
 1965,   -19.0, ,   -17.0, ,   -10.2, ,     0.1, ,    10.6, ,    14.2, ,    13.7, ,    13.0, ,     9.3, ,     3.6, ,    -4.6, ,    -8.7, ,     0.4, ,   -17.4, ,     0.2, ,    13.6, ,     2.8, 
 1966,   -18.6, ,   -11.6, ,    -7.2, ,     1.5, ,     6.0, ,    15.6, ,    17.7, ,    14.6, ,    10.1, ,     4.2, ,    -5.6, ,   -13.9, ,     1.1, ,   -13.0, ,     0.1, ,    16.0, ,     2.9, 
 1967,   -16.4, ,   -20.2, ,    -9.8, ,    -0.4, ,     6.1, ,    15.5, ,    16.8, ,    14.5, ,    11.6, ,     4.2, ,    -5.6, ,   -10.7, ,     0.5, ,   -16.8, ,    -1.4, ,    15.6, ,     3.4, 
 1968,   -17.8, ,   -17.9, ,    -5.7, ,     3.2, ,     9.4, ,    13.4, ,    15.9, ,    14.9, ,    13.8, ,     7.2, ,    -5.1, ,   -13.1, ,     1.5, ,   -15.5, ,     2.3, ,    14.7, ,     5.3, 
 1969,   -12.7, ,   -12.0, ,    -9.9, ,     0.5, ,     7.8, ,    12.6, ,    17.5, ,    18.3, ,     9.4, ,     2.6, ,    -3.1, ,   -12.2, ,     1.6, ,   -12.6, ,    -0.5, ,    16.1, ,     3.0, 
 1970,   -19.0, ,   -17.4, ,    -8.1, ,     0.9, ,     6.6, ,    14.8, ,    18.6, ,    17.1, ,    10.9, ,     7.8, ,    -3.0, ,   -15.4, ,     1.2, ,   -16.2, ,    -0.2, ,    16.8, ,     5.2, 
 1971,   -19.4, ,   -13.7, ,    -9.2, ,     0.7, ,     7.4, ,    16.0, ,    15.7, ,    15.4, ,    13.0, ,     8.7, ,    -4.3, ,   -11.7, ,     1.6, ,   -16.2, ,    -0.4, ,    15.7, ,     5.8, 
 1972,   -17.6, ,   -17.1, ,   -11.3, ,    -0.2, ,    10.5, ,    13.7, ,    16.4, ,    14.4, ,     9.5, ,     2.0, ,    -4.4, ,   -16.1, ,     0.0, ,   -15.5, ,    -0.3, ,    14.8, ,     2.4, 
 1973,   -13.5, ,   -17.1, ,    -1.9, ,     2.0, ,     7.9, ,    15.7, ,    17.9, ,    18.9, ,    10.5, ,     7.2, ,    -4.2, ,   -14.6, ,     2.4, ,   -15.6, ,     2.7, ,    17.5, ,     4.5, 
 1974,   -18.2, ,   -17.7, ,    -9.9, ,    -0.3, ,     6.7, ,    15.6, ,    18.0, ,    15.8, ,     7.8, ,     2.0, ,    -2.3, ,    -9.7, ,     0.7, ,   -16.8, ,    -1.2, ,    16.5, ,     2.5, 
 1975,   -14.8, ,   -12.7, ,   -10.3, ,    -1.7, ,    13.5, ,    16.7, ,    19.3, ,    16.7, ,     9.5, ,     5.2, ,    -2.8, ,   -15.7, ,     1.9, ,   -12.4, ,     0.5, ,    17.6, ,     4.0, 
 1976,   -20.6, ,   -13.5, ,    -9.4, ,     1.8, ,     7.8, ,    17.7, ,    16.9, ,    16.6, ,     9.3, ,     2.3, ,    -6.7, ,   -21.1, ,     0.1, ,   -16.6, ,     0.1, ,    17.1, ,     1.6, 
 1977,   -19.0, ,   -13.1, ,    -2.7, ,     2.3, ,    12.7, ,    13.1, ,    17.5, ,    14.0, ,    10.5, ,     4.3, ,    -2.0, ,   -13.7, ,     2.0, ,   -17.7, ,     4.1, ,    14.9, ,     4.3, 
 1978,   -18.5, ,   -16.2, ,   -11.2, ,    -1.6, ,    11.9, ,    12.2, ,    16.2, ,    15.2, ,     8.7, ,     3.2, ,    -6.0, ,   -15.0, ,    -0.1, ,   -16.1, ,    -0.3, ,    14.5, ,     2.0, 
 1979,   -18.2, ,   -20.0, ,    -6.8, ,     0.3, ,     9.1, ,    14.7, ,    17.2, ,    13.5, ,    10.2, , -9999.9,M,    -2.9,E,   -10.3, , -9999.9,M,   -17.7, ,     0.9, ,    15.1, , -9999.9,M
 1980,   -15.5, ,   -16.8, ,    -8.2, ,     2.7, ,    10.4, ,    11.9, ,    16.9, ,    17.3, ,     8.4, ,     1.0, ,    -4.8, ,   -18.8, ,     0.4, ,   -14.2, ,     1.6, ,    15.4, ,     1.5, 
 1981,   -16.7, ,    -9.1, ,    -5.0, ,     1.0, ,     8.0, ,    14.0, ,    18.8, ,    16.6, ,     9.0, ,     2.4, ,    -2.0, ,   -10.1, ,     2.2, ,   -14.9, ,     1.3, ,    16.5, ,     3.1, 
 1982,   -23.4, ,   -15.4, ,    -7.7, ,    -1.9, ,    12.7, ,    12.3, ,    16.9, ,    13.3, ,    10.5, ,     6.0, ,    -3.3, ,   -10.8, ,     0.8, ,   -16.3, ,     1.0, ,    14.2, ,     4.4, 
 1983,   -15.7, ,   -12.9, ,    -8.0, ,     0.0, ,     5.8, ,    15.3, ,    18.0, ,    17.1, ,    12.1, ,     4.4, ,    -3.2, ,   -18.2, ,     1.2, ,   -13.1, ,    -0.7, ,    16.8, ,     4.4, 
 1984,   -20.7, ,    -8.1, ,   -11.0, ,     5.5, ,     7.1, ,    14.5, ,    17.0, ,    17.2, ,     9.1, ,     5.8, ,    -2.7, ,   -12.7, ,     1.8, ,   -15.7, ,     0.5, ,    16.2, ,     4.1, 
 1985,   -18.4, ,   -14.7, ,    -7.5, ,     1.3, ,     8.7, ,    12.8, ,    15.6, ,    15.3, ,    11.5, ,     5.3, ,    -6.2, ,   -17.5, ,     0.5, ,   -15.3, ,     0.8, ,    14.6, ,     3.5, 
 1986,   -18.1, ,   -14.5, ,    -6.5, ,     4.0, ,    10.8, ,    12.1, ,    17.2, ,    14.2, ,     8.5, ,     3.2, ,    -7.0, ,    -8.9, ,     1.3, ,   -16.7, ,     2.8, ,    14.5, ,     1.6, 
 1987,   -12.9, ,   -13.2, ,    -5.0, ,     5.8, ,    10.1, ,    15.5, ,    17.5, ,    14.9, ,    11.8, ,     2.7, ,    -3.8, ,    -8.7, ,     2.9, ,   -11.7, ,     3.6, ,    16.0, ,     3.6, 
 1988,   -17.2, ,   -17.8, ,    -9.3, ,     1.7, ,    11.0, ,    13.8, ,    19.5, ,    16.4, ,    10.7, ,     2.7, ,    -1.5, ,   -15.2, ,     1.2, ,   -14.6, ,     1.1, ,    16.6, ,     4.0, 
 1989,   -14.8, ,   -17.1, ,   -10.8, ,    -0.1, ,    11.1, ,    13.8, ,    18.2, ,    15.1, ,    11.5, ,     5.4, ,    -8.1, ,   -21.6, ,     0.2, ,   -15.7, ,     0.1, ,    15.7, ,     2.9, 
 1990,   -11.8, ,   -14.0, ,    -5.7, ,     2.9, ,     8.0, ,    14.3, ,    17.4, ,    16.0, ,     9.4, ,     3.2, ,    -1.9, ,   -12.3, ,     2.1, ,   -15.8, ,     1.7, ,    15.9, ,     3.6, 
 1991,   -19.1, ,   -10.8, ,    -6.7, ,     3.9, ,    11.8, ,    16.3, ,    17.9, ,    16.8, ,     9.7, ,     4.0, ,    -3.2, ,   -12.7, ,     2.3, ,   -14.1, ,     3.0, ,    17.0, ,     3.5, 
 1992,   -16.8, ,   -14.8, ,   -10.4, ,     0.2, ,    10.0, ,    12.4, ,    14.5, ,    13.6, ,    10.7, ,     2.8, ,    -5.1, ,   -11.6, ,     0.5, ,   -14.8, ,    -0.1, ,    13.5, ,     2.8, 
 1993,   -15.5, ,   -18.0, ,    -7.1, ,     0.8, ,     9.2, ,    14.1, ,    18.0, ,    17.5, ,     8.2, ,     1.5, ,    -6.7, ,   -11.6, ,     0.9, ,   -15.0, ,     1.0, ,    16.5, ,     1.0, 
 1994,   -25.7, ,   -16.9, ,    -5.7, ,    -0.5, ,     8.1, ,    15.6, ,    17.5, ,    13.9, ,    11.5, ,     6.7, ,    -0.8, ,    -5.8, ,     1.5, ,   -18.1, ,     0.6, ,    15.7, ,     5.8, 
 1995,   -13.5, ,   -17.2, ,    -5.9, ,    -1.9, ,     9.4, ,    17.0, ,    17.8, ,    17.6, ,     8.7, ,     5.5, ,    -9.1, ,   -15.6, ,     1.1, ,   -12.2, ,     0.5, ,    17.5, ,     1.7, 
 1996,   -19.7, ,   -16.6, ,   -10.7, ,    -2.0, ,     7.0, ,    16.9, ,    16.0, ,    16.5, ,    13.0, ,     4.4, ,    -5.3, ,   -10.5, ,     0.8, ,   -17.3, ,    -1.9, ,    16.5, ,     4.0, 
 1997,   -18.5, ,   -16.3, ,   -10.6, ,     0.9, ,     5.9, ,    17.2, ,    17.7, ,    14.4, ,    11.2, ,     4.6, ,    -5.4, ,   -10.8, ,     0.9, ,   -15.1, ,    -1.3, ,    16.4, ,     3.5, 
 1998,   -15.1, ,    -6.8, ,    -6.9, ,     4.2, ,    11.9, ,    15.3, ,    17.5, ,    16.7, ,    11.2, ,     5.1, ,    -2.2, ,   -10.2, ,     3.4, ,   -10.9, ,     3.1, ,    16.5, ,     4.7, 
 1999,   -17.7, ,   -10.1, ,    -6.2, ,     3.2, ,    12.3, ,    16.6, ,    19.4, ,    15.0, ,    12.7, ,     3.0, ,    -0.9, ,    -9.1, ,     3.2, ,   -12.7, ,     3.1, ,    17.0, ,     4.9, 
 2000,   -17.1, ,   -10.9, ,    -2.9, ,     1.0, ,    10.0, ,    12.8, ,    16.2, ,    16.0, ,    10.1, ,     6.2, ,    -2.1, ,   -16.6, ,     1.9, ,   -12.4, ,     2.7, ,    15.0, ,     4.7, 
 2001,   -13.5, ,   -15.7, ,    -7.6, ,     3.5, ,    12.1, ,    15.7, ,    17.0, ,    17.8, ,    11.6, ,     4.8, ,     0.4, ,    -6.6,E,     3.3,E,   -15.3, ,     2.7, ,    16.8, ,     5.6, 
 2002,   -13.6, ,   -13.3, ,   -10.5, ,     1.1, ,     7.1, ,    14.6, ,    19.0, ,    17.0, ,    13.8, ,     1.4, ,    -6.9, ,    -9.3, ,     1.7, ,   -11.2,E,    -0.8, ,    16.9, ,     2.8, 
 2003,   -18.4, ,   -18.6, ,    -9.5, ,    -2.0, ,    10.4, ,    15.2, ,    16.6, ,    17.5, ,    12.4, ,     4.1, ,    -1.9, ,    -9.4, ,     1.4, ,   -15.4, ,    -0.4, ,    16.4, ,     4.9, 
 2004,   -23.0, ,   -11.7, ,    -6.3, ,    -0.2, ,     7.4, ,    13.1, ,    16.6, ,    14.0, ,    13.9, ,     5.6, ,    -1.4, ,   -15.5, ,     1.0, ,   -14.7, ,     0.3, ,    14.6, ,     6.0, 
 2005,   -18.7, ,   -11.5, ,    -9.0, ,     4.2, ,     9.7, ,    18.5, ,    18.8, ,    17.7, ,    13.4, ,     6.4, ,    -3.7, ,   -12.2, ,     2.8, ,   -15.2, ,     1.6, ,    18.3, ,     5.4, 
 2006,   -10.6, ,   -14.7, ,    -4.2, ,     4.2, ,    12.5, ,    15.6, ,    18.5, ,    15.1, ,    10.3, ,     4.1, ,    -1.1, ,    -6.5, ,     3.6, ,   -12.5, ,     4.2, ,    16.4, ,     4.4, 
 2007,   -13.6, ,   -18.6, ,    -6.4, ,     1.6, ,    11.3, ,    16.1, ,    17.3, ,    16.2, ,    12.6, ,     7.3, ,    -4.3, ,   -12.2, ,     2.3, ,   -12.9, ,     2.2, ,    16.5, ,     5.2, 
 2008,   -12.6, ,   -14.8, ,   -10.4, ,     3.6, ,     7.6, ,    15.6, ,    17.1, ,    16.4, ,    11.6, ,     5.0, ,    -2.0, ,   -15.6, ,     1.8, ,   -13.2, ,     0.3, ,    16.4, ,     4.9, 
 2009,   -19.6, ,   -13.8, ,    -7.2, ,     1.0, ,     7.5, ,    15.1, ,    15.8, ,    15.3, ,    13.3, ,     2.9, ,     1.8, ,   -11.6, ,     1.7, ,   -16.3, ,     0.4, ,    15.4, ,     6.0, 
 2010,   -13.1, ,   -11.7, ,    -0.4, ,     5.5, ,    12.8, ,    14.0, ,    19.1, ,    18.3, ,    10.4, ,     4.3, ,    -1.6, ,    -9.2, ,     4.0, ,   -12.1, ,     6.0, ,    17.1, ,     4.4, 
 2011,   -17.2, ,   -14.3, ,    -9.1, ,     1.0, ,    10.5, ,    14.9, ,    19.6, ,    17.0, ,    12.4, ,     7.6, ,    -0.3,E,   -10.6,E,     2.6,E,   -13.6, ,     0.8, ,    17.2, ,     6.6,E
 2012,   -12.9, ,    -9.6,E,    -0.2, ,     1.5, ,    11.3, ,    17.3, ,    18.3,a,    16.5,a,    11.2,a,     5.4,a,    -2.6,a,    -9.8,a,     3.9,a,   -11.0,E,     4.2, ,    17.4,a,     4.7,a
 2013,   -15.0,a,   -14.7,a,    -6.7,a,    -1.1,a,     9.5,E,    14.3,a,    17.7,a,    16.9,a,    11.6,a,     5.8,a,    -4.1,a,   -17.7,a,     1.4,a,   -13.2,a,     0.6,a,    16.3,a,     4.4,a
 2014,   -18.9,a,   -15.7,a,   -12.9,a,    -0.6,a,     9.7,E,    16.1,a,    16.2,a,    15.7,a,    11.3,a,     4.8,a,    -6.7,a,   -10.3,a,     0.7,a,   -17.4,a,    -1.3,a,    16.0,a,     3.1,a
 2015,   -18.9,a,   -22.3,a,    -9.1,E,     1.2,a,    10.8,a,    14.8,a,    18.3,a,    17.4,a,    15.2,a,     3.7,a,     0.4,E,    -4.1,a,     2.3,a,   -17.2,a,     1.0,a,    16.8,a,     6.4,a
 2016,   -12.6,a,   -14.6,a,    -5.5,a,    -2.0,a,    10.3,a,    14.4,a,    18.0,a,    18.5,E,    13.5,a,     5.9,E,     1.5,a,   -10.0,a,     3.1,a,   -10.4,a,     0.9,a,    17.0,a,     7.0,a
 2017,    -9.3,a,   -10.6,a,    -9.1,a,     2.5,a,     9.0,a,    14.9,a,    16.7,a,    14.3,E,    13.8,a,     7.9,E,    -4.9,a,   -15.8,a,     2.5,a,   -10.0,a,     0.8,a,    15.3,a,     5.6,a
